SequenceID	Number_of_Hit	Total_bp
scaffold_6489	1	264
scaffold_603	1	128
scaffold_141	1	255
scaffold_402	1	350
scaffold_13082	1	144
scaffold_7	1	99
scaffold_453	1	208
scaffold_97	1	195
scaffold_592	1	154
scaffold_712	1	141
scaffold_24082	1	318
scaffold_20396	1	177
scaffold_17567	1	108
scaffold_424	1	169
scaffold_152	1	144
scaffold_336	1	104
scaffold_560	1	116
scaffold_1134	1	165
scaffold_2203	1	119
scaffold_9038	1	147
scaffold_506	1	232
scaffold_22648	1	121
scaffold_58	1	121
scaffold_22177	1	95
scaffold_481	1	170
scaffold_2140	1	92
scaffold_15030	1	116
scaffold_262	1	92
scaffold_2150	1	199
scaffold_208	1	123
scaffold_0	1	147
scaffold_647	1	211
scaffold_303	1	103
scaffold_17186	1	230
scaffold_2719	1	90
scaffold_2731	1	198
scaffold_212	1	201
scaffold_697	1	128
scaffold_78	1	135
scaffold_1066	1	120
scaffold_2347	1	207
scaffold_1790	1	308
scaffold_4169	1	293
scaffold_1005	1	192
scaffold_1653	1	140
scaffold_573	1	117
scaffold_22	1	255
scaffold_273	1	184
scaffold_172	1	156
scaffold_417	1	117
scaffold_26	1	78
scaffold_2780	1	162
scaffold_2524	1	195
scaffold_3839	1	141
scaffold_591	1	528
scaffold_34	1	1001
scaffold_4658	1	127
scaffold_137	1	280
scaffold_32	1	301
scaffold_5558	1	198
scaffold_569	1	488
scaffold_20212	1	95
scaffold_3758	1	194
scaffold_68	1	129
scaffold_1587	1	170
scaffold_919	1	154
scaffold_452	1	178
scaffold_1295	1	148
scaffold_330	1	130
scaffold_25232	1	229
scaffold_701	1	109
scaffold_275	1	135
scaffold_15120	1	82
scaffold_669	1	267
scaffold_92	1	82
scaffold_1673	1	116
scaffold_939	1	196
scaffold_23671	1	117
scaffold_414	1	256
scaffold_624	1	217
scaffold_3469	1	1218
scaffold_676	1	159
scaffold_3253	1	138
scaffold_959	1	234
scaffold_698	1	139
scaffold_891	1	136
scaffold_314	1	188
scaffold_14940	1	95
scaffold_21738	1	293
scaffold_12516	1	181
scaffold_44	1	177
scaffold_103	1	161
scaffold_3673	1	1043
scaffold_19627	1	117
scaffold_184	1	139
scaffold_714	1	241
scaffold_1358	1	123
scaffold_35	1	100
scaffold_5217	1	679
scaffold_2345	1	80
scaffold_26799	1	147
scaffold_1594	1	136
scaffold_2772	1	198
scaffold_16	1	109
scaffold_4737	1	520
scaffold_1516	1	249
scaffold_755	1	217
scaffold_4405	1	74
scaffold_585	1	90
scaffold_1193	2	258
scaffold_139	2	615
scaffold_342	2	282
scaffold_1033	2	302
scaffold_227	2	302
scaffold_4	2	685
scaffold_50	2	237
scaffold_180	2	279
scaffold_2286	2	365
scaffold_1796	2	327
scaffold_70	2	310
scaffold_96	2	495
scaffold_3350	2	335
scaffold_286	2	220
scaffold_1932	2	431
scaffold_1354	2	304
scaffold_203	2	226
scaffold_316	2	281
scaffold_3	2	569
scaffold_854	2	1304
scaffold_520	2	297
scaffold_20309	2	284
scaffold_1659	2	339
scaffold_961	2	383
scaffold_1297	2	575
scaffold_249	2	614
scaffold_384	2	208
scaffold_1407	2	610
scaffold_1858	2	1300
scaffold_660	3	1221
scaffold_201	3	1363
scaffold_326	3	706
scaffold_1258	3	1478
scaffold_24313	3	757
scaffold_530	3	1402
scaffold_1911	3	1591
scaffold_426	3	1122
scaffold_10185	3	605
scaffold_1024	3	851
scaffold_721	4	3071
