Repeat type	Number	Size total (kb)	Size mean (bp)	% of the genome	/!\Results are rounding to two decimal places 
AF104025_1	1	0.46	463.00	0.00
XP_210080.1	4	0.88	219.75	0.00
S23315	1	0.51	510.00	0.00
T01943	1	0.34	338.00	0.00
AC084762_14	17	8.28	486.82	0.00
S38811	1	0.24	237.00	0.00
T18348	1	0.97	968.00	0.00
NP_180217.1	1	1.01	1014.00	0.00
T07863	1	0.72	716.00	0.00
NP_193182.1	1	0.46	456.00	0.00
B96491	1	0.66	664.00	0.00
T17095	4	1.43	357.00	0.00
NP_192282.1	1	0.24	237.00	0.00
AAL36472.1	1	0.17	172.00	0.00
NP_178679.1	3	2.96	985.67	0.00
AAG15480.1	2	0.59	294.00	0.00
AAN05363.1	1	1.57	1569.00	0.00
AF104028_1	1	0.34	342.00	0.00
AAN04923.1	2	0.92	459.00	0.00
NP_179167.1	3	3.86	1286.00	0.00
S29329	1	0.45	450.00	0.00
AF464738_9	1	0.33	327.00	0.00
BAA85462.1	2	0.84	421.50	0.00
BAB11447.1	1	0.36	357.00	0.00
AAM95676.1	1	0.63	627.00	0.00
AAO52668.1	2	0.99	497.00	0.00
AC080019_15	1	2.09	2088.00	0.00
TC1A_CAEBR	3	2.29	765.00	0.00
AAM91886.1	1	0.47	474.00	0.00
NP_179636.1	1	1.99	1992.00	0.00
A40831	4	0.87	216.75	0.00
BAB40820.1	1	0.34	345.00	0.00
AAN01246.1	1	1.06	1065.00	0.00
AAB34005.1	1	0.18	183.00	0.00
PC1232	1	0.40	402.00	0.00
AC092388_19	1	1.54	1540.00	0.00
NP_179914.1	2	2.92	1462.00	0.00
T17459	1	1.59	1590.00	0.00
NP_192338.1	2	1.13	566.00	0.00
CAD45564.1	1	0.35	348.00	0.00
AAK29467.1	1	1.03	1026.00	0.00
NP_179111.1	1	1.03	1031.00	0.00
AC091665_3	1	0.14	141.00	0.00
AC037197_10	5	3.76	752.20	0.00
AC099774_4	3	0.85	282.33	0.00
NP_175303.1	1	0.69	687.00	0.00
AAM93462.1	1	0.52	516.00	0.00
NP_178828.1	3	1.20	400.67	0.00
AAN34963.1	1	0.28	279.00	0.00
AC108884_5	1	1.15	1151.00	0.00
orf1	1	0.38	382.00	0.00
AC093178_3	1	0.44	436.00	0.00
CAB53562.1	3	1.19	395.00	0.00
AAB48345.1	1	0.23	228.00	0.00
BAB89089.1	1	0.95	951.00	0.00
AC087852_4	1	1.49	1492.00	0.00
AC084380_13	1	0.42	420.00	0.00
NP_671839.1	2	0.46	228.00	0.00
NP_009811.1	1	0.24	240.00	0.00
AC097446_8	2	1.26	632.50	0.00
AC090485_10	1	1.55	1555.00	0.00
AC069324_5	2	0.85	423.00	0.00
E60767	2	0.65	323.50	0.00
CAD12894.1	1	0.51	510.00	0.00
AC079179_12	1	0.43	428.00	0.00
AAO37507.1	1	0.88	876.00	0.00
AC074282_15	2	2.94	1472.00	0.00
AAN04995.1	1	0.77	774.00	0.00
BAC20057.1	1	0.93	933.00	0.00
BAB02147.1	5	1.75	350.60	0.00
AC074360_15	2	1.21	604.50	0.00
AAN61480.1	1	1.39	1392.00	0.00
S33633	6	1.27	212.17	0.00
BAB02592.1	2	0.35	177.00	0.00
NP_174622.1	6	2.56	426.33	0.00
BAB64352.1	2	0.49	243.00	0.00
BAB64358.1	2	0.57	286.00	0.00
AC119149_5	1	1.84	1843.00	0.00
AF104022_1	2	0.55	276.00	0.00
AC097447_2	1	0.40	395.00	0.00
BAA78423.1	1	1.05	1052.00	0.00
AAO19374.1	1	0.44	438.00	0.00
AC074282_19	13	3.36	258.23	0.00
T06335	8	5.69	711.38	0.00
NP_671757.1	1	0.17	165.00	0.00
AC113336_5	2	0.95	475.50	0.00
BAB68106.1	3	1.36	454.33	0.00
AAC60725.1	2	0.68	340.50	0.00
AC084767_8	1	0.31	312.00	0.00
AC116601_14	2	1.25	624.00	0.00
AC092548_5	1	1.36	1360.00	0.00
T14592	1	0.51	514.00	0.00
AF378049_1	3	1.96	654.67	0.00
AF405557_1	7	2.95	421.86	0.00
T06182	4	0.61	152.25	0.00
C60767	1	0.24	240.00	0.00
AF104021_1	1	0.22	219.00	0.00
BAC10892.1	1	0.52	522.00	0.00
NP_193337.1	1	0.49	488.00	0.00
POLX_TOBAC	1	0.76	758.00	0.00
BAC24873.1	1	1.76	1764.00	0.00
AAA46576.1	2	0.58	291.00	0.00
AF295693_1	3	1.07	356.00	0.00
NP_193419.1	1	1.12	1119.00	0.00
AF104019_1	1	0.38	378.00	0.00
NP_680279.1	1	1.28	1278.00	0.00
AAM94928.1	1	0.73	729.00	0.00
AAC33525.1	1	0.43	434.00	0.00
NP_178707.1	1	0.26	264.00	0.00
AC090882_19	1	0.29	294.00	0.00
AC069300_15	1	0.92	915.00	0.00
Total	484	271.39	560.73	0.09
