PLSCT00000020756	HAMAP:MF_00485
PLSCT00000011262	HAMAP:MF_01416
PLSCT00000013701	HAMAP:MF_01382
PLSCT00000012984	HAMAP:MF_01367
PLSCT00000004253	HAMAP:MF_00003
PLSCT00000019421	HAMAP:MF_00051
PLSCT00000006150	HAMAP:MF_00273
PLSCT00000016788	HAMAP:MF_00484
PLSCT00000021534	HAMAP:MF_00172
PLSCT00000006459	HAMAP:MF_00909
PLSCT00000016338	HAMAP:MF_00183
PLSCT00000018585	HAMAP:MF_00493
PLSCT00000008717	HAMAP:MF_00292
PLSCT00000010259	HAMAP:MF_00109
PLSCT00000013836	HAMAP:MF_00327
PLSCT00000017822	HAMAP:MF_01475
PLSCT00000008421	HAMAP:MF_00505
PLSCT00000003580	HAMAP:MF_01318_B
PLSCT00000011081	HAMAP:MF_02040,HAMAP:MF_03038
PLSCT00000001774	HAMAP:MF_00368
PLSCT00000004008	HAMAP:MF_00093
PLSCT00000019178	HAMAP:MF_00580
PLSCT00000006334	HAMAP:MF_00170
PLSCT00000000331	HAMAP:MF_01576
PLSCT00000017285	HAMAP:MF_01151
PLSCT00000004352	HAMAP:MF_00051
PLSCT00000016337	HAMAP:MF_00183
PLSCT00000014655	HAMAP:MF_00539
PLSCT00000001621	HAMAP:MF_00406
PLSCT00000016919	HAMAP:MF_00110
PLSCT00000001075	HAMAP:MF_00367
PLSCT00000013638	HAMAP:MF_00451
PLSCT00000005468	HAMAP:MF_01152
PLSCT00000008030	HAMAP:MF_00658
PLSCT00000009788	HAMAP:MF_00163
PLSCT00000020259	HAMAP:MF_00272
PLSCT00000001390	HAMAP:MF_00235,HAMAP:MF_03172
PLSCT00000021250	HAMAP:MF_01325_B
PLSCT00000011138	HAMAP:MF_01843
PLSCT00000008464	HAMAP:MF_00272
PLSCT00000008591	HAMAP:MF_01974
PLSCT00000016140	HAMAP:MF_01980
PLSCT00000004811	HAMAP:MF_00508
PLSCT00000018997	HAMAP:MF_01855
PLSCT00000001086	HAMAP:MF_01302_A
PLSCT00000008918	HAMAP:MF_01374
PLSCT00000011231	HAMAP:MF_01341
PLSCT00000004790	HAMAP:MF_00310
PLSCT00000004587	HAMAP:MF_01547
PLSCT00000011923	HAMAP:MF_00511
PLSCT00000017241	HAMAP:MF_01341
PLSCT00000005707	HAMAP:MF_03122
PLSCT00000019896	HAMAP:MF_00451
PLSCT00000021628	HAMAP:MF_00360
PLSCT00000018390	HAMAP:MF_01367
PLSCT00000010560	HAMAP:MF_01980
PLSCT00000019662	HAMAP:MF_01370
PLSCT00000019242	HAMAP:MF_01815
PLSCT00000014594	HAMAP:MF_01341
PLSCT00000019894	HAMAP:MF_03015
PLSCT00000010027	HAMAP:MF_00010
PLSCT00000003085	HAMAP:MF_00198
PLSCT00000020284	HAMAP:MF_00545
PLSCT00000000329	HAMAP:MF_01416
PLSCT00000003177	HAMAP:MF_00531
PLSCT00000007784	HAMAP:MF_00351
PLSCT00000016213	HAMAP:MF_00530
PLSCT00000016347	HAMAP:MF_00183
PLSCT00000001597	HAMAP:MF_01841
PLSCT00000020891	HAMAP:MF_00055
PLSCT00000016785	HAMAP:MF_00451
PLSCT00000008073	HAMAP:MF_00488
PLSCT00000006279	HAMAP:MF_00368
PLSCT00000004958	HAMAP:MF_01106
PLSCT00000003121	HAMAP:MF_01366
PLSCT00000013548	HAMAP:MF_00054_B,HAMAP:MF_03063
PLSCT00000010616	HAMAP:MF_01981
PLSCT00000010812	HAMAP:MF_01105
PLSCT00000003983	HAMAP:MF_00209
PLSCT00000000566	HAMAP:MF_03211
PLSCT00000003012	HAMAP:MF_00198
PLSCT00000020614	HAMAP:MF_01475
PLSCT00000018516	HAMAP:MF_03055
PLSCT00000004917	HAMAP:MF_00547
PLSCT00000003851	HAMAP:MF_01328_B
PLSCT00000018515	HAMAP:MF_03055
PLSCT00000004196	HAMAP:MF_00135
PLSCT00000002959	HAMAP:MF_00391
PLSCT00000016344	HAMAP:MF_00183
PLSCT00000018300	HAMAP:MF_00473
PLSCT00000018586	HAMAP:MF_00493
PLSCT00000015315	HAMAP:MF_00385
PLSCT00000014023	HAMAP:MF_00469
PLSCT00000004179	HAMAP:MF_00118_A
PLSCT00000016340	HAMAP:MF_00183
PLSCT00000010910	HAMAP:MF_00209
PLSCT00000010612	HAMAP:MF_01981
PLSCT00000005477	HAMAP:MF_01023
PLSCT00000003367	HAMAP:MF_01328_B
PLSCT00000001743	HAMAP:MF_01576
PLSCT00000007339	HAMAP:MF_00583_B
PLSCT00000005708	HAMAP:MF_01366
PLSCT00000000576	HAMAP:MF_01106
PLSCT00000005798	HAMAP:MF_00235
PLSCT00000010509	HAMAP:MF_01877
PLSCT00000011299	HAMAP:MF_00300
PLSCT00000002125	HAMAP:MF_00057
PLSCT00000006225	HAMAP:MF_01629,HAMAP:MF_01966
PLSCT00000014185	HAMAP:MF_00155
PLSCT00000011742	HAMAP:MF_00050
PLSCT00000005071	HAMAP:MF_01341
PLSCT00000007189	HAMAP:MF_00108
PLSCT00000005402	HAMAP:MF_01987
PLSCT00000003247	HAMAP:MF_00444
PLSCT00000004535	HAMAP:MF_01367
PLSCT00000017978	HAMAP:MF_00408
PLSCT00000014105	HAMAP:MF_01849
PLSCT00000003029	HAMAP:MF_01325_B
PLSCT00000010657	HAMAP:MF_00374
PLSCT00000014152	HAMAP:MF_00815
PLSCT00000011352	HAMAP:MF_03154
PLSCT00000018332	HAMAP:MF_00735
PLSCT00000005054	HAMAP:MF_00505
PLSCT00000004018	HAMAP:MF_00013
PLSCT00000013834	HAMAP:MF_00327
PLSCT00000011261	HAMAP:MF_01576
PLSCT00000013904	HAMAP:MF_00306
PLSCT00000011206	HAMAP:MF_01595
PLSCT00000018986	HAMAP:MF_00371
PLSCT00000014228	HAMAP:MF_00009
PLSCT00000009495	HAMAP:MF_00408
PLSCT00000011117	HAMAP:MF_00481
PLSCT00000010823	HAMAP:MF_00505
PLSCT00000002855	HAMAP:MF_01017
PLSCT00000001776	HAMAP:MF_00422
PLSCT00000007096	HAMAP:MF_03046
PLSCT00000004783	HAMAP:MF_00310
PLSCT00000002922	HAMAP:MF_02060
PLSCT00000011402	HAMAP:MF_03028
PLSCT00000009553	HAMAP:MF_01161
PLSCT00000020470	HAMAP:MF_00100_B
PLSCT00000018003	HAMAP:MF_00368
PLSCT00000005165	HAMAP:MF_00391
PLSCT00000002099	HAMAP:MF_03051
PLSCT00000007905	HAMAP:MF_00159
PLSCT00000014443	HAMAP:MF_01840
PLSCT00000004995	HAMAP:MF_01366
PLSCT00000017368	HAMAP:MF_00206,HAMAP:MF_03129
PLSCT00000004919	HAMAP:MF_00123
PLSCT00000016320	HAMAP:MF_02121
PLSCT00000002228	HAMAP:MF_00317
PLSCT00000012303	HAMAP:MF_00361
PLSCT00000006855	HAMAP:MF_00966
PLSCT00000021016	HAMAP:MF_00955
PLSCT00000011042	HAMAP:MF_00634
PLSCT00000019880	HAMAP:MF_00629
PLSCT00000014986	HAMAP:MF_00178
PLSCT00000008098	HAMAP:MF_03027
PLSCT00000004849	HAMAP:MF_00165
PLSCT00000002227	HAMAP:MF_00317
PLSCT00000002633	HAMAP:MF_00539
PLSCT00000018321	HAMAP:MF_03006
PLSCT00000001839	HAMAP:MF_00418
PLSCT00000016339	HAMAP:MF_00183
PLSCT00000003105	HAMAP:MF_01307_B
PLSCT00000001711	HAMAP:MF_01337_B
PLSCT00000010715	HAMAP:MF_00292
PLSCT00000012091	HAMAP:MF_00050
PLSCT00000002129	HAMAP:MF_01152
PLSCT00000012866	HAMAP:MF_00692
PLSCT00000005786	HAMAP:MF_00532_B
PLSCT00000001982	HAMAP:MF_02040
PLSCT00000005801	HAMAP:MF_00484
PLSCT00000005400	HAMAP:MF_01987
PLSCT00000019084	HAMAP:MF_03188
PLSCT00000007164	HAMAP:MF_01369_B
PLSCT00000006250	HAMAP:MF_00216
PLSCT00000001365	HAMAP:MF_00711
PLSCT00000000354	HAMAP:MF_00595
PLSCT00000020039	HAMAP:MF_01077
PLSCT00000003322	HAMAP:MF_01333_B
PLSCT00000020471	HAMAP:MF_00129
PLSCT00000019632	HAMAP:MF_00311
PLSCT00000008104	HAMAP:MF_00252
PLSCT00000005457	HAMAP:MF_00984
PLSCT00000011293	HAMAP:MF_00056
PLSCT00000016348	HAMAP:MF_00183
PLSCT00000001576	HAMAP:MF_01369_A
PLSCT00000014259	HAMAP:MF_01152
PLSCT00000010654	HAMAP:MF_00218
PLSCT00000007341	HAMAP:MF_00583_B
PLSCT00000021220	HAMAP:MF_00361
PLSCT00000003739	HAMAP:MF_01315
PLSCT00000002428	HAMAP:MF_00192
PLSCT00000005428	HAMAP:MF_01368
PLSCT00000007347	HAMAP:MF_00583_B
PLSCT00000008318	HAMAP:MF_01208
PLSCT00000005809	HAMAP:MF_00160
PLSCT00000012594	HAMAP:MF_00071,HAMAP:MF_03138
PLSCT00000017291	HAMAP:MF_00060
PLSCT00000018715	HAMAP:MF_03175
PLSCT00000001873	HAMAP:MF_00309
PLSCT00000011039	HAMAP:MF_00098
PLSCT00000015579	HAMAP:MF_01642
PLSCT00000002341	HAMAP:MF_00221
PLSCT00000006496	HAMAP:MF_01571
PLSCT00000018517	HAMAP:MF_03055
PLSCT00000011660	HAMAP:MF_00921
PLSCT00000012660	HAMAP:MF_00082_B
PLSCT00000010342	HAMAP:MF_01980
PLSCT00000002921	HAMAP:MF_02060
PLSCT00000012950	HAMAP:MF_00221
PLSCT00000015149	HAMAP:MF_01928,HAMAP:MF_01929
PLSCT00000000324	HAMAP:MF_01478
PLSCT00000005896	HAMAP:MF_00089
PLSCT00000004052	HAMAP:MF_00484
PLSCT00000012683	HAMAP:MF_00444
PLSCT00000021305	HAMAP:MF_00097
PLSCT00000015759	HAMAP:MF_00059
PLSCT00000001772	HAMAP:MF_00368
PLSCT00000018263	HAMAP:MF_00508
PLSCT00000009228	HAMAP:MF_00065
PLSCT00000005061	HAMAP:MF_00361
PLSCT00000004443	HAMAP:MF_01841
PLSCT00000004785	HAMAP:MF_00310
PLSCT00000009159	HAMAP:MF_00144
PLSCT00000013029	HAMAP:MF_00371
PLSCT00000005406	HAMAP:MF_03004
PLSCT00000008708	HAMAP:MF_00532_B
PLSCT00000008127	HAMAP:MF_00303
PLSCT00000016236	HAMAP:MF_00032
PLSCT00000012331	HAMAP:MF_01694
PLSCT00000019210	HAMAP:MF_00545
PLSCT00000005338	HAMAP:MF_03004
PLSCT00000008958	HAMAP:MF_00444
PLSCT00000007533	HAMAP:MF_00127
PLSCT00000017841	HAMAP:MF_00358
PLSCT00000017781	HAMAP:MF_00037
PLSCT00000015317	HAMAP:MF_00385
PLSCT00000015974	HAMAP:MF_00061
PLSCT00000012015	HAMAP:MF_00736
PLSCT00000005111	HAMAP:MF_01967
PLSCT00000017915	HAMAP:MF_00050
PLSCT00000007095	HAMAP:MF_03046
PLSCT00000021095	HAMAP:MF_00418
PLSCT00000006182	HAMAP:MF_00547
PLSCT00000007783	HAMAP:MF_00375
PLSCT00000000410	HAMAP:MF_00228
PLSCT00000000859	HAMAP:MF_01113
PLSCT00000001960	HAMAP:MF_01458
PLSCT00000019506	HAMAP:MF_01224_B
PLSCT00000000772	HAMAP:MF_01478
PLSCT00000006781	HAMAP:MF_03058
PLSCT00000008562	HAMAP:MF_01337_B
PLSCT00000016545	HAMAP:MF_01356
PLSCT00000011162	HAMAP:MF_00171
PLSCT00000017984	HAMAP:MF_03045
PLSCT00000019885	HAMAP:MF_00600
PLSCT00000008381	HAMAP:MF_00013
PLSCT00000021586	HAMAP:MF_00736
PLSCT00000001048	HAMAP:MF_00147_B
PLSCT00000000538	HAMAP:MF_03210
PLSCT00000014451	HAMAP:MF_01368
PLSCT00000003654	HAMAP:MF_03046
PLSCT00000004616	HAMAP:MF_00952
PLSCT00000002530	HAMAP:MF_00198
PLSCT00000008802	HAMAP:MF_00736
PLSCT00000014463	HAMAP:MF_00273
PLSCT00000005060	HAMAP:MF_00361
PLSCT00000014353	HAMAP:MF_00318
PLSCT00000009920	HAMAP:MF_01341
PLSCT00000018482	HAMAP:MF_03052
PLSCT00000019766	HAMAP:MF_00076
PLSCT00000004017	HAMAP:MF_03152
PLSCT00000002415	HAMAP:MF_00272
PLSCT00000012943	HAMAP:MF_01368
PLSCT00000003864	HAMAP:MF_00531
PLSCT00000003599	HAMAP:MF_01326_B
PLSCT00000013162	HAMAP:MF_00535
PLSCT00000011706	HAMAP:MF_01121
PLSCT00000007491	HAMAP:MF_00362
PLSCT00000006285	HAMAP:MF_01458
PLSCT00000001463	HAMAP:MF_03153
PLSCT00000017755	HAMAP:MF_01824
PLSCT00000018169	HAMAP:MF_01980
PLSCT00000000320	HAMAP:MF_00235
PLSCT00000008637	HAMAP:MF_01953
PLSCT00000005705	HAMAP:MF_01934,HAMAP:MF_03122
PLSCT00000005812	HAMAP:MF_00386
PLSCT00000015994	HAMAP:MF_00132
PLSCT00000014260	HAMAP:MF_01152
PLSCT00000017310	HAMAP:MF_00453
PLSCT00000013587	HAMAP:MF_00371
PLSCT00000017091	HAMAP:MF_00235
PLSCT00000012707	HAMAP:MF_00444
PLSCT00000010521	HAMAP:MF_00815
PLSCT00000007260	HAMAP:MF_00323
PLSCT00000001354	HAMAP:MF_03008
PLSCT00000006044	HAMAP:MF_03007
PLSCT00000021006	HAMAP:MF_01475
PLSCT00000004232	HAMAP:MF_01151
PLSCT00000000734	HAMAP:MF_01665
PLSCT00000009614	HAMAP:MF_00514
PLSCT00000002895	HAMAP:MF_01458
PLSCT00000005658	HAMAP:MF_00545
PLSCT00000009580	HAMAP:MF_00481
PLSCT00000015580	HAMAP:MF_01642
PLSCT00000009340	HAMAP:MF_00500
PLSCT00000014512	HAMAP:MF_00185
PLSCT00000008213	HAMAP:MF_01547,HAMAP:MF_03162
PLSCT00000017365	HAMAP:MF_00138
PLSCT00000016775	HAMAP:MF_01382
PLSCT00000015405	HAMAP:MF_00012
PLSCT00000010828	HAMAP:MF_00956
PLSCT00000004615	HAMAP:MF_00952
PLSCT00000010380	HAMAP:MF_03122
PLSCT00000002887	HAMAP:MF_00322
PLSCT00000001796	HAMAP:MF_00163
PLSCT00000005886	HAMAP:MF_01401
PLSCT00000007237	HAMAP:MF_00065
PLSCT00000008021	HAMAP:MF_00493
PLSCT00000019195	HAMAP:MF_00020
PLSCT00000019755	HAMAP:MF_00545
PLSCT00000019352	HAMAP:MF_00235
PLSCT00000017330	HAMAP:MF_01363
PLSCT00000009551	HAMAP:MF_01161
PLSCT00000020873	HAMAP:MF_00050
PLSCT00000006089	HAMAP:MF_00118_B
PLSCT00000006705	HAMAP:MF_01116
PLSCT00000019492	HAMAP:MF_00065
PLSCT00000006450	HAMAP:MF_01343_A
PLSCT00000007118	HAMAP:MF_03050
PLSCT00000018234	HAMAP:MF_00373
PLSCT00000004169	HAMAP:MF_01635
PLSCT00000010244	HAMAP:MF_01481
PLSCT00000010516	HAMAP:MF_00539
PLSCT00000006045	HAMAP:MF_01024
PLSCT00000004389	HAMAP:MF_00033
PLSCT00000008353	HAMAP:MF_01392
PLSCT00000017676	HAMAP:MF_00260
PLSCT00000019895	HAMAP:MF_03015
PLSCT00000021543	HAMAP:MF_03122
PLSCT00000018022	HAMAP:MF_03006
PLSCT00000001175	HAMAP:MF_00493
PLSCT00000021239	HAMAP:MF_00388
PLSCT00000018702	HAMAP:MF_00014
PLSCT00000005323	HAMAP:MF_01217
PLSCT00000019659	HAMAP:MF_00493
PLSCT00000007487	HAMAP:MF_00327
PLSCT00000008684	HAMAP:MF_00278
PLSCT00000017811	HAMAP:MF_01139
PLSCT00000009192	HAMAP:MF_02120
PLSCT00000007097	HAMAP:MF_03046
PLSCT00000006691	HAMAP:MF_00321
PLSCT00000021209	HAMAP:MF_01855
PLSCT00000013692	HAMAP:MF_03022
PLSCT00000013340	HAMAP:MF_00273
PLSCT00000012313	HAMAP:MF_00147_B
