PLSCT00000016654	PANTHER:PTHR10067,PANTHER:PTHR10067:SF2
PLSCT00000011303	PANTHER:PTHR12126,PANTHER:PTHR12126:SF7
PLSCT00000000212	PANTHER:PTHR12758,PANTHER:PTHR12758:SF19
PLSCT00000011899	PANTHER:PTHR27000
PLSCT00000003854	PANTHER:PTHR12654,PANTHER:PTHR12654:SF3
PLSCT00000004415	PANTHER:PTHR33390,PANTHER:PTHR33390:SF1
PLSCT00000003707	PANTHER:PTHR10066,PANTHER:PTHR10066:SF56
PLSCT00000001112	PANTHER:PTHR10655,PANTHER:PTHR10655:SF17
PLSCT00000003371	PANTHER:PTHR13952,PANTHER:PTHR13952:SF6
PLSCT00000014744	PANTHER:PTHR16140,PANTHER:PTHR16140:SF5
PLSCT00000016476	PANTHER:PTHR22880,PANTHER:PTHR22880:SF167
PLSCT00000001895	PANTHER:PTHR33825,PANTHER:PTHR33825:SF2
PLSCT00000019833	PANTHER:PTHR11002,PANTHER:PTHR11002:SF7
PLSCT00000012543	PANTHER:PTHR31388,PANTHER:PTHR31388:SF44
PLSCT00000006482	PANTHER:PTHR12428,PANTHER:PTHR12428:SF14
PLSCT00000003287	PANTHER:PTHR31985
PLSCT00000021617	PANTHER:PTHR11465,PANTHER:PTHR11465:SF19
PLSCT00000019524	PANTHER:PTHR30603,PANTHER:PTHR30603:SF18
PLSCT00000010355	PANTHER:PTHR36011,PANTHER:PTHR36011:SF1
PLSCT00000005800	PANTHER:PTHR23359,PANTHER:PTHR23359:SF100
PLSCT00000004927	PANTHER:PTHR11699,PANTHER:PTHR11699:SF148
PLSCT00000010772	PANTHER:PTHR16469
PLSCT00000004893	PANTHER:PTHR11092,PANTHER:PTHR11092:SF1
PLSCT00000018160	PANTHER:PTHR28039
PLSCT00000012326	PANTHER:PTHR31414
PLSCT00000013267	PANTHER:PTHR14241,PANTHER:PTHR14241:SF10
PLSCT00000011812	PANTHER:PTHR32208,PANTHER:PTHR32208:SF8
PLSCT00000007823	PANTHER:PTHR22572
PLSCT00000006226	PANTHER:PTHR35285
PLSCT00000020160	PANTHER:PTHR34204,PANTHER:PTHR34204:SF2
PLSCT00000008253	PANTHER:PTHR11963,PANTHER:PTHR11963:SF17
PLSCT00000012436	PANTHER:PTHR31707,PANTHER:PTHR31707:SF33
PLSCT00000016582	PANTHER:PTHR11670
PLSCT00000011599	PANTHER:PTHR12510
PLSCT00000008483	PANTHER:PTHR33824,PANTHER:PTHR33824:SF3
PLSCT00000016724	PANTHER:PTHR24093
PLSCT00000005826	PANTHER:PTHR10046,PANTHER:PTHR10046:SF50
PLSCT00000003677	PANTHER:PTHR14110,PANTHER:PTHR14110:SF4
PLSCT00000001794	PANTHER:PTHR34049,PANTHER:PTHR34049:SF2
PLSCT00000002795	PANTHER:PTHR19959,PANTHER:PTHR19959:SF156
PLSCT00000013638	PANTHER:PTHR11349
PLSCT00000000994	PANTHER:PTHR10836
PLSCT00000005852	PANTHER:PTHR27008,PANTHER:PTHR27008:SF27
PLSCT00000010041	PANTHER:PTHR10169,PANTHER:PTHR10169:SF38
PLSCT00000001600	PANTHER:PTHR10484
PLSCT00000011226	PANTHER:PTHR10584,PANTHER:PTHR10584:SF175
PLSCT00000017785	PANTHER:PTHR23076,PANTHER:PTHR23076:SF60
PLSCT00000017934	PANTHER:PTHR21231,PANTHER:PTHR21231:SF3
PLSCT00000019740	PANTHER:PTHR24093,PANTHER:PTHR24093:SF221
PLSCT00000008627	PANTHER:PTHR10134,PANTHER:PTHR10134:SF1
PLSCT00000002617	PANTHER:PTHR23083,PANTHER:PTHR23083:SF432
PLSCT00000009296	PANTHER:PTHR34284,PANTHER:PTHR34284:SF1
PLSCT00000007931	PANTHER:PTHR13774,PANTHER:PTHR13774:SF17
PLSCT00000005511	PANTHER:PTHR23216
PLSCT00000000249	PANTHER:PTHR15415
PLSCT00000020628	PANTHER:PTHR23012,PANTHER:PTHR23012:SF65
PLSCT00000003920	PANTHER:PTHR23241,PANTHER:PTHR23241:SF55
PLSCT00000007401	PANTHER:PTHR23336,PANTHER:PTHR23336:SF10
PLSCT00000004587	PANTHER:PTHR10920,PANTHER:PTHR10920:SF13
PLSCT00000021619	PANTHER:PTHR24054,PANTHER:PTHR24054:SF33
PLSCT00000003581	PANTHER:PTHR14911,PANTHER:PTHR14911:SF13
PLSCT00000019213	PANTHER:PTHR10566,PANTHER:PTHR10566:SF72
PLSCT00000006297	PANTHER:PTHR22849,PANTHER:PTHR22849:SF8
PLSCT00000011936	PANTHER:PTHR10566,PANTHER:PTHR10566:SF59
PLSCT00000016319	PANTHER:PTHR11207,PANTHER:PTHR11207:SF4
PLSCT00000018371	PANTHER:PTHR22847,PANTHER:PTHR22847:SF437
PLSCT00000005391	PANTHER:PTHR13856,PANTHER:PTHR13856:SF78
PLSCT00000020014	PANTHER:PTHR19849,PANTHER:PTHR19849:SF0
PLSCT00000016808	PANTHER:PTHR10984,PANTHER:PTHR10984:SF32
PLSCT00000016717	PANTHER:PTHR13748,PANTHER:PTHR13748:SF4
PLSCT00000002174	PANTHER:PTHR36042,PANTHER:PTHR36042:SF1
PLSCT00000019703	PANTHER:PTHR24015,PANTHER:PTHR24015:SF319
PLSCT00000015002	PANTHER:PTHR33829,PANTHER:PTHR33829:SF2
PLSCT00000016741	PANTHER:PTHR22950,PANTHER:PTHR22950:SF72
PLSCT00000016995	PANTHER:PTHR11461,PANTHER:PTHR11461:SF171
PLSCT00000013070	PANTHER:PTHR10778,PANTHER:PTHR10778:SF10
PLSCT00000019301	PANTHER:PTHR11514,PANTHER:PTHR11514:SF57
PLSCT00000016460	PANTHER:PTHR11062,PANTHER:PTHR11062:SF59
PLSCT00000016615	PANTHER:PTHR22847,PANTHER:PTHR22847:SF343
PLSCT00000016279	PANTHER:PTHR11006,PANTHER:PTHR11006:SF10
PLSCT00000012094	PANTHER:PTHR21649,PANTHER:PTHR21649:SF14
PLSCT00000012853	PANTHER:PTHR14212
PLSCT00000008814	PANTHER:PTHR12303,PANTHER:PTHR12303:SF6
PLSCT00000013842	PANTHER:PTHR12650
PLSCT00000012213	PANTHER:PTHR12069
PLSCT00000020923	PANTHER:PTHR23257,PANTHER:PTHR23257:SF436
PLSCT00000007846	PANTHER:PTHR13832,PANTHER:PTHR13832:SF158
PLSCT00000020666	PANTHER:PTHR23115,PANTHER:PTHR23115:SF141
PLSCT00000012471	PANTHER:PTHR31088,PANTHER:PTHR31088:SF6
PLSCT00000008527	PANTHER:PTHR23316,PANTHER:PTHR23316:SF1
PLSCT00000019516	PANTHER:PTHR10026,PANTHER:PTHR10026:SF7
PLSCT00000010812	PANTHER:PTHR30602,PANTHER:PTHR30602:SF4
PLSCT00000003758	PANTHER:PTHR13389
PLSCT00000002431	PANTHER:PTHR21347,PANTHER:PTHR21347:SF0
PLSCT00000001686	PANTHER:PTHR33596,PANTHER:PTHR33596:SF3
PLSCT00000007300	PANTHER:PTHR10739,PANTHER:PTHR10739:SF28
PLSCT00000009378	PANTHER:PTHR12741,PANTHER:PTHR12741:SF7
PLSCT00000004778	PANTHER:PTHR19965,PANTHER:PTHR19965:SF29
PLSCT00000004709	PANTHER:PTHR10013
PLSCT00000014508	PANTHER:PTHR26312,PANTHER:PTHR26312:SF81
PLSCT00000001773	PANTHER:PTHR11785,PANTHER:PTHR11785:SF367
PLSCT00000006838	PANTHER:PTHR11911,PANTHER:PTHR11911:SF62
PLSCT00000006990	PANTHER:PTHR22765,PANTHER:PTHR22765:SF5
PLSCT00000005550	PANTHER:PTHR24115,PANTHER:PTHR24115:SF417
PLSCT00000005397	PANTHER:PTHR13018,PANTHER:PTHR13018:SF47
PLSCT00000016216	PANTHER:PTHR31081
PLSCT00000001285	PANTHER:PTHR31683,PANTHER:PTHR31683:SF3
PLSCT00000008657	PANTHER:PTHR11426
PLSCT00000019958	PANTHER:PTHR31902,PANTHER:PTHR31902:SF1
PLSCT00000013242	PANTHER:PTHR13931,PANTHER:PTHR13931:SF2
PLSCT00000010612	PANTHER:PTHR13697,PANTHER:PTHR13697:SF21
PLSCT00000014186	PANTHER:PTHR11695,PANTHER:PTHR11695:SF31
PLSCT00000007058	PANTHER:PTHR12280,PANTHER:PTHR12280:SF31
PLSCT00000004090	PANTHER:PTHR10625,PANTHER:PTHR10625:SF112
PLSCT00000013704	PANTHER:PTHR27006,PANTHER:PTHR27006:SF44
PLSCT00000019771	PANTHER:PTHR10520,PANTHER:PTHR10520:SF9
PLSCT00000017450	PANTHER:PTHR31618,PANTHER:PTHR31618:SF1
PLSCT00000010307	PANTHER:PTHR23155,PANTHER:PTHR23155:SF577
PLSCT00000015294	PANTHER:PTHR14085,PANTHER:PTHR14085:SF3
PLSCT00000008714	PANTHER:PTHR34116,PANTHER:PTHR34116:SF2
PLSCT00000001385	PANTHER:PTHR30540,PANTHER:PTHR30540:SF9
PLSCT00000016109	PANTHER:PTHR24115,PANTHER:PTHR24115:SF417
PLSCT00000009316	PANTHER:PTHR33674,PANTHER:PTHR33674:SF5
PLSCT00000008135	PANTHER:PTHR13878,PANTHER:PTHR13878:SF37
PLSCT00000004926	PANTHER:PTHR10209,PANTHER:PTHR10209:SF155
PLSCT00000014542	PANTHER:PTHR16950,PANTHER:PTHR16950:SF16
PLSCT00000007283	PANTHER:PTHR11139,PANTHER:PTHR11139:SF9
PLSCT00000015826	PANTHER:PTHR10778,PANTHER:PTHR10778:SF13
PLSCT00000018845	PANTHER:PTHR23115,PANTHER:PTHR23115:SF165
PLSCT00000004608	PANTHER:PTHR22870,PANTHER:PTHR22870:SF204
PLSCT00000003042	PANTHER:PTHR13511,PANTHER:PTHR13511:SF0
PLSCT00000002187	PANTHER:PTHR31906,PANTHER:PTHR31906:SF3
PLSCT00000014982	PANTHER:PTHR16254,PANTHER:PTHR16254:SF13
PLSCT00000021568	PANTHER:PTHR22847
PLSCT00000009261	PANTHER:PTHR34060,PANTHER:PTHR34060:SF2
PLSCT00000017724	PANTHER:PTHR10357,PANTHER:PTHR10357:SF118
PLSCT00000001972	PANTHER:PTHR12233,PANTHER:PTHR12233:SF2
PLSCT00000006806	PANTHER:PTHR11071,PANTHER:PTHR11071:SF270
PLSCT00000013757	PANTHER:PTHR12771,PANTHER:PTHR12771:SF17
PLSCT00000014056	PANTHER:PTHR33492,PANTHER:PTHR33492:SF3
PLSCT00000006054	PANTHER:PTHR13681
PLSCT00000002825	PANTHER:PTHR13271,PANTHER:PTHR13271:SF30
PLSCT00000019791	PANTHER:PTHR24073,PANTHER:PTHR24073:SF485
PLSCT00000013586	PANTHER:PTHR24006,PANTHER:PTHR24006:SF449
PLSCT00000018813	PANTHER:PTHR12611
PLSCT00000016412	PANTHER:PTHR31913,PANTHER:PTHR31913:SF1
PLSCT00000015223	PANTHER:PTHR30540,PANTHER:PTHR30540:SF5
PLSCT00000007268	PANTHER:PTHR13683,PANTHER:PTHR13683:SF342
PLSCT00000013056	PANTHER:PTHR20852,PANTHER:PTHR20852:SF57
PLSCT00000020848	PANTHER:PTHR10188,PANTHER:PTHR10188:SF6
PLSCT00000002855	PANTHER:PTHR30546
PLSCT00000000650	PANTHER:PTHR11079,PANTHER:PTHR11079:SF60
PLSCT00000019531	PANTHER:PTHR23403,PANTHER:PTHR23403:SF1
PLSCT00000009573	PANTHER:PTHR35108,PANTHER:PTHR35108:SF1
PLSCT00000017394	PANTHER:PTHR24015
PLSCT00000019285	PANTHER:PTHR24322,PANTHER:PTHR24322:SF320
PLSCT00000019277	PANTHER:PTHR23257
PLSCT00000018412	PANTHER:PTHR13390,PANTHER:PTHR13390:SF0
PLSCT00000006898	PANTHER:PTHR20902,PANTHER:PTHR20902:SF0
PLSCT00000014147	PANTHER:PTHR36061,PANTHER:PTHR36061:SF2
PLSCT00000021497	PANTHER:PTHR10555,PANTHER:PTHR10555:SF122
PLSCT00000019124	PANTHER:PTHR27000,PANTHER:PTHR27000:SF205
PLSCT00000007956	PANTHER:PTHR10302,PANTHER:PTHR10302:SF3
PLSCT00000000739	PANTHER:PTHR21669,PANTHER:PTHR21669:SF13
PLSCT00000021499	PANTHER:PTHR31860,PANTHER:PTHR31860:SF6
PLSCT00000005699	PANTHER:PTHR33059,PANTHER:PTHR33059:SF10
PLSCT00000010173	PANTHER:PTHR12709
PLSCT00000019218	PANTHER:PTHR30027,PANTHER:PTHR30027:SF4
PLSCT00000014070	PANTHER:PTHR22953,PANTHER:PTHR22953:SF31
PLSCT00000007785	PANTHER:PTHR32227
PLSCT00000018349	PANTHER:PTHR10566,PANTHER:PTHR10566:SF86
PLSCT00000010371	PANTHER:PTHR31142,PANTHER:PTHR31142:SF3
PLSCT00000013205	PANTHER:PTHR10571,PANTHER:PTHR10571:SF0
PLSCT00000010187	PANTHER:PTHR11772,PANTHER:PTHR11772:SF13
PLSCT00000012464	PANTHER:PTHR24298
PLSCT00000009996	PANTHER:PTHR23115,PANTHER:PTHR23115:SF97
PLSCT00000014257	PANTHER:PTHR39113,PANTHER:PTHR39113:SF1
PLSCT00000003182	PANTHER:PTHR14194,PANTHER:PTHR14194:SF77
PLSCT00000015879	PANTHER:PTHR33281,PANTHER:PTHR33281:SF1
PLSCT00000010995	PANTHER:PTHR31314,PANTHER:PTHR31314:SF1
PLSCT00000008919	PANTHER:PTHR11654,PANTHER:PTHR11654:SF76
PLSCT00000014938	PANTHER:PTHR33565,PANTHER:PTHR33565:SF2
PLSCT00000014595	PANTHER:PTHR23155
PLSCT00000003238	PANTHER:PTHR24015,PANTHER:PTHR24015:SF319
PLSCT00000005870	PANTHER:PTHR10759,PANTHER:PTHR10759:SF13
PLSCT00000015924	PANTHER:PTHR14445,PANTHER:PTHR14445:SF43
PLSCT00000004112	PANTHER:PTHR11757,PANTHER:PTHR11757:SF12
PLSCT00000009507	PANTHER:PTHR31384,PANTHER:PTHR31384:SF3
PLSCT00000014774	PANTHER:PTHR11562,PANTHER:PTHR11562:SF58
PLSCT00000009787	PANTHER:PTHR33594,PANTHER:PTHR33594:SF1
PLSCT00000010712	PANTHER:PTHR31218,PANTHER:PTHR31218:SF17
PLSCT00000009547	PANTHER:PTHR24423
PLSCT00000010911	PANTHER:PTHR24361,PANTHER:PTHR24361:SF385
PLSCT00000002755	PANTHER:PTHR24220,PANTHER:PTHR24220:SF441
PLSCT00000008429	PANTHER:PTHR12081,PANTHER:PTHR12081:SF7
PLSCT00000013748	PANTHER:PTHR10668,PANTHER:PTHR10668:SF81
PLSCT00000011367	PANTHER:PTHR13002
PLSCT00000004330	PANTHER:PTHR13710,PANTHER:PTHR13710:SF69
PLSCT00000019054	PANTHER:PTHR11699,PANTHER:PTHR11699:SF144
PLSCT00000010632	PANTHER:PTHR24412,PANTHER:PTHR24412:SF230
PLSCT00000021478	PANTHER:PTHR24093,PANTHER:PTHR24093:SF355
PLSCT00000021151	PANTHER:PTHR11758,PANTHER:PTHR11758:SF16
PLSCT00000009487	PANTHER:PTHR27003
PLSCT00000017481	PANTHER:PTHR12729,PANTHER:PTHR12729:SF6
PLSCT00000020958	PANTHER:PTHR13710,PANTHER:PTHR13710:SF72
PLSCT00000002388	PANTHER:PTHR31407,PANTHER:PTHR31407:SF3
PLSCT00000001658	PANTHER:PTHR31620,PANTHER:PTHR31620:SF5
PLSCT00000016220	PANTHER:PTHR14387,PANTHER:PTHR14387:SF0
PLSCT00000020890	PANTHER:PTHR11060,PANTHER:PTHR11060:SF0
PLSCT00000020044	PANTHER:PTHR11055,PANTHER:PTHR11055:SF18
PLSCT00000008447	PANTHER:PTHR16301,PANTHER:PTHR16301:SF0
PLSCT00000012134	PANTHER:PTHR13697,PANTHER:PTHR13697:SF20
PLSCT00000011370	PANTHER:PTHR10252,PANTHER:PTHR10252:SF49
PLSCT00000008961	PANTHER:PTHR10362,PANTHER:PTHR10362:SF18
PLSCT00000008661	PANTHER:PTHR23120,PANTHER:PTHR23120:SF20
PLSCT00000017150	PANTHER:PTHR12360
PLSCT00000002267	PANTHER:PTHR21712,PANTHER:PTHR21712:SF35
PLSCT00000003663	PANTHER:PTHR31576,PANTHER:PTHR31576:SF2
PLSCT00000007795	PANTHER:PTHR11139,PANTHER:PTHR11139:SF1
PLSCT00000014415	PANTHER:PTHR23073
PLSCT00000020047	PANTHER:PTHR11062,PANTHER:PTHR11062:SF47
PLSCT00000012434	PANTHER:PTHR11654,PANTHER:PTHR11654:SF76
PLSCT00000002786	PANTHER:PTHR22780,PANTHER:PTHR22780:SF4
PLSCT00000019665	PANTHER:PTHR10815,PANTHER:PTHR10815:SF5
PLSCT00000003076	PANTHER:PTHR21337,PANTHER:PTHR21337:SF6
PLSCT00000013147	PANTHER:PTHR22950,PANTHER:PTHR22950:SF72
PLSCT00000001203	PANTHER:PTHR34365,PANTHER:PTHR34365:SF2
PLSCT00000015063	PANTHER:PTHR11200,PANTHER:PTHR11200:SF136
PLSCT00000017483	PANTHER:PTHR11006,PANTHER:PTHR11006:SF68
PLSCT00000019627	PANTHER:PTHR10898
PLSCT00000009105	PANTHER:PTHR10277,PANTHER:PTHR10277:SF40
PLSCT00000001307	PANTHER:PTHR11922,PANTHER:PTHR11922:SF1
PLSCT00000007860	PANTHER:PTHR30336,PANTHER:PTHR30336:SF4
PLSCT00000006881	PANTHER:PTHR23063,PANTHER:PTHR23063:SF9
PLSCT00000021653	PANTHER:PTHR10682,PANTHER:PTHR10682:SF10
PLSCT00000017052	PANTHER:PTHR15588,PANTHER:PTHR15588:SF10
PLSCT00000011113	PANTHER:PTHR10357,PANTHER:PTHR10357:SF110
PLSCT00000009782	PANTHER:PTHR14552,PANTHER:PTHR14552:SF17
PLSCT00000003048	PANTHER:PTHR10799
PLSCT00000021326	PANTHER:PTHR33648,PANTHER:PTHR33648:SF2
PLSCT00000000939	PANTHER:PTHR31321,PANTHER:PTHR31321:SF8
PLSCT00000002827	PANTHER:PTHR22298,PANTHER:PTHR22298:SF39
PLSCT00000000202	PANTHER:PTHR10795,PANTHER:PTHR10795:SF427
PLSCT00000020191	PANTHER:PTHR35490,PANTHER:PTHR35490:SF1
PLSCT00000018633	PANTHER:PTHR19876
PLSCT00000019477	PANTHER:PTHR30603,PANTHER:PTHR30603:SF18
PLSCT00000012042	PANTHER:PTHR23257,PANTHER:PTHR23257:SF366
PLSCT00000015759	PANTHER:PTHR32108,PANTHER:PTHR32108:SF0
PLSCT00000001330	PANTHER:PTHR31321,PANTHER:PTHR31321:SF16
PLSCT00000017631	PANTHER:PTHR24423,PANTHER:PTHR24423:SF365
PLSCT00000005061	PANTHER:PTHR20275,PANTHER:PTHR20275:SF0
PLSCT00000003652	PANTHER:PTHR31889,PANTHER:PTHR31889:SF2
PLSCT00000021318	PANTHER:PTHR13547,PANTHER:PTHR13547:SF3
PLSCT00000000691	PANTHER:PTHR21597,PANTHER:PTHR21597:SF0
PLSCT00000015590	PANTHER:PTHR31088,PANTHER:PTHR31088:SF6
PLSCT00000008169	PANTHER:PTHR22835
PLSCT00000020514	PANTHER:PTHR13096
PLSCT00000008232	PANTHER:PTHR12497,PANTHER:PTHR12497:SF0
PLSCT00000020003	PANTHER:PTHR13162,PANTHER:PTHR13162:SF8
PLSCT00000012951	PANTHER:PTHR31683,PANTHER:PTHR31683:SF23
PLSCT00000009793	PANTHER:PTHR23431,PANTHER:PTHR23431:SF2
PLSCT00000018638	PANTHER:PTHR24115,PANTHER:PTHR24115:SF518
PLSCT00000017327	PANTHER:PTHR11086,PANTHER:PTHR11086:SF18
PLSCT00000003010	PANTHER:PTHR12702,PANTHER:PTHR12702:SF1
PLSCT00000018513	PANTHER:PTHR31474,PANTHER:PTHR31474:SF1
PLSCT00000011015	PANTHER:PTHR12560,PANTHER:PTHR12560:SF13
PLSCT00000006863	PANTHER:PTHR31082
PLSCT00000003405	PANTHER:PTHR21497,PANTHER:PTHR21497:SF24
PLSCT00000012789	PANTHER:PTHR11731,PANTHER:PTHR11731:SF117
PLSCT00000008476	PANTHER:PTHR10668,PANTHER:PTHR10668:SF67
PLSCT00000014849	PANTHER:PTHR14110
PLSCT00000003373	PANTHER:PTHR37217
PLSCT00000001464	PANTHER:PTHR10366,PANTHER:PTHR10366:SF465
PLSCT00000001342	PANTHER:PTHR19920,PANTHER:PTHR19920:SF0
PLSCT00000006011	PANTHER:PTHR34968
PLSCT00000001915	PANTHER:PTHR12210,PANTHER:PTHR12210:SF49
PLSCT00000000746	PANTHER:PTHR32098,PANTHER:PTHR32098:SF5
PLSCT00000008343	PANTHER:PTHR31899,PANTHER:PTHR31899:SF1
PLSCT00000009804	PANTHER:PTHR35502,PANTHER:PTHR35502:SF2
PLSCT00000015106	PANTHER:PTHR23274
PLSCT00000010525	PANTHER:PTHR13083
PLSCT00000020940	PANTHER:PTHR11946,PANTHER:PTHR11946:SF82
PLSCT00000002111	PANTHER:PTHR22953,PANTHER:PTHR22953:SF5
PLSCT00000006781	PANTHER:PTHR31792
PLSCT00000014687	PANTHER:PTHR10553,PANTHER:PTHR10553:SF9
PLSCT00000005895	PANTHER:PTHR24089,PANTHER:PTHR24089:SF271
PLSCT00000003221	PANTHER:PTHR33387,PANTHER:PTHR33387:SF3
PLSCT00000000446	PANTHER:PTHR24423,PANTHER:PTHR24423:SF365
PLSCT00000005823	PANTHER:PTHR22952,PANTHER:PTHR22952:SF90
PLSCT00000003577	PANTHER:PTHR11699,PANTHER:PTHR11699:SF29
PLSCT00000012705	PANTHER:PTHR24089,PANTHER:PTHR24089:SF391
PLSCT00000014463	PANTHER:PTHR10052,PANTHER:PTHR10052:SF10
PLSCT00000020772	PANTHER:PTHR11726,PANTHER:PTHR11726:SF15
PLSCT00000010463	PANTHER:PTHR11449
PLSCT00000012387	PANTHER:PTHR11689,PANTHER:PTHR11689:SF92
PLSCT00000002649	PANTHER:PTHR35319,PANTHER:PTHR35319:SF2
PLSCT00000006513	PANTHER:PTHR12241,PANTHER:PTHR12241:SF39
PLSCT00000006192	PANTHER:PTHR24093,PANTHER:PTHR24093:SF257
PLSCT00000007940	PANTHER:PTHR21500,PANTHER:PTHR21500:SF0
PLSCT00000008173	PANTHER:PTHR10472
PLSCT00000014364	PANTHER:PTHR23317,PANTHER:PTHR23317:SF76
PLSCT00000009022	PANTHER:PTHR10410,PANTHER:PTHR10410:SF2
PLSCT00000010668	PANTHER:PTHR15074
PLSCT00000001195	PANTHER:PTHR11777,PANTHER:PTHR11777:SF18
PLSCT00000008192	PANTHER:PTHR13047
PLSCT00000011761	PANTHER:PTHR35312
PLSCT00000003061	PANTHER:PTHR10241
PLSCT00000000706	PANTHER:PTHR10694,PANTHER:PTHR10694:SF38
PLSCT00000018326	PANTHER:PTHR11516,PANTHER:PTHR11516:SF33
PLSCT00000018537	PANTHER:PTHR12910,PANTHER:PTHR12910:SF1
PLSCT00000001130	PANTHER:PTHR31062,PANTHER:PTHR31062:SF9
PLSCT00000011968	PANTHER:PTHR21152,PANTHER:PTHR21152:SF21
