PLSCT00000020756	PIRSF:PIRSF002116
PLSCT00000002713	PIRSF:PIRSF022950
PLSCT00000012769	PIRSF:PIRSF037094
PLSCT00000003861	PIRSF:PIRSF005962
PLSCT00000006507	PIRSF:PIRSF002148
PLSCT00000002971	PIRSF:PIRSF028810
PLSCT00000005653	PIRSF:PIRSF018497
PLSCT00000021340	PIRSF:PIRSF028998
PLSCT00000008421	PIRSF:PIRSF002583
PLSCT00000003580	PIRSF:PIRSF002155
PLSCT00000003953	PIRSF:PIRSF036565
PLSCT00000019900	PIRSF:PIRSF000350
PLSCT00000017373	PIRSF:PIRSF015945
PLSCT00000002378	PIRSF:PIRSF015901
PLSCT00000001913	PIRSF:PIRSF016013
PLSCT00000000570	PIRSF:PIRSF000084
PLSCT00000005008	PIRSF:PIRSF037677
PLSCT00000008918	PIRSF:PIRSF005457
PLSCT00000000955	PIRSF:PIRSF006060
PLSCT00000003050	PIRSF:PIRSF000767
PLSCT00000010436	PIRSF:PIRSF038122
PLSCT00000002957	PIRSF:PIRSF000138
PLSCT00000007756	PIRSF:PIRSF002129
PLSCT00000003806	PIRSF:PIRSF000089
PLSCT00000018732	PIRSF:PIRSF005211
PLSCT00000005559	PIRSF:PIRSF000077
PLSCT00000005011	PIRSF:PIRSF037677
PLSCT00000018752	PIRSF:PIRSF006621
PLSCT00000003085	PIRSF:PIRSF000502
PLSCT00000003177	PIRSF:PIRSF002144
PLSCT00000007784	PIRSF:PIRSF006540
PLSCT00000000880	PIRSF:PIRSF009360
PLSCT00000021488	PIRSF:PIRSF001355
PLSCT00000012759	PIRSF:PIRSF005992
PLSCT00000001241	PIRSF:PIRSF003113
PLSCT00000008073	PIRSF:PIRSF000102
PLSCT00000020923	PIRSF:PIRSF000654
PLSCT00000014455	PIRSF:PIRSF015892
PLSCT00000008527	PIRSF:PIRSF005673
PLSCT00000005248	PIRSF:PIRSF015588
PLSCT00000009147	PIRSF:PIRSF000168
PLSCT00000019685	PIRSF:PIRSF005378
PLSCT00000013700	PIRSF:PIRSF010631
PLSCT00000012961	PIRSF:PIRSF002148
PLSCT00000010505	PIRSF:PIRSF001369
PLSCT00000018938	PIRSF:PIRSF002583
PLSCT00000006838	PIRSF:PIRSF004692
PLSCT00000018067	PIRSF:PIRSF005290
PLSCT00000011655	PIRSF:PIRSF005604
PLSCT00000003350	PIRSF:PIRSF009360
PLSCT00000012319	PIRSF:PIRSF000799
PLSCT00000004145	PIRSF:PIRSF039099
PLSCT00000005241	PIRSF:PIRSF001467
PLSCT00000016441	PIRSF:PIRSF000857
PLSCT00000006742	PIRSF:PIRSF005727
PLSCT00000018756	PIRSF:PIRSF001467
PLSCT00000011299	PIRSF:PIRSF001456
PLSCT00000010199	PIRSF:PIRSF007764
PLSCT00000019253	PIRSF:PIRSF001217
PLSCT00000005327	PIRSF:PIRSF000654
PLSCT00000005589	PIRSF:PIRSF002394
PLSCT00000013727	PIRSF:PIRSF017706
PLSCT00000003398	PIRSF:PIRSF000868
PLSCT00000020238	PIRSF:PIRSF000149
PLSCT00000018644	PIRSF:PIRSF000106
PLSCT00000009900	PIRSF:PIRSF005604
PLSCT00000017386	PIRSF:PIRSF002703
PLSCT00000004783	PIRSF:PIRSF039114
PLSCT00000006978	PIRSF:PIRSF000654
PLSCT00000013529	PIRSF:PIRSF005096
PLSCT00000007905	PIRSF:PIRSF037336
PLSCT00000009549	PIRSF:PIRSF006540
PLSCT00000019114	PIRSF:PIRSF000654
PLSCT00000010634	PIRSF:PIRSF005604
PLSCT00000006898	PIRSF:PIRSF017479
PLSCT00000016151	PIRSF:PIRSF001259
PLSCT00000019644	PIRSF:PIRSF000654
PLSCT00000017169	PIRSF:PIRSF000350
PLSCT00000002844	PIRSF:PIRSF017127
PLSCT00000019218	PIRSF:PIRSF015601
PLSCT00000007442	PIRSF:PIRSF010045
PLSCT00000016913	PIRSF:PIRSF016379
PLSCT00000001122	PIRSF:PIRSF005719
PLSCT00000016539	PIRSF:PIRSF000208
PLSCT00000001839	PIRSF:PIRSF001365
PLSCT00000016339	PIRSF:PIRSF006205
PLSCT00000011997	PIRSF:PIRSF028865
PLSCT00000006083	PIRSF:PIRSF028729
PLSCT00000021511	PIRSF:PIRSF004161
PLSCT00000013467	PIRSF:PIRSF037471
PLSCT00000001378	PIRSF:PIRSF009360
PLSCT00000013447	PIRSF:PIRSF000726
PLSCT00000014380	PIRSF:PIRSF038186
PLSCT00000006700	PIRSF:PIRSF000429
PLSCT00000013748	PIRSF:PIRSF028937
PLSCT00000017261	PIRSF:PIRSF005813
PLSCT00000005398	PIRSF:PIRSF015919
PLSCT00000018877	PIRSF:PIRSF000451
PLSCT00000019620	PIRSF:PIRSF028729
PLSCT00000012426	PIRSF:PIRSF008502
PLSCT00000013537	PIRSF:PIRSF016315
PLSCT00000001851	PIRSF:PIRSF000447
PLSCT00000007139	PIRSF:PIRSF000429
PLSCT00000014840	PIRSF:PIRSF001267
PLSCT00000004759	PIRSF:PIRSF005856
PLSCT00000013794	PIRSF:PIRSF016393
PLSCT00000017021	PIRSF:PIRSF017215
PLSCT00000016823	PIRSF:PIRSF016478
PLSCT00000010026	PIRSF:PIRSF019663,PIRSF:PIRSF500139
PLSCT00000019183	PIRSF:PIRSF005901
PLSCT00000021388	PIRSF:PIRSF017269
PLSCT00000011112	PIRSF:PIRSF000463
PLSCT00000021653	PIRSF:PIRSF018425
PLSCT00000005813	PIRSF:PIRSF005992
PLSCT00000003969	PIRSF:PIRSF000185
PLSCT00000013227	PIRSF:PIRSF001400
PLSCT00000015772	PIRSF:PIRSF000108
PLSCT00000012660	PIRSF:PIRSF000728
PLSCT00000009971	PIRSF:PIRSF015945
PLSCT00000001495	PIRSF:PIRSF026991
PLSCT00000015149	PIRSF:PIRSF001340
PLSCT00000015875	PIRSF:PIRSF000097
PLSCT00000015620	PIRSF:PIRSF017207
PLSCT00000004870	PIRSF:PIRSF028762
PLSCT00000020456	PIRSF:PIRSF037913
PLSCT00000001815	PIRSF:PIRSF002122
PLSCT00000019294	PIRSF:PIRSF000412
PLSCT00000017140	PIRSF:PIRSF000654
PLSCT00000005406	PIRSF:PIRSF016255
PLSCT00000009793	PIRSF:PIRSF005653
PLSCT00000003010	PIRSF:PIRSF025007
PLSCT00000016236	PIRSF:PIRSF006413
PLSCT00000020773	PIRSF:PIRSF005590
PLSCT00000011015	PIRSF:PIRSF005225
PLSCT00000018018	PIRSF:PIRSF005604
PLSCT00000005338	PIRSF:PIRSF016255
PLSCT00000019617	PIRSF:PIRSF002290
PLSCT00000002377	PIRSF:PIRSF016396
PLSCT00000007533	PIRSF:PIRSF001549
PLSCT00000005655	PIRSF:PIRSF018497
PLSCT00000013339	PIRSF:PIRSF036893
PLSCT00000010295	PIRSF:PIRSF000303
PLSCT00000021217	PIRSF:PIRSF002161
PLSCT00000018019	PIRSF:PIRSF016429
PLSCT00000016802	PIRSF:PIRSF030210
PLSCT00000017045	PIRSF:PIRSF006334
PLSCT00000000859	PIRSF:PIRSF036573
PLSCT00000003032	PIRSF:PIRSF037488
PLSCT00000012610	PIRSF:PIRSF000727
PLSCT00000018198	PIRSF:PIRSF001336
PLSCT00000014687	PIRSF:PIRSF037188
PLSCT00000003002	PIRSF:PIRSF017199
PLSCT00000005999	PIRSF:PIRSF000102
PLSCT00000015120	PIRSF:PIRSF000346
PLSCT00000012897	PIRSF:PIRSF009449
PLSCT00000000913	PIRSF:PIRSF000097
PLSCT00000014463	PIRSF:PIRSF002190
PLSCT00000020772	PIRSF:PIRSF005590
PLSCT00000011528	PIRSF:PIRSF005992
PLSCT00000016628	PIRSF:PIRSF004967
PLSCT00000014578	PIRSF:PIRSF000530
PLSCT00000006971	PIRSF:PIRSF005739
PLSCT00000003864	PIRSF:PIRSF002144
PLSCT00000005539	PIRSF:PIRSF001771
PLSCT00000010188	PIRSF:PIRSF000654
PLSCT00000005889	PIRSF:PIRSF015415
PLSCT00000007293	PIRSF:PIRSF036417
PLSCT00000008192	PIRSF:PIRSF017888
PLSCT00000002544	PIRSF:PIRSF005225
PLSCT00000018169	PIRSF:PIRSF005677
PLSCT00000003718	PIRSF:PIRSF000641
PLSCT00000002083	PIRSF:PIRSF039087
PLSCT00000006941	PIRSF:PIRSF001771
PLSCT00000003808	PIRSF:PIRSF000089
PLSCT00000011014	PIRSF:PIRSF005225
PLSCT00000000687	PIRSF:PIRSF033096
PLSCT00000019645	PIRSF:PIRSF000654
PLSCT00000003351	PIRSF:PIRSF009360
PLSCT00000016942	PIRSF:PIRSF001492
PLSCT00000020198	PIRSF:PIRSF000138
PLSCT00000006699	PIRSF:PIRSF000429
PLSCT00000015773	PIRSF:PIRSF000108
PLSCT00000009802	PIRSF:PIRSF000808
PLSCT00000007827	PIRSF:PIRSF006468
PLSCT00000014703	PIRSF:PIRSF005719
PLSCT00000015912	PIRSF:PIRSF001771
PLSCT00000017219	PIRSF:PIRSF037488
PLSCT00000009493	PIRSF:PIRSF002290
PLSCT00000004869	PIRSF:PIRSF028762
PLSCT00000008256	PIRSF:PIRSF019663,PIRSF:PIRSF500138
PLSCT00000020287	PIRSF:PIRSF015578
PLSCT00000014330	PIRSF:PIRSF000654
PLSCT00000001673	PIRSF:PIRSF000451
PLSCT00000015490	PIRSF:PIRSF038186
PLSCT00000020401	PIRSF:PIRSF017617
PLSCT00000017848	PIRSF:PIRSF016570
PLSCT00000014434	PIRSF:PIRSF037239
PLSCT00000014636	PIRSF:PIRSF000779
PLSCT00000020755	PIRSF:PIRSF016210
PLSCT00000015114	PIRSF:PIRSF000124,PIRSF:PIRSF500133
PLSCT00000021216	PIRSF:PIRSF002161
PLSCT00000008021	PIRSF:PIRSF036915
PLSCT00000014227	PIRSF:PIRSF037913
PLSCT00000018589	PIRSF:PIRSF000654
PLSCT00000017683	PIRSF:PIRSF006806
PLSCT00000013664	PIRSF:PIRSF017209
PLSCT00000002690	PIRSF:PIRSF000654
PLSCT00000009221	PIRSF:PIRSF006060
PLSCT00000019636	PIRSF:PIRSF031051
PLSCT00000011877	PIRSF:PIRSF015588
PLSCT00000020705	PIRSF:PIRSF023803
PLSCT00000016771	PIRSF:PIRSF023381
PLSCT00000008635	PIRSF:PIRSF019693
PLSCT00000004266	PIRSF:PIRSF000077
PLSCT00000012738	PIRSF:PIRSF000361
PLSCT00000018022	PIRSF:PIRSF037949
PLSCT00000012779	PIRSF:PIRSF017199
PLSCT00000015690	PIRSF:PIRSF000349
PLSCT00000005656	PIRSF:PIRSF018497
PLSCT00000000937	PIRSF:PIRSF036417
PLSCT00000003146	PIRSF:PIRSF000114
PLSCT00000008684	PIRSF:PIRSF036936
PLSCT00000021209	PIRSF:PIRSF000904,PIRSF:PIRSF500210
PLSCT00000012988	PIRSF:PIRSF003033
PLSCT00000006504	PIRSF:PIRSF036580
PLSCT00000006078	PIRSF:PIRSF028729
PLSCT00000010222	PIRSF:PIRSF025024
PLSCT00000006123	PIRSF:PIRSF003113
PLSCT00000012304	PIRSF:PIRSF000349
PLSCT00000003169	PIRSF:PIRSF000654
PLSCT00000017120	PIRSF:PIRSF026389
PLSCT00000010153	PIRSF:PIRSF001553
PLSCT00000021245	PIRSF:PIRSF000260
PLSCT00000006506	PIRSF:PIRSF036580
PLSCT00000006687	PIRSF:PIRSF036417
PLSCT00000015774	PIRSF:PIRSF000108
PLSCT00000010378	PIRSF:PIRSF030333
PLSCT00000002785	PIRSF:PIRSF037091
PLSCT00000017946	PIRSF:PIRSF000654
PLSCT00000015829	PIRSF:PIRSF005604
PLSCT00000007866	PIRSF:PIRSF005508
PLSCT00000010615	PIRSF:PIRSF000534
PLSCT00000019554	PIRSF:PIRSF036939
PLSCT00000005704	PIRSF:PIRSF007663
PLSCT00000006595	PIRSF:PIRSF000641
PLSCT00000005012	PIRSF:PIRSF037677
PLSCT00000015419	PIRSF:PIRSF007949
PLSCT00000004736	PIRSF:PIRSF006641
PLSCT00000010541	PIRSF:PIRSF000654
PLSCT00000004545	PIRSF:PIRSF005604
PLSCT00000003313	PIRSF:PIRSF002808
PLSCT00000016100	PIRSF:PIRSF016379
PLSCT00000020552	PIRSF:PIRSF006621
PLSCT00000006722	PIRSF:PIRSF005604
PLSCT00000001211	PIRSF:PIRSF000414
PLSCT00000011520	PIRSF:PIRSF000904,PIRSF:PIRSF500210
PLSCT00000003318	PIRSF:PIRSF036417
PLSCT00000009257	PIRSF:PIRSF005739
PLSCT00000018063	PIRSF:PIRSF005290
PLSCT00000005540	PIRSF:PIRSF001771
PLSCT00000008273	PIRSF:PIRSF028865
PLSCT00000003030	PIRSF:PIRSF037488
PLSCT00000016420	PIRSF:PIRSF016478
PLSCT00000019602	PIRSF:PIRSF017190
PLSCT00000007650	PIRSF:PIRSF001434
PLSCT00000003512	PIRSF:PIRSF006157
PLSCT00000014348	PIRSF:PIRSF038157
PLSCT00000015977	PIRSF:PIRSF000168
PLSCT00000009898	PIRSF:PIRSF005604
PLSCT00000005429	PIRSF:PIRSF000654
PLSCT00000014701	PIRSF:PIRSF005719
PLSCT00000003314	PIRSF:PIRSF002808
PLSCT00000021483	PIRSF:PIRSF002122
PLSCT00000014767	PIRSF:PIRSF028865
PLSCT00000018890	PIRSF:PIRSF038151
PLSCT00000000960	PIRSF:PIRSF028043
PLSCT00000003089	PIRSF:PIRSF000349
PLSCT00000020748	PIRSF:PIRSF006004
PLSCT00000011269	PIRSF:PIRSF005902
PLSCT00000005551	PIRSF:PIRSF038928
PLSCT00000012226	PIRSF:PIRSF002148
PLSCT00000001443	PIRSF:PIRSF000241
PLSCT00000009188	PIRSF:PIRSF005225
PLSCT00000007532	PIRSF:PIRSF038133
PLSCT00000006150	PIRSF:PIRSF002190
PLSCT00000012005	PIRSF:PIRSF016468
PLSCT00000021534	PIRSF:PIRSF000382
PLSCT00000002846	PIRSF:PIRSF017127
PLSCT00000002816	PIRSF:PIRSF028937
PLSCT00000015638	PIRSF:PIRSF006060
PLSCT00000014034	PIRSF:PIRSF018293
PLSCT00000016639	PIRSF:PIRSF001363
PLSCT00000009492	PIRSF:PIRSF002290
PLSCT00000014489	PIRSF:PIRSF028983
PLSCT00000011657	PIRSF:PIRSF005739
PLSCT00000016948	PIRSF:PIRSF029256
PLSCT00000021108	PIRSF:PIRSF000654
PLSCT00000014018	PIRSF:PIRSF025218
PLSCT00000002666	PIRSF:PIRSF007858
PLSCT00000011926	PIRSF:PIRSF009360
PLSCT00000017090	PIRSF:PIRSF028103
PLSCT00000012816	PIRSF:PIRSF002181
PLSCT00000016140	PIRSF:PIRSF005677
PLSCT00000021121	PIRSF:PIRSF000346
PLSCT00000013367	PIRSF:PIRSF001060
PLSCT00000018189	PIRSF:PIRSF000709
PLSCT00000018997	PIRSF:PIRSF000904,PIRSF:PIRSF500210
PLSCT00000007407	PIRSF:PIRSF017434
PLSCT00000006627	PIRSF:PIRSF000451
PLSCT00000006741	PIRSF:PIRSF005604
PLSCT00000019989	PIRSF:PIRSF016184
PLSCT00000018962	PIRSF:PIRSF037309
PLSCT00000002464	PIRSF:PIRSF002133
PLSCT00000007885	PIRSF:PIRSF000654
PLSCT00000016419	PIRSF:PIRSF016478
PLSCT00000019099	PIRSF:PIRSF008765
PLSCT00000010560	PIRSF:PIRSF005677
PLSCT00000016272	PIRSF:PIRSF005067
PLSCT00000010731	PIRSF:PIRSF000654
PLSCT00000004574	PIRSF:PIRSF005653
PLSCT00000018436	PIRSF:PIRSF002144
PLSCT00000020291	PIRSF:PIRSF001558
PLSCT00000003857	PIRSF:PIRSF005814
PLSCT00000010237	PIRSF:PIRSF001549
PLSCT00000021114	PIRSF:PIRSF002161
PLSCT00000002784	PIRSF:PIRSF037091
PLSCT00000006460	PIRSF:PIRSF001554
PLSCT00000009637	PIRSF:PIRSF005715
PLSCT00000010616	PIRSF:PIRSF000534
PLSCT00000020556	PIRSF:PIRSF002133
PLSCT00000014928	PIRSF:PIRSF001771
PLSCT00000019789	PIRSF:PIRSF000848
PLSCT00000015493	PIRSF:PIRSF038186
PLSCT00000002973	PIRSF:PIRSF000137
PLSCT00000011024	PIRSF:PIRSF000654
PLSCT00000008119	PIRSF:PIRSF000654
PLSCT00000007156	PIRSF:PIRSF000149
PLSCT00000011828	PIRSF:PIRSF038027
PLSCT00000000882	PIRSF:PIRSF009360
PLSCT00000005552	PIRSF:PIRSF038928
PLSCT00000006809	PIRSF:PIRSF005604
PLSCT00000007787	PIRSF:PIRSF038170
PLSCT00000014105	PIRSF:PIRSF006004
PLSCT00000016645	PIRSF:PIRSF005727
PLSCT00000021266	PIRSF:PIRSF018269
PLSCT00000004018	PIRSF:PIRSF016262
PLSCT00000015935	PIRSF:PIRSF005624
PLSCT00000005054	PIRSF:PIRSF002583
PLSCT00000009796	PIRSF:PIRSF005198
PLSCT00000008042	PIRSF:PIRSF000097
PLSCT00000003031	PIRSF:PIRSF037488
PLSCT00000010823	PIRSF:PIRSF002583
PLSCT00000019139	PIRSF:PIRSF005739
PLSCT00000016801	PIRSF:PIRSF030210
PLSCT00000001590	PIRSF:PIRSF030219
PLSCT00000018590	PIRSF:PIRSF000654
PLSCT00000013196	PIRSF:PIRSF036958
PLSCT00000016022	PIRSF:PIRSF001060
PLSCT00000017368	PIRSF:PIRSF005963
PLSCT00000002845	PIRSF:PIRSF017127
PLSCT00000016320	PIRSF:PIRSF000148
PLSCT00000018188	PIRSF:PIRSF000709
PLSCT00000004363	PIRSF:PIRSF015840
PLSCT00000006771	PIRSF:PIRSF009415
PLSCT00000001430	PIRSF:PIRSF009283
PLSCT00000001725	PIRSF:PIRSF006334
PLSCT00000005135	PIRSF:PIRSF005588
PLSCT00000006575	PIRSF:PIRSF005859
PLSCT00000013873	PIRSF:PIRSF000806
PLSCT00000017769	PIRSF:PIRSF006232
PLSCT00000010215	PIRSF:PIRSF016408
PLSCT00000015494	PIRSF:PIRSF038186
PLSCT00000015266	PIRSF:PIRSF016325
PLSCT00000019774	PIRSF:PIRSF001213
PLSCT00000019380	PIRSF:PIRSF036949
PLSCT00000015726	PIRSF:PIRSF000126
PLSCT00000017499	PIRSF:PIRSF002155
PLSCT00000005247	PIRSF:PIRSF015588
PLSCT00000005698	PIRSF:PIRSF038119
PLSCT00000002748	PIRSF:PIRSF036470
PLSCT00000015296	PIRSF:PIRSF000654
PLSCT00000002428	PIRSF:PIRSF000778,PIRSF:PIRSF500154
PLSCT00000003739	PIRSF:PIRSF002134
PLSCT00000003617	PIRSF:PIRSF002356
PLSCT00000019037	PIRSF:PIRSF005799
PLSCT00000015916	PIRSF:PIRSF005198
PLSCT00000017605	PIRSF:PIRSF005992
PLSCT00000015508	PIRSF:PIRSF017535
PLSCT00000010342	PIRSF:PIRSF005677
PLSCT00000004354	PIRSF:PIRSF038122
PLSCT00000005065	PIRSF:PIRSF036947
PLSCT00000013202	PIRSF:PIRSF006769
PLSCT00000010961	PIRSF:PIRSF032572
PLSCT00000006503	PIRSF:PIRSF036580
PLSCT00000020034	PIRSF:PIRSF008153
PLSCT00000005257	PIRSF:PIRSF001467
PLSCT00000004785	PIRSF:PIRSF039114
PLSCT00000009024	PIRSF:PIRSF013503
PLSCT00000008526	PIRSF:PIRSF000097
PLSCT00000020934	PIRSF:PIRSF000654
PLSCT00000009494	PIRSF:PIRSF002290
PLSCT00000020520	PIRSF:PIRSF016496
PLSCT00000014925	PIRSF:PIRSF006630
PLSCT00000011405	PIRSF:PIRSF036363
PLSCT00000018731	PIRSF:PIRSF005211
PLSCT00000003633	PIRSF:PIRSF015588
PLSCT00000015325	PIRSF:PIRSF005822
PLSCT00000008004	PIRSF:PIRSF008765
PLSCT00000000885	PIRSF:PIRSF009360
PLSCT00000021095	PIRSF:PIRSF001365
PLSCT00000002441	PIRSF:PIRSF015921
PLSCT00000007611	PIRSF:PIRSF002148
PLSCT00000007700	PIRSF:PIRSF000767
PLSCT00000000410	PIRSF:PIRSF000513
PLSCT00000016020	PIRSF:PIRSF000103
PLSCT00000008010	PIRSF:PIRSF000084
PLSCT00000012720	PIRSF:PIRSF001467
PLSCT00000010279	PIRSF:PIRSF006232
PLSCT00000017108	PIRSF:PIRSF037188
PLSCT00000009863	PIRSF:PIRSF000779
PLSCT00000021106	PIRSF:PIRSF015578
PLSCT00000016635	PIRSF:PIRSF006609
PLSCT00000008381	PIRSF:PIRSF016262
PLSCT00000002285	PIRSF:PIRSF005586
PLSCT00000003188	PIRSF:PIRSF039073
PLSCT00000002541	PIRSF:PIRSF004848
PLSCT00000005013	PIRSF:PIRSF037677
PLSCT00000018577	PIRSF:PIRSF023577
PLSCT00000011693	PIRSF:PIRSF006704
PLSCT00000018898	PIRSF:PIRSF015921
PLSCT00000009570	PIRSF:PIRSF000168
PLSCT00000006635	PIRSF:PIRSF005604
PLSCT00000013162	PIRSF:PIRSF001263
PLSCT00000009491	PIRSF:PIRSF002290
PLSCT00000007280	PIRSF:PIRSF009360
PLSCT00000001463	PIRSF:PIRSF037969
PLSCT00000017755	PIRSF:PIRSF029271
PLSCT00000021526	PIRSF:PIRSF004499
PLSCT00000020035	PIRSF:PIRSF008153
PLSCT00000014135	PIRSF:PIRSF000239
PLSCT00000019293	PIRSF:PIRSF000412
PLSCT00000014143	PIRSF:PIRSF000868
PLSCT00000017310	PIRSF:PIRSF006294
PLSCT00000010853	PIRSF:PIRSF005229
PLSCT00000010521	PIRSF:PIRSF039089
PLSCT00000010703	PIRSF:PIRSF003025
PLSCT00000016315	PIRSF:PIRSF036696
PLSCT00000008851	PIRSF:PIRSF002703
PLSCT00000004887	PIRSF:PIRSF002161
PLSCT00000014063	PIRSF:PIRSF015730
PLSCT00000015248	PIRSF:PIRSF000106
PLSCT00000011474	PIRSF:PIRSF000109
PLSCT00000012964	PIRSF:PIRSF023381
PLSCT00000000813	PIRSF:PIRSF000641
PLSCT00000011264	PIRSF:PIRSF005902
PLSCT00000000436	PIRSF:PIRSF002129
PLSCT00000005010	PIRSF:PIRSF037677
PLSCT00000000400	PIRSF:PIRSF006588
PLSCT00000021623	PIRSF:PIRSF000451
PLSCT00000020887	PIRSF:PIRSF004499
PLSCT00000002818	PIRSF:PIRSF028937
PLSCT00000002627	PIRSF:PIRSF036417
PLSCT00000004994	PIRSF:PIRSF000124,PIRSF:PIRSF500133
PLSCT00000018064	PIRSF:PIRSF005290
PLSCT00000010548	PIRSF:PIRSF038074
PLSCT00000009536	PIRSF:PIRSF005604
PLSCT00000011115	PIRSF:PIRSF037010
PLSCT00000005654	PIRSF:PIRSF018497
PLSCT00000014872	PIRSF:PIRSF038995
PLSCT00000006928	PIRSF:PIRSF000114
PLSCT00000002714	PIRSF:PIRSF022950
PLSCT00000015681	PIRSF:PIRSF038120
PLSCT00000008962	PIRSF:PIRSF023381
PLSCT00000017762	PIRSF:PIRSF012939
PLSCT00000001468	PIRSF:PIRSF018300
PLSCT00000016905	PIRSF:PIRSF000654
PLSCT00000012860	PIRSF:PIRSF005715
PLSCT00000020397	PIRSF:PIRSF000149
PLSCT00000018190	PIRSF:PIRSF000709
PLSCT00000008072	PIRSF:PIRSF023322
PLSCT00000014662	PIRSF:PIRSF036945
PLSCT00000002865	PIRSF:PIRSF000422
PLSCT00000008472	PIRSF:PIRSF000862
PLSCT00000004029	PIRSF:PIRSF017190
