PLSCT00000018431	TIGRFAM:TIGR00574
PLSCT00000000329	TIGRFAM:TIGR01145
PLSCT00000007649	TIGRFAM:TIGR00231
PLSCT00000003177	TIGRFAM:TIGR01025
PLSCT00000000521	TIGRFAM:TIGR01038
PLSCT00000004655	TIGRFAM:TIGR01494
PLSCT00000002177	TIGRFAM:TIGR01494,TIGRFAM:TIGR01525
PLSCT00000002334	TIGRFAM:TIGR01494
PLSCT00000006279	TIGRFAM:TIGR00855
PLSCT00000014137	TIGRFAM:TIGR00797
PLSCT00000014440	TIGRFAM:TIGR01116,TIGRFAM:TIGR01494
PLSCT00000003121	TIGRFAM:TIGR01077
PLSCT00000013548	TIGRFAM:TIGR00231,TIGRFAM:TIGR00484
PLSCT00000010812	TIGRFAM:TIGR01890
PLSCT00000008765	TIGRFAM:TIGR02397
PLSCT00000018516	TIGRFAM:TIGR00091
PLSCT00000007300	TIGRFAM:TIGR00125
PLSCT00000006838	TIGRFAM:TIGR00393
PLSCT00000017657	TIGRFAM:TIGR01251
PLSCT00000018571	TIGRFAM:TIGR01615
PLSCT00000001674	TIGRFAM:TIGR01999
PLSCT00000016340	TIGRFAM:TIGR00243
PLSCT00000002987	TIGRFAM:TIGR01557
PLSCT00000013781	TIGRFAM:TIGR00235
PLSCT00000017667	TIGRFAM:TIGR02414
PLSCT00000003098	TIGRFAM:TIGR00216
PLSCT00000008114	TIGRFAM:TIGR00169
PLSCT00000018112	TIGRFAM:TIGR00068
PLSCT00000004625	TIGRFAM:TIGR00861
PLSCT00000012209	TIGRFAM:TIGR00187
PLSCT00000017693	TIGRFAM:TIGR00727,TIGRFAM:TIGR00728
PLSCT00000014982	TIGRFAM:TIGR00932
PLSCT00000007124	TIGRFAM:TIGR00993
PLSCT00000016669	TIGRFAM:TIGR01557
PLSCT00000017242	TIGRFAM:TIGR01735
PLSCT00000019791	TIGRFAM:TIGR00231
PLSCT00000010954	TIGRFAM:TIGR00756
PLSCT00000015505	TIGRFAM:TIGR00879
PLSCT00000019908	TIGRFAM:TIGR00617
PLSCT00000011206	TIGRFAM:TIGR03591
PLSCT00000015553	TIGRFAM:TIGR00756
PLSCT00000015223	TIGRFAM:TIGR00794
PLSCT00000000683	TIGRFAM:TIGR01652
PLSCT00000021389	TIGRFAM:TIGR00614
PLSCT00000010675	TIGRFAM:TIGR02180
PLSCT00000009248	TIGRFAM:TIGR01494,TIGRFAM:TIGR01652
PLSCT00000002855	TIGRFAM:TIGR01755
PLSCT00000004546	TIGRFAM:TIGR00283
PLSCT00000010918	TIGRFAM:TIGR00522
PLSCT00000001588	TIGRFAM:TIGR00973
PLSCT00000002308	TIGRFAM:TIGR00622
PLSCT00000017394	TIGRFAM:TIGR00756
PLSCT00000002099	TIGRFAM:TIGR01682
PLSCT00000017928	TIGRFAM:TIGR02008
PLSCT00000004995	TIGRFAM:TIGR01066
PLSCT00000017169	TIGRFAM:TIGR01424
PLSCT00000002610	TIGRFAM:TIGR00785
PLSCT00000010551	TIGRFAM:TIGR01614
PLSCT00000019218	TIGRFAM:TIGR00046
PLSCT00000006855	TIGRFAM:TIGR00871
PLSCT00000002295	TIGRFAM:TIGR01198
PLSCT00000000633	TIGRFAM:TIGR01622
PLSCT00000014986	TIGRFAM:TIGR00114
PLSCT00000009996	TIGRFAM:TIGR00231
PLSCT00000015281	TIGRFAM:TIGR00820
PLSCT00000010844	TIGRFAM:TIGR01179
PLSCT00000001388	TIGRFAM:TIGR01623,TIGRFAM:TIGR01624
PLSCT00000001839	TIGRFAM:TIGR00674
PLSCT00000010995	TIGRFAM:TIGR01557
PLSCT00000021262	TIGRFAM:TIGR01242
PLSCT00000014993	TIGRFAM:TIGR00457
PLSCT00000003238	TIGRFAM:TIGR00756
PLSCT00000004604	TIGRFAM:TIGR03719
PLSCT00000015891	TIGRFAM:TIGR02937
PLSCT00000021344	TIGRFAM:TIGR00229
PLSCT00000013447	TIGRFAM:TIGR00657
PLSCT00000017852	TIGRFAM:TIGR00419
PLSCT00000005398	TIGRFAM:TIGR00622
PLSCT00000002915	TIGRFAM:TIGR00604
PLSCT00000004330	TIGRFAM:TIGR00614
PLSCT00000000583	TIGRFAM:TIGR01557
PLSCT00000021478	TIGRFAM:TIGR01494,TIGRFAM:TIGR01647
PLSCT00000001365	TIGRFAM:TIGR00461
PLSCT00000008104	TIGRFAM:TIGR00499
PLSCT00000020471	TIGRFAM:TIGR00136
PLSCT00000006664	TIGRFAM:TIGR00495
PLSCT00000016267	TIGRFAM:TIGR00231
PLSCT00000020890	TIGRFAM:TIGR04336
PLSCT00000008961	TIGRFAM:TIGR01226
PLSCT00000004871	TIGRFAM:TIGR00175
PLSCT00000007139	TIGRFAM:TIGR01930
PLSCT00000004322	TIGRFAM:TIGR00068
PLSCT00000004482	TIGRFAM:TIGR02937
PLSCT00000019665	TIGRFAM:TIGR00589
PLSCT00000014891	TIGRFAM:TIGR00040
PLSCT00000005964	TIGRFAM:TIGR01534
PLSCT00000005282	TIGRFAM:TIGR00756
PLSCT00000014200	TIGRFAM:TIGR01292
PLSCT00000020529	TIGRFAM:TIGR00756
PLSCT00000004124	TIGRFAM:TIGR02656
PLSCT00000018967	TIGRFAM:TIGR01494
PLSCT00000005441	TIGRFAM:TIGR00231
PLSCT00000007874	TIGRFAM:TIGR01569
PLSCT00000009043	TIGRFAM:TIGR00756
PLSCT00000006496	TIGRFAM:TIGR00408
PLSCT00000018662	TIGRFAM:TIGR00307
PLSCT00000018098	TIGRFAM:TIGR01242
PLSCT00000005896	TIGRFAM:TIGR00190
PLSCT00000014850	TIGRFAM:TIGR00756
PLSCT00000002891	TIGRFAM:TIGR01979
PLSCT00000015759	TIGRFAM:TIGR02027
PLSCT00000017757	TIGRFAM:TIGR00049
PLSCT00000001772	TIGRFAM:TIGR00855
PLSCT00000020494	TIGRFAM:TIGR00406
PLSCT00000018263	TIGRFAM:TIGR01049
PLSCT00000004443	TIGRFAM:TIGR03380
PLSCT00000015778	TIGRFAM:TIGR01416
PLSCT00000006624	TIGRFAM:TIGR01509
PLSCT00000006714	TIGRFAM:TIGR01494
PLSCT00000010744	TIGRFAM:TIGR00633
PLSCT00000014033	TIGRFAM:TIGR00231
PLSCT00000009159	TIGRFAM:TIGR00420
PLSCT00000007749	TIGRFAM:TIGR00262
PLSCT00000004444	TIGRFAM:TIGR03380
PLSCT00000002867	TIGRFAM:TIGR00231
PLSCT00000001152	TIGRFAM:TIGR01251
PLSCT00000016093	TIGRFAM:TIGR00293
PLSCT00000017954	TIGRFAM:TIGR00756
PLSCT00000008127	TIGRFAM:TIGR00115
PLSCT00000016236	TIGRFAM:TIGR00323
PLSCT00000013884	TIGRFAM:TIGR00604
PLSCT00000017574	TIGRFAM:TIGR01226
PLSCT00000013654	TIGRFAM:TIGR00756
PLSCT00000012331	TIGRFAM:TIGR00433
PLSCT00000017841	TIGRFAM:TIGR00030
PLSCT00000007533	TIGRFAM:TIGR00442
PLSCT00000015317	TIGRFAM:TIGR00002
PLSCT00000015974	TIGRFAM:TIGR00154
PLSCT00000000950	TIGRFAM:TIGR00756
PLSCT00000009067	TIGRFAM:TIGR00430,TIGRFAM:TIGR00449
PLSCT00000003566	TIGRFAM:TIGR00128
PLSCT00000020656	TIGRFAM:TIGR01317
PLSCT00000007355	TIGRFAM:TIGR01978
PLSCT00000010390	TIGRFAM:TIGR01509
PLSCT00000018198	TIGRFAM:TIGR01273
PLSCT00000019251	TIGRFAM:TIGR00365
PLSCT00000013059	TIGRFAM:TIGR00928
PLSCT00000017839	TIGRFAM:TIGR00478
PLSCT00000015655	TIGRFAM:TIGR01064
PLSCT00000003637	TIGRFAM:TIGR01179
PLSCT00000002522	TIGRFAM:TIGR01226
PLSCT00000019259	TIGRFAM:TIGR00513
PLSCT00000011974	TIGRFAM:TIGR00446
PLSCT00000012631	TIGRFAM:TIGR01368
PLSCT00000020772	TIGRFAM:TIGR00279
PLSCT00000016628	TIGRFAM:TIGR00322
PLSCT00000000676	TIGRFAM:TIGR00471
PLSCT00000004265	TIGRFAM:TIGR00756
PLSCT00000004405	TIGRFAM:TIGR01301
PLSCT00000017767	TIGRFAM:TIGR03284
PLSCT00000003864	TIGRFAM:TIGR01025
PLSCT00000019594	TIGRFAM:TIGR00756
PLSCT00000016953	TIGRFAM:TIGR00879
PLSCT00000015587	TIGRFAM:TIGR00231
PLSCT00000020872	TIGRFAM:TIGR01242
PLSCT00000014843	TIGRFAM:TIGR01812
PLSCT00000019216	TIGRFAM:TIGR01249
PLSCT00000018405	TIGRFAM:TIGR01126,TIGRFAM:TIGR01130
PLSCT00000014560	TIGRFAM:TIGR01640
PLSCT00000012280	TIGRFAM:TIGR00756
PLSCT00000016942	TIGRFAM:TIGR01307
PLSCT00000006699	TIGRFAM:TIGR01930
PLSCT00000014245	TIGRFAM:TIGR00422
PLSCT00000006750	TIGRFAM:TIGR01130
PLSCT00000015773	TIGRFAM:TIGR00127
PLSCT00000006362	TIGRFAM:TIGR00756
PLSCT00000009802	TIGRFAM:TIGR00209
PLSCT00000021430	TIGRFAM:TIGR01068
PLSCT00000016722	TIGRFAM:TIGR00003,TIGRFAM:TIGR01494,TIGRFAM:TIGR01525
PLSCT00000007759	TIGRFAM:TIGR00756
PLSCT00000017365	TIGRFAM:TIGR00877
PLSCT00000006361	TIGRFAM:TIGR01614
PLSCT00000006755	TIGRFAM:TIGR00111
PLSCT00000016775	TIGRFAM:TIGR00963
PLSCT00000015405	TIGRFAM:TIGR00110
PLSCT00000009478	TIGRFAM:TIGR00231
PLSCT00000005934	TIGRFAM:TIGR01930
PLSCT00000005886	TIGRFAM:TIGR00401
PLSCT00000015114	TIGRFAM:TIGR03026
PLSCT00000018914	TIGRFAM:TIGR00887
PLSCT00000003428	TIGRFAM:TIGR02468
PLSCT00000006089	TIGRFAM:TIGR00231,TIGRFAM:TIGR00485
PLSCT00000006186	TIGRFAM:TIGR02730
PLSCT00000002580	TIGRFAM:TIGR00592
PLSCT00000019636	TIGRFAM:TIGR01488,TIGRFAM:TIGR01489
PLSCT00000014710	TIGRFAM:TIGR00756
PLSCT00000008847	TIGRFAM:TIGR02012
PLSCT00000001007	TIGRFAM:TIGR01126
PLSCT00000012684	TIGRFAM:TIGR02058
PLSCT00000014997	TIGRFAM:TIGR01494,TIGRFAM:TIGR01525
PLSCT00000019895	TIGRFAM:TIGR01012
PLSCT00000021048	TIGRFAM:TIGR02025
PLSCT00000011209	TIGRFAM:TIGR03591
PLSCT00000008673	TIGRFAM:TIGR02150
PLSCT00000008601	TIGRFAM:TIGR01494,TIGRFAM:TIGR01647
PLSCT00000020555	TIGRFAM:TIGR01494,TIGRFAM:TIGR01652
PLSCT00000021237	TIGRFAM:TIGR01494,TIGRFAM:TIGR01652
PLSCT00000014357	TIGRFAM:TIGR02091
PLSCT00000002178	TIGRFAM:TIGR00756
PLSCT00000008815	TIGRFAM:TIGR01973
PLSCT00000005323	TIGRFAM:TIGR00517
PLSCT00000018769	TIGRFAM:TIGR00231
PLSCT00000015832	TIGRFAM:TIGR00756
PLSCT00000007487	TIGRFAM:TIGR00280
PLSCT00000000812	TIGRFAM:TIGR01126
PLSCT00000017811	TIGRFAM:TIGR00055
PLSCT00000009192	TIGRFAM:TIGR01048
PLSCT00000011596	TIGRFAM:TIGR03561
PLSCT00000012988	TIGRFAM:TIGR00578
PLSCT00000008328	TIGRFAM:TIGR00756
PLSCT00000010153	TIGRFAM:TIGR01019
PLSCT00000007079	TIGRFAM:TIGR00408
PLSCT00000015682	TIGRFAM:TIGR01934
PLSCT00000002246	TIGRFAM:TIGR00231,TIGRFAM:TIGR00485
PLSCT00000001530	TIGRFAM:TIGR00756
PLSCT00000015774	TIGRFAM:TIGR00127
PLSCT00000004518	TIGRFAM:TIGR00227,TIGRFAM:TIGR00326
PLSCT00000020517	TIGRFAM:TIGR01482,TIGRFAM:TIGR01484,TIGRFAM:TIGR01485
PLSCT00000014081	TIGRFAM:TIGR01632
PLSCT00000012345	TIGRFAM:TIGR01642
PLSCT00000004736	TIGRFAM:TIGR00092
PLSCT00000003563	TIGRFAM:TIGR00369
PLSCT00000006412	TIGRFAM:TIGR02630
PLSCT00000019504	TIGRFAM:TIGR00231
PLSCT00000006677	TIGRFAM:TIGR00756
PLSCT00000014153	TIGRFAM:TIGR01146
PLSCT00000011709	TIGRFAM:TIGR03596
PLSCT00000006211	TIGRFAM:TIGR02030
PLSCT00000001211	TIGRFAM:TIGR00355
PLSCT00000019295	TIGRFAM:TIGR03630
PLSCT00000013660	TIGRFAM:TIGR02729,TIGRFAM:TIGR03595
PLSCT00000008128	TIGRFAM:TIGR00815
PLSCT00000006374	TIGRFAM:TIGR00138
PLSCT00000014230	TIGRFAM:TIGR00423,TIGRFAM:TIGR03551
PLSCT00000007340	TIGRFAM:TIGR01251
PLSCT00000003596	TIGRFAM:TIGR00166
PLSCT00000017858	TIGRFAM:TIGR01172
PLSCT00000016860	TIGRFAM:TIGR00756
PLSCT00000013250	TIGRFAM:TIGR00012
PLSCT00000012054	TIGRFAM:TIGR00756
PLSCT00000015683	TIGRFAM:TIGR00157
PLSCT00000009702	TIGRFAM:TIGR02349
PLSCT00000013115	TIGRFAM:TIGR00756
PLSCT00000010085	TIGRFAM:TIGR00218
PLSCT00000012487	TIGRFAM:TIGR01559
PLSCT00000018302	TIGRFAM:TIGR00523
PLSCT00000005811	TIGRFAM:TIGR00278
PLSCT00000018836	TIGRFAM:TIGR00756
PLSCT00000015989	TIGRFAM:TIGR03676
PLSCT00000018664	TIGRFAM:TIGR03592
PLSCT00000018013	TIGRFAM:TIGR00757
PLSCT00000006719	TIGRFAM:TIGR00449
PLSCT00000009640	TIGRFAM:TIGR00125
PLSCT00000015135	TIGRFAM:TIGR01242
PLSCT00000020686	TIGRFAM:TIGR00229
PLSCT00000000387	TIGRFAM:TIGR01959
PLSCT00000020601	TIGRFAM:TIGR01632
PLSCT00000008981	TIGRFAM:TIGR01494,TIGRFAM:TIGR01652
PLSCT00000010604	TIGRFAM:TIGR01411
PLSCT00000010317	TIGRFAM:TIGR01018
PLSCT00000005454	TIGRFAM:TIGR00964
PLSCT00000020029	TIGRFAM:TIGR01049
PLSCT00000017715	TIGRFAM:TIGR01044
PLSCT00000012139	TIGRFAM:TIGR02012
PLSCT00000020131	TIGRFAM:TIGR01292
PLSCT00000004459	TIGRFAM:TIGR01958
PLSCT00000014442	TIGRFAM:TIGR01116,TIGRFAM:TIGR01494
PLSCT00000006152	TIGRFAM:TIGR01126
PLSCT00000013046	TIGRFAM:TIGR01509
PLSCT00000008137	TIGRFAM:TIGR01494,TIGRFAM:TIGR01657
PLSCT00000016524	TIGRFAM:TIGR02344
PLSCT00000021017	TIGRFAM:TIGR00231
PLSCT00000018958	TIGRFAM:TIGR00756
PLSCT00000012347	TIGRFAM:TIGR01642
PLSCT00000015936	TIGRFAM:TIGR00101
PLSCT00000010381	TIGRFAM:TIGR00229
PLSCT00000009692	TIGRFAM:TIGR01565,TIGRFAM:TIGR01566
PLSCT00000001443	TIGRFAM:TIGR03383
PLSCT00000021369	TIGRFAM:TIGR00788
PLSCT00000000406	TIGRFAM:TIGR01780
PLSCT00000002254	TIGRFAM:TIGR00231
PLSCT00000011108	TIGRFAM:TIGR02749
PLSCT00000006459	TIGRFAM:TIGR00065
PLSCT00000016338	TIGRFAM:TIGR00243
PLSCT00000000592	TIGRFAM:TIGR01036
PLSCT00000003075	TIGRFAM:TIGR00537
PLSCT00000015654	TIGRFAM:TIGR03676
PLSCT00000020072	TIGRFAM:TIGR03381
PLSCT00000016639	TIGRFAM:TIGR01344
PLSCT00000001774	TIGRFAM:TIGR00855
PLSCT00000009766	TIGRFAM:TIGR01064
PLSCT00000009509	TIGRFAM:TIGR00879
PLSCT00000016919	TIGRFAM:TIGR01357
PLSCT00000020024	TIGRFAM:TIGR00229
PLSCT00000017801	TIGRFAM:TIGR01349
PLSCT00000003166	TIGRFAM:TIGR01124
PLSCT00000012659	TIGRFAM:TIGR02962
PLSCT00000011138	TIGRFAM:TIGR03060
PLSCT00000008591	TIGRFAM:TIGR00500
PLSCT00000016140	TIGRFAM:TIGR02477
PLSCT00000019737	TIGRFAM:TIGR01494,TIGRFAM:TIGR01517
PLSCT00000003780	TIGRFAM:TIGR00794
PLSCT00000020928	TIGRFAM:TIGR00232
PLSCT00000007407	TIGRFAM:TIGR02244
PLSCT00000000637	TIGRFAM:TIGR01622
PLSCT00000017358	TIGRFAM:TIGR01494
PLSCT00000006897	TIGRFAM:TIGR00756
PLSCT00000007592	TIGRFAM:TIGR01134
PLSCT00000015127	TIGRFAM:TIGR02244
PLSCT00000013990	TIGRFAM:TIGR03596
PLSCT00000010560	TIGRFAM:TIGR02477
PLSCT00000011155	TIGRFAM:TIGR01136,TIGRFAM:TIGR01139
PLSCT00000013728	TIGRFAM:TIGR01023
PLSCT00000018853	TIGRFAM:TIGR01308
PLSCT00000016213	TIGRFAM:TIGR01216
PLSCT00000020291	TIGRFAM:TIGR01986
PLSCT00000001597	TIGRFAM:TIGR03380
PLSCT00000006713	TIGRFAM:TIGR01494
PLSCT00000011140	TIGRFAM:TIGR00229
PLSCT00000006460	TIGRFAM:TIGR01016
PLSCT00000006391	TIGRFAM:TIGR01482,TIGRFAM:TIGR01484,TIGRFAM:TIGR01485
PLSCT00000018515	TIGRFAM:TIGR00091
PLSCT00000001891	TIGRFAM:TIGR00231
PLSCT00000003776	TIGRFAM:TIGR00756
PLSCT00000006009	TIGRFAM:TIGR01788
PLSCT00000008820	TIGRFAM:TIGR00215
PLSCT00000021167	TIGRFAM:TIGR01628
PLSCT00000004483	TIGRFAM:TIGR02937
PLSCT00000002261	TIGRFAM:TIGR01509
PLSCT00000017280	TIGRFAM:TIGR00769
PLSCT00000004480	TIGRFAM:TIGR01628
PLSCT00000012740	TIGRFAM:TIGR04560
PLSCT00000020317	TIGRFAM:TIGR00125
PLSCT00000005835	TIGRFAM:TIGR01557
PLSCT00000018868	TIGRFAM:TIGR00231
PLSCT00000018162	TIGRFAM:TIGR00813
PLSCT00000010509	TIGRFAM:TIGR00096
PLSCT00000002125	TIGRFAM:TIGR00466
PLSCT00000007189	TIGRFAM:TIGR00453
PLSCT00000011850	TIGRFAM:TIGR01640
PLSCT00000009346	TIGRFAM:TIGR00231
PLSCT00000008207	TIGRFAM:TIGR01549
PLSCT00000010877	TIGRFAM:TIGR00418
PLSCT00000000220	TIGRFAM:TIGR00836
PLSCT00000014105	TIGRFAM:TIGR00048
PLSCT00000010657	TIGRFAM:TIGR00012
PLSCT00000001635	TIGRFAM:TIGR00231
PLSCT00000018146	TIGRFAM:TIGR01509
PLSCT00000020573	TIGRFAM:TIGR00756
PLSCT00000017697	TIGRFAM:TIGR00730
PLSCT00000017530	TIGRFAM:TIGR00817
PLSCT00000007254	TIGRFAM:TIGR00231
PLSCT00000004018	TIGRFAM:TIGR00214
PLSCT00000017772	TIGRFAM:TIGR00229
PLSCT00000004349	TIGRFAM:TIGR01571
PLSCT00000018801	TIGRFAM:TIGR00879
PLSCT00000014228	TIGRFAM:TIGR00043,TIGRFAM:TIGR00099,TIGRFAM:TIGR01484
PLSCT00000004382	TIGRFAM:TIGR01509
PLSCT00000001776	TIGRFAM:TIGR00327
PLSCT00000002835	TIGRFAM:TIGR00322
PLSCT00000017777	TIGRFAM:TIGR01494,TIGRFAM:TIGR01517
PLSCT00000006704	TIGRFAM:TIGR01658
PLSCT00000019070	TIGRFAM:TIGR00581
PLSCT00000020470	TIGRFAM:TIGR00231,TIGRFAM:TIGR00487
PLSCT00000021312	TIGRFAM:TIGR01064
PLSCT00000017197	TIGRFAM:TIGR00231
PLSCT00000014443	TIGRFAM:TIGR02029
PLSCT00000014386	TIGRFAM:TIGR00756
PLSCT00000002228	TIGRFAM:TIGR00590
PLSCT00000004766	TIGRFAM:TIGR01211
PLSCT00000011895	TIGRFAM:TIGR01456
PLSCT00000001430	TIGRFAM:TIGR01263
PLSCT00000006472	TIGRFAM:TIGR00019
PLSCT00000000477	TIGRFAM:TIGR02470
PLSCT00000004849	TIGRFAM:TIGR00041
PLSCT00000002633	TIGRFAM:TIGR00062
PLSCT00000003105	TIGRFAM:TIGR01021
PLSCT00000001711	TIGRFAM:TIGR00060
PLSCT00000003067	TIGRFAM:TIGR01460
PLSCT00000002594	TIGRFAM:TIGR00068
PLSCT00000005801	TIGRFAM:TIGR02095
PLSCT00000005443	TIGRFAM:TIGR00231
PLSCT00000010298	TIGRFAM:TIGR01327
PLSCT00000005838	TIGRFAM:TIGR01662,TIGRFAM:TIGR01668
PLSCT00000000790	TIGRFAM:TIGR00231,TIGRFAM:TIGR00450
PLSCT00000019005	TIGRFAM:TIGR00536
PLSCT00000012881	TIGRFAM:TIGR01757,TIGRFAM:TIGR01759
PLSCT00000020643	TIGRFAM:TIGR00797
PLSCT00000011293	TIGRFAM:TIGR01362
PLSCT00000020357	TIGRFAM:TIGR00617
PLSCT00000017343	TIGRFAM:TIGR00125
PLSCT00000021321	TIGRFAM:TIGR00231
PLSCT00000018291	TIGRFAM:TIGR00133
PLSCT00000014707	TIGRFAM:TIGR00329
PLSCT00000007867	TIGRFAM:TIGR00245
PLSCT00000014259	TIGRFAM:TIGR02349
PLSCT00000007192	TIGRFAM:TIGR00861
PLSCT00000008318	TIGRFAM:TIGR00336,TIGRFAM:TIGR01740
PLSCT00000000328	TIGRFAM:TIGR02731
PLSCT00000005809	TIGRFAM:TIGR01364
PLSCT00000008355	TIGRFAM:TIGR00020
PLSCT00000012594	TIGRFAM:TIGR00231,TIGRFAM:TIGR01393
PLSCT00000003899	TIGRFAM:TIGR00861
PLSCT00000018715	TIGRFAM:TIGR00501
PLSCT00000001873	TIGRFAM:TIGR01042
PLSCT00000011039	TIGRFAM:TIGR00398
PLSCT00000015579	TIGRFAM:TIGR03542
PLSCT00000018517	TIGRFAM:TIGR00091
PLSCT00000012890	TIGRFAM:TIGR01484
PLSCT00000018532	TIGRFAM:TIGR00231
PLSCT00000020230	TIGRFAM:TIGR01557
PLSCT00000013202	TIGRFAM:TIGR00326
PLSCT00000019608	TIGRFAM:TIGR01203
PLSCT00000010983	TIGRFAM:TIGR00211
PLSCT00000015937	TIGRFAM:TIGR00101
PLSCT00000010035	TIGRFAM:TIGR01830
PLSCT00000016198	TIGRFAM:TIGR03178
PLSCT00000004092	TIGRFAM:TIGR00049
PLSCT00000001143	TIGRFAM:TIGR03156
PLSCT00000017781	TIGRFAM:TIGR00179
PLSCT00000013790	TIGRFAM:TIGR00229
PLSCT00000018872	TIGRFAM:TIGR00633
PLSCT00000010032	TIGRFAM:TIGR01787
PLSCT00000016546	TIGRFAM:TIGR01476,TIGRFAM:TIGR02056
PLSCT00000003760	TIGRFAM:TIGR00756
PLSCT00000021095	TIGRFAM:TIGR00674
PLSCT00000000410	TIGRFAM:TIGR00694
