PLSCT00000007050	CDD:cd04254
PLSCT00000019516	CDD:cd00043
PLSCT00000006708	CDD:cd00204,CDD:cd02440
PLSCT00000010812	CDD:cd04237,CDD:cd04301
PLSCT00000000382	CDD:cd03571
PLSCT00000006838	CDD:cd04604,CDD:cd05014
PLSCT00000006990	CDD:cd00162,CDD:cd02123
PLSCT00000006096	CDD:cd12352,CDD:cd12354,CDD:cd12619
PLSCT00000006764	CDD:cd15845
PLSCT00000019958	CDD:cd03062
PLSCT00000012222	CDD:cd00333
PLSCT00000014186	CDD:cd08241
PLSCT00000004090	CDD:cd09993
PLSCT00000003324	CDD:cd12384
PLSCT00000006797	CDD:cd00162
PLSCT00000018861	CDD:cd13179
PLSCT00000018112	CDD:cd07233
PLSCT00000007283	CDD:cd05169
PLSCT00000018756	CDD:cd01926
PLSCT00000018845	CDD:cd03710
PLSCT00000005589	CDD:cd00200
PLSCT00000016969	CDD:cd09323
PLSCT00000009261	CDD:cd08866
PLSCT00000011410	CDD:cd14066
PLSCT00000017978	CDD:cd04516
PLSCT00000017724	CDD:cd11314
PLSCT00000001260	CDD:cd06071
PLSCT00000014629	CDD:cd00046,CDD:cd00079
PLSCT00000019791	CDD:cd01860
PLSCT00000013586	CDD:cd14295,CDD:cd14388
PLSCT00000018807	CDD:cd00371
PLSCT00000007268	CDD:cd05476
PLSCT00000021389	CDD:cd00046,CDD:cd00079
PLSCT00000006098	CDD:cd12352,CDD:cd12354,CDD:cd12619
PLSCT00000019285	CDD:cd05374
PLSCT00000006898	CDD:cd14943
PLSCT00000020329	CDD:cd01667
PLSCT00000007246	CDD:cd06223
PLSCT00000016367	CDD:cd02440
PLSCT00000019124	CDD:cd14066
PLSCT00000010597	CDD:cd10017
PLSCT00000003289	CDD:cd01806
PLSCT00000010173	CDD:cd04329
PLSCT00000014070	CDD:cd00839
PLSCT00000020871	CDD:cd06257
PLSCT00000000633	CDD:cd12284,CDD:cd12285
PLSCT00000016079	CDD:cd15492,CDD:cd15571
PLSCT00000013205	CDD:cd06855
PLSCT00000020716	CDD:cd14066
PLSCT00000009996	CDD:cd01890
PLSCT00000016539	CDD:cd06204
PLSCT00000018321	CDD:cd12408,CDD:cd12933
PLSCT00000002739	CDD:cd03277
PLSCT00000008919	CDD:cd06174
PLSCT00000005947	CDD:cd02801
PLSCT00000015924	CDD:cd00072
PLSCT00000009507	CDD:cd10017
PLSCT00000009547	CDD:cd00156
PLSCT00000004330	CDD:cd00046
PLSCT00000011636	CDD:cd12458
PLSCT00000020958	CDD:cd00046
PLSCT00000020890	CDD:cd07361
PLSCT00000013666	CDD:cd06632
PLSCT00000008961	CDD:cd00332
PLSCT00000002267	CDD:cd00060
PLSCT00000007795	CDD:cd05163
PLSCT00000014415	CDD:cd00009
PLSCT00000020593	CDD:cd05243
PLSCT00000019665	CDD:cd06445
PLSCT00000008925	CDD:cd04587,CDD:cd06409
PLSCT00000017483	CDD:cd02440
PLSCT00000007860	CDD:cd06259
PLSCT00000008258	CDD:cd00162
PLSCT00000006881	CDD:cd07991
PLSCT00000021653	CDD:cd05402
PLSCT00000017052	CDD:cd01728
PLSCT00000005441	CDD:cd01866
PLSCT00000005813	CDD:cd09253
PLSCT00000011113	CDD:cd02854
PLSCT00000009782	CDD:cd11537
PLSCT00000003048	CDD:cd00079
PLSCT00000021326	CDD:cd00118
PLSCT00000016467	CDD:cd00693
PLSCT00000010833	CDD:cd00079,CDD:cd00268,CDD:cd12938
PLSCT00000019728	CDD:cd00020
PLSCT00000000202	CDD:cd02120,CDD:cd04852
PLSCT00000018633	CDD:cd00200
PLSCT00000016642	CDD:cd06174
PLSCT00000015759	CDD:cd06928
PLSCT00000012060	CDD:cd00653
PLSCT00000017631	CDD:cd00075,CDD:cd00082,CDD:cd00156
PLSCT00000008169	CDD:cd01837
PLSCT00000008232	CDD:cd07989
PLSCT00000018429	CDD:cd01639
PLSCT00000004595	CDD:cd00079,CDD:cd00268
PLSCT00000018721	CDD:cd06454
PLSCT00000010881	CDD:cd00046
PLSCT00000001464	CDD:cd05230
PLSCT00000013189	CDD:cd00020,CDD:cd00106
PLSCT00000010636	CDD:cd00432
PLSCT00000021539	CDD:cd00079,CDD:cd00268,CDD:cd12937
PLSCT00000002111	CDD:cd00839
PLSCT00000013374	CDD:cd00201
PLSCT00000014687	CDD:cd01719
PLSCT00000000446	CDD:cd00075
PLSCT00000014370	CDD:cd00162
PLSCT00000021401	CDD:cd00075,CDD:cd00082,CDD:cd00156
PLSCT00000020772	CDD:cd01433
PLSCT00000019766	CDD:cd07914
PLSCT00000004405	CDD:cd06174
PLSCT00000015009	CDD:cd00030
PLSCT00000002133	CDD:cd00982
PLSCT00000003931	CDD:cd00171
PLSCT00000014364	CDD:cd11684
PLSCT00000009022	CDD:cd08068
PLSCT00000018493	CDD:cd00143
PLSCT00000001195	CDD:cd00673
PLSCT00000003061	CDD:cd15873
PLSCT00000008380	CDD:cd00204
PLSCT00000018326	CDD:cd02000
PLSCT00000010359	CDD:cd00070
PLSCT00000015994	CDD:cd00223
PLSCT00000005543	CDD:cd15843
PLSCT00000009526	CDD:cd00020
PLSCT00000019385	CDD:cd00009
PLSCT00000017374	CDD:cd00156
PLSCT00000013590	CDD:cd00082
PLSCT00000012620	CDD:cd00204
PLSCT00000000687	CDD:cd07417
PLSCT00000018706	CDD:cd00027
PLSCT00000002668	CDD:cd00158
PLSCT00000009231	CDD:cd00046,CDD:cd00079
PLSCT00000020474	CDD:cd02142
PLSCT00000013368	CDD:cd00519
PLSCT00000002132	CDD:cd00713
PLSCT00000006699	CDD:cd00751
PLSCT00000020198	CDD:cd02809
PLSCT00000003862	CDD:cd10017
PLSCT00000005388	CDD:cd05285
PLSCT00000012257	CDD:cd08062
PLSCT00000016637	CDD:cd03232
PLSCT00000001029	CDD:cd11314
PLSCT00000009478	CDD:cd01868
PLSCT00000002674	CDD:cd03426
PLSCT00000007961	CDD:cd00021
PLSCT00000015428	CDD:cd03244
PLSCT00000009240	CDD:cd01299
PLSCT00000008572	CDD:cd06604,CDD:cd14752
PLSCT00000013397	CDD:cd09612
PLSCT00000019981	CDD:cd06366
PLSCT00000018914	CDD:cd06174
PLSCT00000001992	CDD:cd00204
PLSCT00000007689	CDD:cd00046
PLSCT00000003138	CDD:cd04852
PLSCT00000012323	CDD:cd02988
PLSCT00000011647	CDD:cd00083
PLSCT00000001007	CDD:cd02961,CDD:cd02981
PLSCT00000017436	CDD:cd02005
PLSCT00000013293	CDD:cd00156
PLSCT00000001103	CDD:cd00693
PLSCT00000003826	CDD:cd04590
PLSCT00000010847	CDD:cd00105
PLSCT00000001214	CDD:cd14066
PLSCT00000015284	CDD:cd00162
PLSCT00000009574	CDD:cd00027
PLSCT00000013095	CDD:cd14752
PLSCT00000002918	CDD:cd15843
PLSCT00000019255	CDD:cd00018
PLSCT00000017811	CDD:cd00475
PLSCT00000011188	CDD:cd02016
PLSCT00000011842	CDD:cd04019,CDD:cd08378,CDD:cd08379
PLSCT00000001741	CDD:cd14066
PLSCT00000015682	CDD:cd02440
PLSCT00000009967	CDD:cd15612
PLSCT00000017081	CDD:cd04413
PLSCT00000020623	CDD:cd15466
PLSCT00000001497	CDD:cd00020
PLSCT00000017936	CDD:cd00171
PLSCT00000020587	CDD:cd07017
PLSCT00000003563	CDD:cd03443
PLSCT00000009511	CDD:cd06147
PLSCT00000004545	CDD:cd02176
PLSCT00000020505	CDD:cd00046
PLSCT00000001120	CDD:cd03274
PLSCT00000001060	CDD:cd00371
PLSCT00000011459	CDD:cd00162
PLSCT00000020378	CDD:cd00143
PLSCT00000010810	CDD:cd04301
PLSCT00000014230	CDD:cd01335
PLSCT00000019935	CDD:cd03445
PLSCT00000017858	CDD:cd03354
PLSCT00000012560	CDD:cd06257
PLSCT00000005469	CDD:cd06257,CDD:cd10719,CDD:cd10747
PLSCT00000021002	CDD:cd03442
PLSCT00000004792	CDD:cd01135
PLSCT00000010966	CDD:cd05831
PLSCT00000000923	CDD:cd00693
PLSCT00000014149	CDD:cd00051
PLSCT00000016008	CDD:cd08958
PLSCT00000003241	CDD:cd00009
PLSCT00000014787	CDD:cd02201
PLSCT00000009884	CDD:cd00046,CDD:cd00079
PLSCT00000002514	CDD:cd02947
PLSCT00000007312	CDD:cd05398
PLSCT00000004486	CDD:cd00079,CDD:cd00268
PLSCT00000016080	CDD:cd15492
PLSCT00000001170	CDD:cd00684
PLSCT00000005958	CDD:cd09256
PLSCT00000020686	CDD:cd00130
PLSCT00000015209	CDD:cd00186
PLSCT00000008563	CDD:cd10910
PLSCT00000011952	CDD:cd00502
PLSCT00000011616	CDD:cd02440
PLSCT00000002783	CDD:cd01448
PLSCT00000015043	CDD:cd04591
PLSCT00000002020	CDD:cd04015
PLSCT00000008984	CDD:cd12324
PLSCT00000014442	CDD:cd01427
PLSCT00000006152	CDD:cd00238,CDD:cd02998
PLSCT00000011821	CDD:cd02187
PLSCT00000003427	CDD:cd15777
PLSCT00000008766	CDD:cd02187
PLSCT00000016588	CDD:cd03240
PLSCT00000012093	CDD:cd02947
PLSCT00000006983	CDD:cd12446
PLSCT00000021017	CDD:cd04164
PLSCT00000001370	CDD:cd10017
PLSCT00000014767	CDD:cd15862
PLSCT00000002515	CDD:cd01053
PLSCT00000016830	CDD:cd05230
PLSCT00000005737	CDD:cd08066
PLSCT00000018607	CDD:cd00046,CDD:cd00079
PLSCT00000019783	CDD:cd00180
PLSCT00000005936	CDD:cd01390
PLSCT00000002088	CDD:cd00165
PLSCT00000003162	CDD:cd00009
PLSCT00000013363	CDD:cd00610
PLSCT00000008184	CDD:cd06463
PLSCT00000013732	CDD:cd14011
PLSCT00000004193	CDD:cd00143
PLSCT00000015439	CDD:cd02120,CDD:cd04852
PLSCT00000006459	CDD:cd02201
PLSCT00000011321	CDD:cd00751
PLSCT00000007373	CDD:cd02440,CDD:cd11715
PLSCT00000014765	CDD:cd07816
PLSCT00000002305	CDD:cd01741
PLSCT00000002980	CDD:cd03249
PLSCT00000017255	CDD:cd00132
PLSCT00000017285	CDD:cd00446
PLSCT00000007168	CDD:cd12245,CDD:cd12420
PLSCT00000014018	CDD:cd15612
PLSCT00000001577	CDD:cd08771
PLSCT00000017801	CDD:cd06849
PLSCT00000018432	CDD:cd02908
PLSCT00000015641	CDD:cd05233
PLSCT00000002065	CDD:cd06660
PLSCT00000013575	CDD:cd05688
PLSCT00000020928	CDD:cd02012,CDD:cd07033
PLSCT00000012276	CDD:cd00012
PLSCT00000020967	CDD:cd00105,CDD:cd02396
PLSCT00000006566	CDD:cd14327
PLSCT00000001594	CDD:cd06174
PLSCT00000003630	CDD:cd03426
PLSCT00000013706	CDD:cd06174
PLSCT00000008764	CDD:cd00030
PLSCT00000017878	CDD:cd00412
PLSCT00000013990	CDD:cd01856
PLSCT00000010641	CDD:cd00693
PLSCT00000018853	CDD:cd01658
PLSCT00000016829	CDD:cd03757
PLSCT00000016616	CDD:cd00056,CDD:cd03431
PLSCT00000013093	CDD:cd06602,CDD:cd14752
PLSCT00000015450	CDD:cd00076
PLSCT00000002677	CDD:cd00046,CDD:cd00079,CDD:cd00204
PLSCT00000012229	CDD:cd00046,CDD:cd00079
PLSCT00000015299	CDD:cd03250
PLSCT00000021169	CDD:cd04587
PLSCT00000002491	CDD:cd07214
PLSCT00000012756	CDD:cd00371
PLSCT00000017003	CDD:cd00052
PLSCT00000001891	CDD:cd00877
PLSCT00000000956	CDD:cd00105,CDD:cd02396
PLSCT00000011828	CDD:cd01766
PLSCT00000015586	CDD:cd00275
PLSCT00000010625	CDD:cd07305
PLSCT00000002568	CDD:cd07067
PLSCT00000004480	CDD:cd12378,CDD:cd12379,CDD:cd12380
PLSCT00000009464	CDD:cd03190
PLSCT00000007223	CDD:cd00884
PLSCT00000017914	CDD:cd00513
PLSCT00000007189	CDD:cd02516
PLSCT00000007475	CDD:cd04278
PLSCT00000009346	CDD:cd01863
PLSCT00000002890	CDD:cd02120,CDD:cd04852
PLSCT00000000911	CDD:cd05658
PLSCT00000021242	CDD:cd12362
PLSCT00000003787	CDD:cd00400
PLSCT00000003948	CDD:cd00162
PLSCT00000007588	CDD:cd00009
PLSCT00000020626	CDD:cd00024
PLSCT00000009168	CDD:cd12334
PLSCT00000018801	CDD:cd06174
PLSCT00000021570	CDD:cd00014
PLSCT00000007275	CDD:cd00051
PLSCT00000013178	CDD:cd15843
PLSCT00000008356	CDD:cd06174
PLSCT00000004500	CDD:cd12530
PLSCT00000007432	CDD:cd00204
PLSCT00000012057	CDD:cd13999
PLSCT00000014443	CDD:cd01047
PLSCT00000001698	CDD:cd03249
PLSCT00000009368	CDD:cd03232,CDD:cd03233
PLSCT00000009881	CDD:cd00009
PLSCT00000004766	CDD:cd01335
PLSCT00000008675	CDD:cd01427
PLSCT00000002861	CDD:cd00201
PLSCT00000000781	CDD:cd00020
PLSCT00000021130	CDD:cd00018
PLSCT00000009485	CDD:cd06872
PLSCT00000010595	CDD:cd00051,CDD:cd05117
PLSCT00000010882	CDD:cd01053
PLSCT00000004981	CDD:cd00204,CDD:cd13250
PLSCT00000013565	CDD:cd01855
PLSCT00000002253	CDD:cd00086
PLSCT00000007402	CDD:cd10017
PLSCT00000005433	CDD:cd01091
PLSCT00000013873	CDD:cd00897
PLSCT00000014584	CDD:cd00060
PLSCT00000002594	CDD:cd07233
PLSCT00000010624	CDD:cd01201,CDD:cd06071
PLSCT00000010298	CDD:cd04902,CDD:cd12173
PLSCT00000005034	CDD:cd00162
PLSCT00000006772	CDD:cd00009
PLSCT00000008813	CDD:cd00162
PLSCT00000000790	CDD:cd04164
PLSCT00000016381	CDD:cd12122
PLSCT00000012881	CDD:cd01338
PLSCT00000001106	CDD:cd00519
PLSCT00000015482	CDD:cd00009
PLSCT00000009607	CDD:cd12266
PLSCT00000013377	CDD:cd00201
PLSCT00000011775	CDD:cd12599,CDD:cd12602
PLSCT00000015416	CDD:cd06223
PLSCT00000012594	CDD:cd01890,CDD:cd03699,CDD:cd03709
PLSCT00000018715	CDD:cd01088
PLSCT00000016701	CDD:cd00590
PLSCT00000017964	CDD:cd00162
PLSCT00000010818	CDD:cd01374
PLSCT00000006457	CDD:cd06127
PLSCT00000002888	CDD:cd00162
PLSCT00000005916	CDD:cd00009
PLSCT00000004247	CDD:cd14066
PLSCT00000017494	CDD:cd03444
PLSCT00000000324	CDD:cd05833
PLSCT00000014130	CDD:cd03424
PLSCT00000021479	CDD:cd01858
PLSCT00000002969	CDD:cd00046,CDD:cd00079
PLSCT00000013202	CDD:cd01284
PLSCT00000018913	CDD:cd00043
PLSCT00000016659	CDD:cd14944
PLSCT00000005444	CDD:cd08066
PLSCT00000009864	CDD:cd05167
PLSCT00000011258	CDD:cd00299
PLSCT00000021030	CDD:cd00167,CDD:cd02336
PLSCT00000013171	CDD:cd00162
PLSCT00000004809	CDD:cd15873
PLSCT00000004233	CDD:cd00446
PLSCT00000008967	CDD:cd12384
PLSCT00000016546	CDD:cd13958
PLSCT00000011625	CDD:cd01745
PLSCT00000000410	CDD:cd01170
PLSCT00000015823	CDD:cd06472
PLSCT00000018113	CDD:cd04301
PLSCT00000013116	CDD:cd03250
PLSCT00000011983	CDD:cd10017
PLSCT00000001763	CDD:cd01728
PLSCT00000012720	CDD:cd01926
PLSCT00000011162	CDD:cd02570
PLSCT00000016635	CDD:cd01722
PLSCT00000018443	CDD:cd15615
PLSCT00000003233	CDD:cd11537
PLSCT00000002530	CDD:cd02440
PLSCT00000003188	CDD:cd00046,CDD:cd00079
PLSCT00000011653	CDD:cd03244,CDD:cd03250
PLSCT00000006344	CDD:cd06174
PLSCT00000004401	CDD:cd00198
PLSCT00000018946	CDD:cd06174
PLSCT00000018765	CDD:cd01867
PLSCT00000003348	CDD:cd10229
PLSCT00000012983	CDD:cd02186
PLSCT00000018324	CDD:cd05574
PLSCT00000010149	CDD:cd00009
PLSCT00000015867	CDD:cd01056
PLSCT00000014015	CDD:cd07821
PLSCT00000011630	CDD:cd10017
PLSCT00000017888	CDD:cd01427
PLSCT00000014999	CDD:cd02440
PLSCT00000009142	CDD:cd09251
PLSCT00000005643	CDD:cd12565
PLSCT00000010254	CDD:cd00162
PLSCT00000010005	CDD:cd01883,CDD:cd03704,CDD:cd04089
PLSCT00000007269	CDD:cd05476
PLSCT00000009439	CDD:cd04151
PLSCT00000000877	CDD:cd06174
PLSCT00000014573	CDD:cd00948
PLSCT00000010205	CDD:cd04015
PLSCT00000014131	CDD:cd03424
PLSCT00000007372	CDD:cd00162
PLSCT00000007308	CDD:cd06174
PLSCT00000020438	CDD:cd00027
PLSCT00000000813	CDD:cd00053,CDD:cd14066
PLSCT00000008233	CDD:cd00653
PLSCT00000005280	CDD:cd00162
PLSCT00000010994	CDD:cd02395
PLSCT00000002707	CDD:cd00299,CDD:cd00570,CDD:cd12108
PLSCT00000018622	CDD:cd00371
PLSCT00000001014	CDD:cd07414
PLSCT00000013755	CDD:cd13132
PLSCT00000004138	CDD:cd01050
PLSCT00000020689	CDD:cd00075
PLSCT00000014273	CDD:cd01853
PLSCT00000005686	CDD:cd00170
PLSCT00000019492	CDD:cd02027
PLSCT00000015413	CDD:cd00162
PLSCT00000017092	CDD:cd14319,CDD:cd14947
PLSCT00000021584	CDD:cd03761
PLSCT00000007873	CDD:cd00170
PLSCT00000004614	CDD:cd00186,CDD:cd03363
PLSCT00000015973	CDD:cd00200
PLSCT00000020469	CDD:cd00577
PLSCT00000004418	CDD:cd00988
PLSCT00000001446	CDD:cd00118
PLSCT00000012155	CDD:cd07835
PLSCT00000004864	CDD:cd00179,CDD:cd15848
PLSCT00000001005	CDD:cd00204
PLSCT00000013220	CDD:cd02568
PLSCT00000000744	CDD:cd05790
PLSCT00000015962	CDD:cd01897
PLSCT00000014992	CDD:cd13970
PLSCT00000020869	CDD:cd00035,CDD:cd00325
PLSCT00000000999	CDD:cd06100
PLSCT00000006698	CDD:cd06558
PLSCT00000008272	CDD:cd01999
PLSCT00000021179	CDD:cd04301
PLSCT00000013303	CDD:cd13593
PLSCT00000004886	CDD:cd00018
PLSCT00000010800	CDD:cd03562
PLSCT00000001180	CDD:cd00449
PLSCT00000005941	CDD:cd01167
PLSCT00000007629	CDD:cd00340
PLSCT00000007916	CDD:cd13132
PLSCT00000017287	CDD:cd09396
PLSCT00000002395	CDD:cd00162
PLSCT00000016898	CDD:cd01673
PLSCT00000006605	CDD:cd00051
PLSCT00000000355	CDD:cd15866
PLSCT00000014910	CDD:cd00377
PLSCT00000002031	CDD:cd00012
PLSCT00000008864	CDD:cd02851
PLSCT00000003019	CDD:cd02869
PLSCT00000019212	CDD:cd05121
PLSCT00000017734	CDD:cd00590
PLSCT00000011728	CDD:cd00009
PLSCT00000015674	CDD:cd01398
PLSCT00000012887	CDD:cd06558
PLSCT00000003116	CDD:cd00609
PLSCT00000005432	CDD:cd03048
PLSCT00000015781	CDD:cd06257
PLSCT00000019882	CDD:cd15489
PLSCT00000020189	CDD:cd00105
PLSCT00000013923	CDD:cd07374
PLSCT00000011080	CDD:cd01763
PLSCT00000005959	CDD:cd01390
PLSCT00000014473	CDD:cd00078
PLSCT00000020464	CDD:cd03001
PLSCT00000011504	CDD:cd02980
PLSCT00000017484	CDD:cd02440
PLSCT00000003123	CDD:cd06174
PLSCT00000006991	CDD:cd00162,CDD:cd02123
PLSCT00000018294	CDD:cd04301
PLSCT00000009104	CDD:cd07938
PLSCT00000012700	CDD:cd06849
PLSCT00000001077	CDD:cd00076
PLSCT00000003502	CDD:cd01763
PLSCT00000007943	CDD:cd07389
PLSCT00000005259	CDD:cd06425
PLSCT00000013254	CDD:cd11370
PLSCT00000010510	CDD:cd00305
PLSCT00000012290	CDD:cd14704
PLSCT00000001414	CDD:cd13132
PLSCT00000000685	CDD:cd14821
PLSCT00000020704	CDD:cd00048,CDD:cd00593
PLSCT00000015417	CDD:cd03108
PLSCT00000006388	CDD:cd02851
PLSCT00000015501	CDD:cd00083
PLSCT00000000876	CDD:cd00121
PLSCT00000000193	CDD:cd02440
PLSCT00000001123	CDD:cd03274
PLSCT00000010259	CDD:cd00464
PLSCT00000008665	CDD:cd00162
PLSCT00000019994	CDD:cd00167
PLSCT00000010493	CDD:cd15482
PLSCT00000015358	CDD:cd06133
PLSCT00000015279	CDD:cd00204
PLSCT00000013796	CDD:cd03407
PLSCT00000003134	CDD:cd01398
PLSCT00000020025	CDD:cd00165
PLSCT00000018844	CDD:cd00018
PLSCT00000002378	CDD:cd14358
PLSCT00000000564	CDD:cd04301
PLSCT00000009262	CDD:cd08866
PLSCT00000008625	CDD:cd03277
PLSCT00000009803	CDD:cd00866
PLSCT00000000570	CDD:cd00075,CDD:cd00082,CDD:cd00130
PLSCT00000008464	CDD:cd06848
PLSCT00000014159	CDD:cd00519
PLSCT00000014970	CDD:cd01383
PLSCT00000003503	CDD:cd00024
PLSCT00000012344	CDD:cd12230,CDD:cd12231,CDD:cd12232
PLSCT00000011304	CDD:cd05271
PLSCT00000020688	CDD:cd00075
PLSCT00000008541	CDD:cd00009
PLSCT00000006707	CDD:cd00083
PLSCT00000021069	CDD:cd00472
PLSCT00000008254	CDD:cd00433
PLSCT00000008091	CDD:cd05121
PLSCT00000018892	CDD:cd02205
PLSCT00000011362	CDD:cd11558
PLSCT00000014605	CDD:cd00683
PLSCT00000009998	CDD:cd08267
PLSCT00000004806	CDD:cd00162
PLSCT00000008843	CDD:cd00075
PLSCT00000007674	CDD:cd01167
PLSCT00000008600	CDD:cd00293
PLSCT00000016643	CDD:cd00130
PLSCT00000013633	CDD:cd00162
PLSCT00000005950	CDD:cd00082
PLSCT00000015594	CDD:cd02440
PLSCT00000000316	CDD:cd00083
PLSCT00000011203	CDD:cd00009
PLSCT00000010490	CDD:cd15482
PLSCT00000007409	CDD:cd06660
PLSCT00000008589	CDD:cd08267
PLSCT00000001278	CDD:cd02186
PLSCT00000020111	CDD:cd02186
PLSCT00000014487	CDD:cd00051
PLSCT00000001423	CDD:cd02801
PLSCT00000006217	CDD:cd00198,CDD:cd14066
PLSCT00000014201	CDD:cd00162
PLSCT00000015517	CDD:cd01577
PLSCT00000008015	CDD:cd00165
PLSCT00000009792	CDD:cd05121
PLSCT00000000224	CDD:cd00207
PLSCT00000019339	CDD:cd05402
PLSCT00000009152	CDD:cd02440
PLSCT00000004179	CDD:cd01883,CDD:cd03693,CDD:cd03705
PLSCT00000011371	CDD:cd00009
PLSCT00000005477	CDD:cd00609
PLSCT00000007367	CDD:cd00204
PLSCT00000013524	CDD:cd00167
PLSCT00000020255	CDD:cd15798
PLSCT00000011719	CDD:cd01366,CDD:cd13200,CDD:cd14473
PLSCT00000018296	CDD:cd01679
PLSCT00000011951	CDD:cd15844
PLSCT00000019253	CDD:cd07018,CDD:cd07023
PLSCT00000009756	CDD:cd06660
PLSCT00000017352	CDD:cd00201
PLSCT00000004539	CDD:cd00018
PLSCT00000016745	CDD:cd15798
PLSCT00000011874	CDD:cd02142
PLSCT00000000423	CDD:cd00757
PLSCT00000018758	CDD:cd00204
PLSCT00000016235	CDD:cd13777,CDD:cd13778
PLSCT00000004805	CDD:cd00177
PLSCT00000000628	CDD:cd12283,CDD:cd12284,CDD:cd12285
PLSCT00000007061	CDD:cd00009
PLSCT00000014319	CDD:cd01337
PLSCT00000004783	CDD:cd01135
PLSCT00000003871	CDD:cd02028
PLSCT00000015851	CDD:cd00075,CDD:cd00082,CDD:cd06225
PLSCT00000021560	CDD:cd03709
PLSCT00000012385	CDD:cd03685,CDD:cd04591
PLSCT00000002539	CDD:cd00079
PLSCT00000018494	CDD:cd00143
PLSCT00000013765	CDD:cd00167
PLSCT00000009250	CDD:cd00167,CDD:cd11659
PLSCT00000021016	CDD:cd05260
PLSCT00000002470	CDD:cd01173
PLSCT00000009219	CDD:cd11010
PLSCT00000020404	CDD:cd01167
PLSCT00000012388	CDD:cd03685,CDD:cd04591
PLSCT00000016249	CDD:cd00713
PLSCT00000019190	CDD:cd06174
PLSCT00000019064	CDD:cd00812,CDD:cd07959
PLSCT00000015280	CDD:cd05121
