PLSCT00000016654	GO:0004609,GO:0008654
PLSCT00000004709	GO:0000139,GO:0005737,GO:0006886,GO:0048280,GO:0005737,GO:0006886,GO:0008565,GO:0016020,GO:0048193
PLSCT00000014508	GO:0005515
PLSCT00000001773	GO:0003333,GO:0015171,GO:0016020
PLSCT00000006838	GO:0005975,GO:0016853,GO:0005975,GO:0030246
PLSCT00000006990	GO:0005515,GO:0008270
PLSCT00000005550	GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:0003777,GO:0007018
PLSCT00000005397	GO:0016020
PLSCT00000016216	GO:0016021,GO:0071705,GO:0071705
PLSCT00000008657	GO:0000786,GO:0003677,GO:0003677,GO:0046982
PLSCT00000013242	GO:0000151,GO:0006511,GO:0016567,GO:0034450,GO:0004842,GO:0016567
PLSCT00000010612	GO:0003872,GO:0005524,GO:0006096,GO:0003872,GO:0006002,GO:0006096,GO:0003872,GO:0006096
PLSCT00000014186	GO:0008270,GO:0016491,GO:0008270,GO:0016491,GO:0055114,GO:0016491,GO:0055114
PLSCT00000013704	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000019771	GO:0009058,GO:0016742
PLSCT00000017450	GO:0016020,GO:0055085
PLSCT00000010307	GO:0043531
PLSCT00000015294	GO:0005515
PLSCT00000001385	GO:0015079,GO:0016020,GO:0071805
PLSCT00000016109	GO:0003777,GO:0007018
PLSCT00000009316	GO:0033743,GO:0055114
PLSCT00000008135	GO:0003824,GO:0016614,GO:0050660,GO:0055114,GO:0003824,GO:0050660,GO:0055114,GO:0016491,GO:0050660,GO:0055114,GO:0050660
PLSCT00000004926	GO:0016491,GO:0055114
PLSCT00000007283	GO:0004674,GO:0005515,GO:0016301,GO:0044877
PLSCT00000015826	GO:0055085
PLSCT00000014982	GO:0006812,GO:0008324,GO:0016021,GO:0006812,GO:0015299,GO:0016021,GO:0055085,GO:0006813
PLSCT00000021568	GO:0005515
PLSCT00000017724	GO:0003824,GO:0003824,GO:0005975,GO:0003824,GO:0005975,GO:0043169,GO:0005975
PLSCT00000006806	GO:0000413,GO:0003755,GO:0006457,GO:0003755,GO:0006457
PLSCT00000014056	GO:0003677
PLSCT00000002825	GO:0005515
PLSCT00000019791	GO:0005525,GO:0005525,GO:0007264
PLSCT00000013834	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0006412
PLSCT00000013586	GO:0005515,GO:0006511,GO:0036459,GO:0016579,GO:0036459
PLSCT00000015223	GO:0015079,GO:0016020,GO:0071805
PLSCT00000007268	GO:0004190,GO:0006508
PLSCT00000013056	GO:0004356,GO:0006542,GO:0006807
PLSCT00000020848	GO:0016787
PLSCT00000002855	GO:0003955,GO:0010181,GO:0010181,GO:0016491
PLSCT00000000650	GO:0001522,GO:0003723,GO:0009451,GO:0009982
PLSCT00000019531	GO:0003824,GO:0004555,GO:0005991
PLSCT00000009573	GO:0003735,GO:0005840,GO:0006412
PLSCT00000017394	GO:0005515,GO:0008270
PLSCT00000019277	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000006898	GO:0030008,GO:0048193
PLSCT00000021497	GO:0007034,GO:0010252,GO:0030904,GO:0048364,GO:0035091
PLSCT00000019124	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000007956	GO:0003697,GO:0003697,GO:0006260
PLSCT00000010173	GO:0003899,GO:0006351
PLSCT00000019218	GO:0006364,GO:0008168
PLSCT00000014070	GO:0003993,GO:0046872,GO:0016787
PLSCT00000007785	GO:0004553,GO:0005975,GO:0005975
PLSCT00000013205	GO:0003975,GO:0006487,GO:0006488,GO:0008963,GO:0016021
PLSCT00000012464	GO:0005506,GO:0016705,GO:0020037,GO:0055114
PLSCT00000009996	GO:0003924,GO:0005525,GO:0005525
PLSCT00000010995	GO:0003677
PLSCT00000008919	GO:0005215,GO:0006810,GO:0016020,GO:0005215,GO:0006857,GO:0016020
PLSCT00000014595	GO:0004672,GO:0005524,GO:0006468,GO:0043531
PLSCT00000003238	GO:0005515,GO:0008270
PLSCT00000005870	GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000015924	GO:0005515
PLSCT00000004112	GO:0004252,GO:0006508,GO:0004252,GO:0070008
PLSCT00000009507	GO:0003677
PLSCT00000014774	GO:0006812,GO:0008324,GO:0016021,GO:0055085
PLSCT00000010712	GO:0016021,GO:0022857
PLSCT00000009547	GO:0000160
PLSCT00000010911	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000002755	GO:0005524,GO:0016887
PLSCT00000008429	GO:0003700,GO:0005667,GO:0006355
PLSCT00000013748	GO:0016491,GO:0055114,GO:0016614,GO:0050660,GO:0055114,GO:0016614,GO:0055114,GO:0046577,GO:0055114
PLSCT00000004330	GO:0003676,GO:0005524,GO:0006310,GO:0008026
PLSCT00000019054	GO:0008152,GO:0016491,GO:0016620,GO:0055114,GO:0008152,GO:0016491,GO:0055114
PLSCT00000010632	GO:0005515
PLSCT00000021478	GO:0000166,GO:0000166,GO:0046872,GO:0006754,GO:0016021,GO:0016887,GO:0016021
PLSCT00000021151	GO:0003735,GO:0005840,GO:0006412
PLSCT00000009487	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0004713,GO:0006468
PLSCT00000017481	GO:0000287,GO:0006400,GO:0008193
PLSCT00000020958	GO:0003676,GO:0005524
PLSCT00000002388	GO:0005509,GO:0009523,GO:0009654,GO:0015979,GO:0019898
PLSCT00000020044	GO:0004781
PLSCT00000012134	GO:0003872,GO:0006096
PLSCT00000011370	GO:0046982
PLSCT00000008961	GO:0003824,GO:0005737,GO:0006559,GO:0016841,GO:0016841
PLSCT00000008661	GO:0005488
PLSCT00000017150	GO:0003700
PLSCT00000002267	GO:0005515
PLSCT00000003663	GO:0001164,GO:0001187,GO:0001188,GO:0006360,GO:0070860
PLSCT00000007795	GO:0000123,GO:0005634,GO:0016573,GO:0005488,GO:0005515,GO:0016301
PLSCT00000014415	GO:0005524
PLSCT00000012434	GO:0005215,GO:0006810,GO:0016020
PLSCT00000002786	GO:0005488,GO:0006886,GO:0016192,GO:0030117
PLSCT00000019665	GO:0003824,GO:0006281,GO:0003908,GO:0006281
PLSCT00000003076	GO:0003849,GO:0009073
PLSCT00000015063	GO:0042578
PLSCT00000007182	GO:0016491,GO:0055114
PLSCT00000017483	GO:0006479,GO:0008168
PLSCT00000009105	GO:0003824
PLSCT00000001307	GO:0008152,GO:0016757
PLSCT00000006881	GO:0005509,GO:0008152,GO:0016746
PLSCT00000021653	GO:0003723,GO:0016779,GO:0031123,GO:0003723,GO:0043631,GO:0004652,GO:0005634,GO:0043631,GO:0004652,GO:0043631,GO:0016779
PLSCT00000011113	GO:0003824,GO:0004553,GO:0005975
PLSCT00000009782	GO:0047429
PLSCT00000000939	GO:0005618,GO:0030599,GO:0042545
PLSCT00000002827	GO:0003824,GO:0004553,GO:0005975
PLSCT00000000202	GO:0004252,GO:0006508
PLSCT00000018633	GO:0005515
PLSCT00000019477	GO:0016021
PLSCT00000012042	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000015759	GO:0003677,GO:0003899,GO:0006351,GO:0003899,GO:0006351,GO:0003899,GO:0006351,GO:0046983,GO:0006351,GO:0046983
PLSCT00000001330	GO:0005618,GO:0030599,GO:0042545
PLSCT00000017631	GO:0000155,GO:0007165,GO:0000160,GO:0016310,GO:0016772
PLSCT00000003110	GO:0005515,GO:0007165
PLSCT00000005061	GO:0003951,GO:0006741,GO:0008152,GO:0003951,GO:0008152,GO:0003951,GO:0008152,GO:0019674
PLSCT00000003652	GO:0008107,GO:0016020,GO:0042546
PLSCT00000008169	GO:0016788
PLSCT00000008232	GO:0006644,GO:0016746,GO:0008152,GO:0016746
PLSCT00000009793	GO:0003677,GO:0003677,GO:0003899,GO:0006351,GO:0003677,GO:0003899,GO:0006351,GO:0008270
PLSCT00000018638	GO:0003777,GO:0005524,GO:0007018,GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:0003777,GO:0007018
PLSCT00000017327	GO:0003824,GO:0008270,GO:0008270,GO:0016787
PLSCT00000003010	GO:0000145,GO:0006904
PLSCT00000011015	GO:0005783,GO:0016021,GO:0016021
PLSCT00000003405	GO:0008270
PLSCT00000001342	GO:0005515
PLSCT00000006011	GO:0051225,GO:0070652
PLSCT00000018822	GO:0003676,GO:0008270
PLSCT00000008343	GO:0005506,GO:0006633,GO:0016491,GO:0055114
PLSCT00000015106	GO:0000723,GO:0003678,GO:0006281,GO:0004386,GO:0005524
PLSCT00000010525	GO:0005515
PLSCT00000020940	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0000166,GO:0004822,GO:0005524,GO:0005737,GO:0006428,GO:0002161,GO:0006418
PLSCT00000002111	GO:0003993,GO:0046872,GO:0016787
PLSCT00000006781	GO:0070072
PLSCT00000014687	GO:0000398,GO:0003723,GO:0005732
PLSCT00000005895	GO:0006839,GO:0031966
PLSCT00000000446	GO:0000160,GO:0016310,GO:0016772
PLSCT00000005823	GO:0003700,GO:0006355,GO:0043565
PLSCT00000003577	GO:0008152,GO:0016491,GO:0016620,GO:0055114,GO:0008152,GO:0016491,GO:0055114
PLSCT00000012705	GO:0055085
PLSCT00000014463	GO:0003735,GO:0005840,GO:0006412
PLSCT00000020772	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0003735,GO:0005840,GO:0006412
PLSCT00000010463	GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000012387	GO:0005216,GO:0055085,GO:0005247,GO:0006821,GO:0016020,GO:0005247,GO:0006821,GO:0016020,GO:0055085
PLSCT00000006513	GO:0006464
PLSCT00000007940	GO:0007021,GO:0007023,GO:0048487
PLSCT00000008173	GO:0005737,GO:0016788,GO:0019478
PLSCT00000014364	GO:0005085,GO:0007264
PLSCT00000009022	GO:0004843,GO:0006281,GO:0070531,GO:0070536,GO:0070552,GO:0005515
PLSCT00000010668	GO:0003824,GO:0006281
PLSCT00000001195	GO:0000166,GO:0004813,GO:0005524,GO:0005737,GO:0006419,GO:0000166,GO:0004813,GO:0005524,GO:0006419,GO:0000166,GO:0005737,GO:0003676,GO:0004813,GO:0005524,GO:0006419
PLSCT00000008192	GO:0003729,GO:0005849,GO:0006378,GO:0016787
PLSCT00000003061	GO:0016021,GO:0016192
PLSCT00000018326	GO:0008152,GO:0016624
PLSCT00000018537	GO:0008137,GO:0009055,GO:0016020
PLSCT00000001130	GO:0004553,GO:0005975
PLSCT00000011968	GO:0003824
PLSCT00000005543	GO:0006810,GO:0016021,GO:0016192
PLSCT00000000235	GO:0016491,GO:0055114
PLSCT00000000585	GO:0009765,GO:0016020
PLSCT00000014560	GO:0005515
PLSCT00000001281	GO:0003824,GO:0008152
PLSCT00000010814	GO:0055085
PLSCT00000016511	GO:0004252,GO:0006508
PLSCT00000009231	GO:0003676,GO:0005524,GO:0006281
PLSCT00000004671	GO:0006122,GO:0008121
PLSCT00000005496	GO:0003676,GO:0046872
PLSCT00000007707	GO:0006355
PLSCT00000009847	GO:0004553,GO:0005975,GO:0005975
PLSCT00000002132	GO:0003824,GO:0006807,GO:0015930,GO:0055114
PLSCT00000020198	GO:0003824,GO:0010181,GO:0016491,GO:0055114,GO:0016491,GO:0016491,GO:0055114
PLSCT00000003862	GO:0003677
PLSCT00000004478	GO:0005515
PLSCT00000005388	GO:0008270,GO:0016491,GO:0055114,GO:0016491,GO:0055114
PLSCT00000007759	GO:0005515
PLSCT00000001277	GO:0016491,GO:0055114,GO:0071949
PLSCT00000017365	GO:0003824,GO:0005524,GO:0004637,GO:0009113,GO:0005524,GO:0005524,GO:0046872
PLSCT00000018191	GO:0003824,GO:0005524,GO:0006003,GO:0030246,GO:2001070
PLSCT00000020372	GO:0005576,GO:0009664
PLSCT00000012257	GO:0005515,GO:0005838
PLSCT00000016637	GO:0005524,GO:0016887,GO:0016020
PLSCT00000002243	GO:0005634
PLSCT00000001029	GO:0003824,GO:0003824,GO:0005975,GO:0003824,GO:0005975,GO:0043169,GO:0004556,GO:0005509,GO:0005975,GO:0005975
PLSCT00000013471	GO:0004045
PLSCT00000015108	GO:0005515
PLSCT00000021113	GO:0004553,GO:0005975,GO:0005975
PLSCT00000007961	GO:0005622,GO:0008270
PLSCT00000014434	GO:0003676,GO:0004527,GO:0003676,GO:0008270,GO:0004534,GO:0005634,GO:0006139
PLSCT00000000858	GO:0003684,GO:0006281,GO:0006281
PLSCT00000021307	GO:0016491,GO:0055114
PLSCT00000002351	GO:0004553,GO:0005975,GO:0005975
PLSCT00000007234	GO:0003993,GO:0046872
PLSCT00000009240	GO:0016787,GO:0016810
PLSCT00000002662	GO:0005488
PLSCT00000019981	GO:0004930,GO:0007186,GO:0016021
PLSCT00000001992	GO:0005515
PLSCT00000009061	GO:0005739,GO:0006461
PLSCT00000007689	GO:0005524
PLSCT00000021349	GO:0009279,GO:0016021
PLSCT00000006271	GO:0004553,GO:0005975
PLSCT00000014219	GO:0005515
PLSCT00000003138	GO:0004252,GO:0006508
PLSCT00000002557	GO:0005515
PLSCT00000002347	GO:0004553,GO:0005975,GO:0005975
PLSCT00000011604	GO:0016255,GO:0042765
PLSCT00000001007	GO:0016853,GO:0045454
PLSCT00000013928	GO:0016853
PLSCT00000009229	GO:0004518
PLSCT00000013293	GO:0000160
PLSCT00000001103	GO:0004601,GO:0006979,GO:0020037,GO:0055114,GO:0004601,GO:0042744
PLSCT00000010847	GO:0003676,GO:0003723,GO:0046872
PLSCT00000016987	GO:0005506,GO:0016705,GO:0020037,GO:0055114,GO:0016705,GO:0055114
PLSCT00000020530	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000018769	GO:0005525,GO:0005525,GO:0007264
PLSCT00000007487	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0006412
PLSCT00000001741	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000010378	GO:0003676
PLSCT00000015544	GO:0004190,GO:0006508
PLSCT00000006122	GO:0004518
PLSCT00000019397	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085,GO:0005524,GO:0016887
PLSCT00000001497	GO:0005488,GO:0005515,GO:0006886,GO:0008536
PLSCT00000011237	GO:0004089,GO:0008270
PLSCT00000017936	GO:0005086,GO:0032012
PLSCT00000020587	GO:0004252,GO:0006508
PLSCT00000016973	GO:0004843,GO:0016579
PLSCT00000013402	GO:0016491,GO:0051537,GO:0055114
PLSCT00000017911	GO:0005515
PLSCT00000014326	GO:0005819,GO:0005874,GO:0032147,GO:0060236
PLSCT00000017804	GO:0003677,GO:0003899,GO:0006351
PLSCT00000004545	GO:0004553,GO:0005975,GO:0005618,GO:0006073,GO:0016762,GO:0048046,GO:0010411,GO:0016762,GO:0042546
PLSCT00000013183	GO:0005515
PLSCT00000006677	GO:0005515,GO:0008270
PLSCT00000001060	GO:0030001,GO:0046872
PLSCT00000007229	GO:0006355
PLSCT00000016857	GO:0004348,GO:0006665,GO:0005975
PLSCT00000008100	GO:0005515,GO:0006364
PLSCT00000011459	GO:0005515,GO:0008270
PLSCT00000002934	GO:0016020
PLSCT00000004628	GO:0004066,GO:0006529
PLSCT00000017086	GO:0005515
PLSCT00000019935	GO:0006637,GO:0047617
PLSCT00000017858	GO:0005737,GO:0006535,GO:0009001,GO:0016740
PLSCT00000006878	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005515
PLSCT00000013170	GO:0005524,GO:0016887,GO:0016020
PLSCT00000012960	GO:0016021,GO:0016765
PLSCT00000004792	GO:0005524
PLSCT00000014149	GO:0005509
PLSCT00000003241	GO:0005524,GO:0005524,GO:0005778,GO:0006625,GO:0042623
PLSCT00000014787	GO:0003924,GO:0005525
PLSCT00000009884	GO:0003676,GO:0005524,GO:0004386
PLSCT00000007312	GO:0003723,GO:0006396,GO:0016779
PLSCT00000001956	GO:0005515
PLSCT00000011048	GO:0005515
PLSCT00000009640	GO:0003824,GO:0009058
PLSCT00000016080	GO:0005515,GO:0005515,GO:0008270
PLSCT00000020686	GO:0005515
PLSCT00000005187	GO:0006813,GO:0015269,GO:0016020,GO:0060072
PLSCT00000015209	GO:0003677,GO:0003916,GO:0006265,GO:0003677,GO:0003917,GO:0006265,GO:0003917
PLSCT00000004698	GO:0006508,GO:0008236
PLSCT00000015283	GO:0006629
PLSCT00000021345	GO:0005524
PLSCT00000011616	GO:0008152,GO:0008168
PLSCT00000003843	GO:0005515
PLSCT00000002783	GO:0004792
PLSCT00000018129	GO:0005515
PLSCT00000015043	GO:0005216,GO:0055085,GO:0005247,GO:0006821,GO:0016020,GO:0055085
PLSCT00000015870	GO:0005515
PLSCT00000014442	GO:0000166,GO:0000166,GO:0046872,GO:0005388,GO:0006816,GO:0016021,GO:0016021
PLSCT00000004953	GO:0003824,GO:0006541,GO:0008242,GO:0006541,GO:0016787
PLSCT00000012411	GO:0016020
PLSCT00000010243	GO:0005515
PLSCT00000011821	GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017,GO:0005874,GO:0007017
PLSCT00000007542	GO:0005515
PLSCT00000003427	GO:0004176,GO:0006508
PLSCT00000009133	GO:0003756,GO:0005783,GO:0016671,GO:0055114
PLSCT00000003833	GO:0000166,GO:0046872
PLSCT00000008766	GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017,GO:0005525,GO:0005874,GO:0007017,GO:0005874,GO:0007017
PLSCT00000016588	GO:0000723,GO:0005634,GO:0006281,GO:0016887,GO:0030870
PLSCT00000017815	GO:0000786,GO:0003677,GO:0003677,GO:0046982
PLSCT00000018138	GO:0005515
PLSCT00000012093	GO:0006662,GO:0015035,GO:0045454,GO:0045454
PLSCT00000011611	GO:0005216,GO:0006811,GO:0016020,GO:0055085,GO:0005509
PLSCT00000000231	GO:0016021
PLSCT00000006983	GO:0000166,GO:0003676
PLSCT00000021017	GO:0005525
PLSCT00000002515	GO:0009916,GO:0055114
PLSCT00000013073	GO:0000166,GO:0004828,GO:0005524,GO:0005737,GO:0006434
PLSCT00000003701	GO:0043531
PLSCT00000016901	GO:0008107,GO:0016020,GO:0042546
PLSCT00000005262	GO:0003684,GO:0006281
PLSCT00000002571	GO:0003824,GO:0006541,GO:0008242,GO:0006541,GO:0016787
PLSCT00000005737	GO:0005515
PLSCT00000019783	GO:0004672,GO:0005524,GO:0006468
PLSCT00000002088	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000014667	GO:0005515
PLSCT00000013363	GO:0003824,GO:0008483,GO:0030170
PLSCT00000020105	GO:0000145,GO:0006887
PLSCT00000001830	GO:0003824
PLSCT00000017479	GO:0008270,GO:0016491,GO:0055114,GO:0055114
PLSCT00000020254	GO:0008152,GO:0016597
PLSCT00000007373	GO:0003723
PLSCT00000018355	GO:0031072,GO:0051082
PLSCT00000002980	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085,GO:0005524,GO:0016887
PLSCT00000000517	GO:0005978,GO:0008878,GO:0009058,GO:0016779
PLSCT00000003565	GO:0003676,GO:0004842,GO:0016567,GO:0005515,GO:0008270,GO:0046872
PLSCT00000006301	GO:0003676,GO:0004527,GO:0003676,GO:0008270
PLSCT00000009766	GO:0000287,GO:0004743,GO:0006096,GO:0030955,GO:0003824,GO:0004743,GO:0006096
PLSCT00000019341	GO:0003824,GO:0005975,GO:0016616,GO:0055114,GO:0006108,GO:0016615,GO:0055114,GO:0016616,GO:0019752,GO:0055114,GO:0016616,GO:0055114
PLSCT00000018005	GO:0070403
PLSCT00000017850	GO:0005506,GO:0006633,GO:0016491,GO:0055114
PLSCT00000021096	GO:0006629
PLSCT00000002065	GO:0016491,GO:0055114
PLSCT00000004009	GO:0043550,GO:0070772
PLSCT00000006801	GO:0006351
PLSCT00000002862	GO:0003824,GO:0016614,GO:0050660,GO:0055114,GO:0016491,GO:0046872,GO:0055114,GO:0016491,GO:0055114,GO:0050660
PLSCT00000001594	GO:0016021,GO:0055085
PLSCT00000003630	GO:0016787
PLSCT00000008764	GO:0005515
PLSCT00000017878	GO:0000287,GO:0004427,GO:0005737,GO:0006796
