PLSCT00000016654	InterPro:IPR003817,InterPro:IPR033177
PLSCT00000011812	InterPro:IPR009880,InterPro:IPR011043,InterPro:IPR013783,InterPro:IPR014756,InterPro:IPR015202,InterPro:IPR015916
PLSCT00000007823	InterPro:IPR001451,InterPro:IPR007691,InterPro:IPR011004
PLSCT00000020160	InterPro:IPR007374,InterPro:IPR015947
PLSCT00000008253	InterPro:IPR000819,InterPro:IPR011356
PLSCT00000021191	InterPro:IPR032727
PLSCT00000012436	InterPro:IPR000070,InterPro:IPR006501,InterPro:IPR011050,InterPro:IPR012334,InterPro:IPR018040,InterPro:IPR033131
PLSCT00000016582	InterPro:IPR001030,InterPro:IPR015931,InterPro:IPR015932,InterPro:IPR015937,InterPro:IPR033941
PLSCT00000011599	InterPro:IPR009288,InterPro:IPR013024
PLSCT00000016724	InterPro:IPR006121,InterPro:IPR017969
PLSCT00000005826	InterPro:IPR008268,InterPro:IPR008269,InterPro:IPR014721,InterPro:IPR020568,InterPro:IPR027065
PLSCT00000003677	InterPro:IPR003397
PLSCT00000001794	InterPro:IPR001810
PLSCT00000002795	InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734
PLSCT00000013638	InterPro:IPR001564
PLSCT00000000994	InterPro:IPR020829,InterPro:IPR020831
PLSCT00000005852	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR011009,InterPro:IPR013210,InterPro:IPR032675
PLSCT00000010041	InterPro:IPR001241,InterPro:IPR003594
PLSCT00000001600	InterPro:IPR001951,InterPro:IPR009072,InterPro:IPR019809
PLSCT00000011226	InterPro:IPR011611,InterPro:IPR029056
PLSCT00000017785	InterPro:IPR000642,InterPro:IPR027417
PLSCT00000017934	InterPro:IPR004130,InterPro:IPR027417,InterPro:IPR030231
PLSCT00000019740	InterPro:IPR001757,InterPro:IPR004014,InterPro:IPR006408,InterPro:IPR008250,InterPro:IPR018303,InterPro:IPR023214,InterPro:IPR023299,InterPro:IPR024750
PLSCT00000008627	InterPro:IPR004192,InterPro:IPR005805,InterPro:IPR006317,InterPro:IPR014349,InterPro:IPR017941
PLSCT00000002617	InterPro:IPR011990,InterPro:IPR013026
PLSCT00000007931	InterPro:IPR003719
PLSCT00000005511	InterPro:IPR007718
PLSCT00000000249	InterPro:IPR019133
PLSCT00000020628	InterPro:IPR011016,InterPro:IPR013083,InterPro:IPR033275
PLSCT00000003920	InterPro:IPR025423
PLSCT00000007401	InterPro:IPR003340,InterPro:IPR011124,InterPro:IPR015300
PLSCT00000004587	InterPro:IPR002877,InterPro:IPR012920,InterPro:IPR015507,InterPro:IPR024576,InterPro:IPR028589,InterPro:IPR029063
PLSCT00000021619	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000003581	InterPro:IPR000241,InterPro:IPR029063
PLSCT00000019213	InterPro:IPR004147,InterPro:IPR011009
PLSCT00000006297	InterPro:IPR000225,InterPro:IPR003613,InterPro:IPR011989,InterPro:IPR013083,InterPro:IPR016024
PLSCT00000007750	InterPro:IPR032710
PLSCT00000004217	InterPro:IPR003754
PLSCT00000011936	InterPro:IPR000719,InterPro:IPR004147,InterPro:IPR011009
PLSCT00000016319	InterPro:IPR000999
PLSCT00000018371	InterPro:IPR006594
PLSCT00000005391	InterPro:IPR002014,InterPro:IPR004152,InterPro:IPR008942
PLSCT00000020014	InterPro:IPR001680,InterPro:IPR013535,InterPro:IPR015155,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR020472,InterPro:IPR033510
PLSCT00000016808	InterPro:IPR012936
PLSCT00000016717	InterPro:IPR003495,InterPro:IPR027417
PLSCT00000019703	InterPro:IPR002885,InterPro:IPR011990,InterPro:IPR032867
PLSCT00000016741	InterPro:IPR013057
PLSCT00000016995	InterPro:IPR000215,InterPro:IPR023795,InterPro:IPR023796
PLSCT00000013070	InterPro:IPR013657
PLSCT00000019301	InterPro:IPR011598
PLSCT00000016460	InterPro:IPR004263
PLSCT00000016615	InterPro:IPR015943,InterPro:IPR017986
PLSCT00000016279	InterPro:IPR025799,InterPro:IPR029063
PLSCT00000012094	InterPro:IPR001344,InterPro:IPR022796,InterPro:IPR023329
PLSCT00000012853	InterPro:IPR002652,InterPro:IPR010541,InterPro:IPR013881,InterPro:IPR027104
PLSCT00000008814	InterPro:IPR012901,InterPro:IPR029063
PLSCT00000013842	InterPro:IPR006846
PLSCT00000012213	InterPro:IPR006886
PLSCT00000020923	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR011009
PLSCT00000007846	InterPro:IPR001932,InterPro:IPR015655
PLSCT00000020666	InterPro:IPR000640,InterPro:IPR005517,InterPro:IPR009022,InterPro:IPR014721,InterPro:IPR020568
PLSCT00000012471	InterPro:IPR007157
PLSCT00000008527	InterPro:IPR000225,InterPro:IPR011989,InterPro:IPR016024,InterPro:IPR024931
PLSCT00000019516	InterPro:IPR006671,InterPro:IPR013763
PLSCT00000010812	InterPro:IPR000182,InterPro:IPR001048,InterPro:IPR010167,InterPro:IPR016181,InterPro:IPR033719
PLSCT00000002431	InterPro:IPR008429
PLSCT00000001686	InterPro:IPR008892
PLSCT00000007300	InterPro:IPR004821,InterPro:IPR014729
PLSCT00000009378	InterPro:IPR026899
PLSCT00000004778	InterPro:IPR000504,InterPro:IPR012677
PLSCT00000004709	InterPro:IPR006953,InterPro:IPR006955,InterPro:IPR024095
PLSCT00000014508	InterPro:IPR001440,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734
PLSCT00000001773	InterPro:IPR002293
PLSCT00000006838	InterPro:IPR000644,InterPro:IPR001347,InterPro:IPR004800
PLSCT00000006990	InterPro:IPR001841,InterPro:IPR003137,InterPro:IPR013083
PLSCT00000005550	InterPro:IPR001752,InterPro:IPR027417,InterPro:IPR027640
PLSCT00000005397	InterPro:IPR003864,InterPro:IPR027815
PLSCT00000016216	InterPro:IPR009834,InterPro:IPR030189
PLSCT00000001285	InterPro:IPR002022,InterPro:IPR011050,InterPro:IPR012334,InterPro:IPR018082
PLSCT00000008657	InterPro:IPR000164,InterPro:IPR007125,InterPro:IPR009072
PLSCT00000019958	InterPro:IPR009737,InterPro:IPR012336,InterPro:IPR030108
PLSCT00000013242	InterPro:IPR003613,InterPro:IPR013083,InterPro:IPR019474
PLSCT00000010612	InterPro:IPR000023,InterPro:IPR012004,InterPro:IPR022953
PLSCT00000014186	InterPro:IPR002085,InterPro:IPR002364,InterPro:IPR011032,InterPro:IPR013149,InterPro:IPR013154,InterPro:IPR016040,InterPro:IPR020843
PLSCT00000007058	InterPro:IPR002791
PLSCT00000004090	InterPro:IPR000286,InterPro:IPR023801
PLSCT00000013704	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR011009,InterPro:IPR013320
PLSCT00000019771	InterPro:IPR002376
PLSCT00000017450	InterPro:IPR006685,InterPro:IPR010920
PLSCT00000010307	InterPro:IPR002182,InterPro:IPR027417,InterPro:IPR032675
PLSCT00000015294	InterPro:IPR015943,InterPro:IPR017986
PLSCT00000001385	InterPro:IPR003855
PLSCT00000016109	InterPro:IPR027640
PLSCT00000009316	InterPro:IPR002579,InterPro:IPR011057
PLSCT00000008135	InterPro:IPR006094,InterPro:IPR016166,InterPro:IPR016167,InterPro:IPR016169
PLSCT00000004926	InterPro:IPR005123,InterPro:IPR026992,InterPro:IPR027443
PLSCT00000007283	InterPro:IPR000403,InterPro:IPR003151,InterPro:IPR003152,InterPro:IPR009076,InterPro:IPR011009,InterPro:IPR014009,InterPro:IPR018936,InterPro:IPR026683
PLSCT00000015826	InterPro:IPR013657
PLSCT00000018845	InterPro:IPR000640,InterPro:IPR009000,InterPro:IPR009022
PLSCT00000004608	InterPro:IPR000408,InterPro:IPR009091
PLSCT00000003042	InterPro:IPR019371
PLSCT00000002187	InterPro:IPR006843
PLSCT00000014982	InterPro:IPR003148,InterPro:IPR004771,InterPro:IPR006153,InterPro:IPR016040
PLSCT00000021568	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775
PLSCT00000009261	InterPro:IPR005031,InterPro:IPR023393
PLSCT00000017724	InterPro:IPR006046,InterPro:IPR006047,InterPro:IPR013781,InterPro:IPR015902,InterPro:IPR017853
PLSCT00000001972	InterPro:IPR028934
PLSCT00000006806	InterPro:IPR002130,InterPro:IPR024936,InterPro:IPR029000
PLSCT00000013757	InterPro:IPR006816
PLSCT00000014056	InterPro:IPR009057,InterPro:IPR017877
PLSCT00000006054	InterPro:IPR013894,InterPro:IPR033472
PLSCT00000002825	InterPro:IPR001214
PLSCT00000019791	InterPro:IPR001806,InterPro:IPR005225,InterPro:IPR027417
PLSCT00000013834	InterPro:IPR002674,InterPro:IPR011331,InterPro:IPR011332
PLSCT00000013586	InterPro:IPR001394,InterPro:IPR009060,InterPro:IPR015940,InterPro:IPR018200,InterPro:IPR028889
PLSCT00000018813	InterPro:IPR006628
PLSCT00000015223	InterPro:IPR003855
PLSCT00000007268	InterPro:IPR001461,InterPro:IPR021109,InterPro:IPR032799,InterPro:IPR032861,InterPro:IPR033121
PLSCT00000013056	InterPro:IPR008147
PLSCT00000020848	InterPro:IPR000246,InterPro:IPR029055
PLSCT00000002855	InterPro:IPR005025,InterPro:IPR008254,InterPro:IPR010089,InterPro:IPR029039
PLSCT00000000650	InterPro:IPR006145,InterPro:IPR020103
PLSCT00000019531	InterPro:IPR001661,InterPro:IPR008928
PLSCT00000009573	InterPro:IPR006924
PLSCT00000017394	InterPro:IPR002885,InterPro:IPR011990,InterPro:IPR032867
PLSCT00000019285	InterPro:IPR002347,InterPro:IPR016040
PLSCT00000019277	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000018412	InterPro:IPR019363,InterPro:IPR029058
PLSCT00000006898	InterPro:IPR007194,InterPro:IPR016696,InterPro:IPR024096
PLSCT00000014147	InterPro:IPR022203
PLSCT00000021497	InterPro:IPR001683,InterPro:IPR015404,InterPro:IPR033241
PLSCT00000019124	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR013320,InterPro:IPR017441,InterPro:IPR032675
PLSCT00000007956	InterPro:IPR000424,InterPro:IPR011344,InterPro:IPR012340
PLSCT00000000739	InterPro:IPR014840,InterPro:IPR026947
PLSCT00000021499	InterPro:IPR006927
PLSCT00000005699	InterPro:IPR007650
PLSCT00000010173	InterPro:IPR005576
PLSCT00000019218	InterPro:IPR006700,InterPro:IPR015947,InterPro:IPR029026,InterPro:IPR029028
PLSCT00000014070	InterPro:IPR004843,InterPro:IPR008963,InterPro:IPR015914,InterPro:IPR029052
PLSCT00000007785	InterPro:IPR000490,InterPro:IPR013781,InterPro:IPR017853
PLSCT00000018349	InterPro:IPR002575,InterPro:IPR011009
PLSCT00000010371	InterPro:IPR009457
PLSCT00000013205	InterPro:IPR000715,InterPro:IPR033895
PLSCT00000010187	InterPro:IPR017932,InterPro:IPR029055
PLSCT00000012464	InterPro:IPR001128
PLSCT00000009996	InterPro:IPR000795,InterPro:IPR005225,InterPro:IPR027417,InterPro:IPR031157
PLSCT00000003182	InterPro:IPR008030,InterPro:IPR016040
PLSCT00000015879	InterPro:IPR021134
PLSCT00000010995	InterPro:IPR001005,InterPro:IPR006447,InterPro:IPR009057,InterPro:IPR017930,InterPro:IPR025756
PLSCT00000008919	InterPro:IPR000109,InterPro:IPR018456,InterPro:IPR020846
PLSCT00000014938	InterPro:IPR008406
PLSCT00000014595	InterPro:IPR000719,InterPro:IPR002182,InterPro:IPR011009,InterPro:IPR027417,InterPro:IPR032675
PLSCT00000003238	InterPro:IPR002885,InterPro:IPR011990,InterPro:IPR032867
PLSCT00000005870	InterPro:IPR008195,InterPro:IPR018065
PLSCT00000015924	InterPro:IPR003169
PLSCT00000004112	InterPro:IPR002470,InterPro:IPR023302
PLSCT00000009507	InterPro:IPR003340,InterPro:IPR015300
PLSCT00000014774	InterPro:IPR002524
PLSCT00000009787	InterPro:IPR006674
PLSCT00000010712	InterPro:IPR030184
PLSCT00000009547	InterPro:IPR001789,InterPro:IPR011006
PLSCT00000010911	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441
PLSCT00000002755	InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR027417
PLSCT00000008429	InterPro:IPR003316,InterPro:IPR011991,InterPro:IPR015633
PLSCT00000013748	InterPro:IPR000172,InterPro:IPR007867,InterPro:IPR012400,InterPro:IPR023753
PLSCT00000011367	InterPro:IPR003397
PLSCT00000004330	InterPro:IPR004589,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR027417
PLSCT00000019054	InterPro:IPR015590,InterPro:IPR016161,InterPro:IPR016163
PLSCT00000010632	InterPro:IPR001810,InterPro:IPR006652,InterPro:IPR015916
PLSCT00000021478	InterPro:IPR001757,InterPro:IPR006534,InterPro:IPR008250,InterPro:IPR018303,InterPro:IPR023214,InterPro:IPR023298,InterPro:IPR023299
PLSCT00000021151	InterPro:IPR000630
PLSCT00000009487	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR011009,InterPro:IPR013320,InterPro:IPR020635
PLSCT00000017481	InterPro:IPR007537,InterPro:IPR025845
PLSCT00000020958	InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR027417
PLSCT00000002388	InterPro:IPR002683,InterPro:IPR016123
PLSCT00000001658	InterPro:IPR021825
PLSCT00000016220	InterPro:IPR019442
PLSCT00000020890	InterPro:IPR002737
PLSCT00000020044	InterPro:IPR014729,InterPro:IPR024951
PLSCT00000008447	InterPro:IPR023582
PLSCT00000012134	InterPro:IPR000023
PLSCT00000018062	InterPro:IPR026894
PLSCT00000011370	InterPro:IPR003958,InterPro:IPR009072
PLSCT00000008961	InterPro:IPR001106,InterPro:IPR005922,InterPro:IPR008948,InterPro:IPR022313,InterPro:IPR023144,InterPro:IPR024083
PLSCT00000008661	InterPro:IPR011989,InterPro:IPR016024,InterPro:IPR021133
PLSCT00000017150	InterPro:IPR013083,InterPro:IPR034078
PLSCT00000002267	InterPro:IPR000253,InterPro:IPR008984
PLSCT00000003663	InterPro:IPR033599
PLSCT00000007795	InterPro:IPR000403,InterPro:IPR003151,InterPro:IPR003152,InterPro:IPR011009,InterPro:IPR011989,InterPro:IPR011990,InterPro:IPR014009,InterPro:IPR016024,InterPro:IPR033317
PLSCT00000014415	InterPro:IPR003959,InterPro:IPR027417
PLSCT00000020047	InterPro:IPR004263
PLSCT00000012434	InterPro:IPR000109,InterPro:IPR020846
PLSCT00000002786	InterPro:IPR002553,InterPro:IPR011989,InterPro:IPR016024
PLSCT00000019665	InterPro:IPR001497,InterPro:IPR011991,InterPro:IPR014048
PLSCT00000003076	InterPro:IPR002480
PLSCT00000013147	InterPro:IPR013057
PLSCT00000015063	InterPro:IPR002013
PLSCT00000007182	InterPro:IPR023753
PLSCT00000017483	InterPro:IPR025799,InterPro:IPR029063
PLSCT00000019627	InterPro:IPR004217
PLSCT00000009105	InterPro:IPR000891,InterPro:IPR013785
PLSCT00000001307	InterPro:IPR000312
PLSCT00000007860	InterPro:IPR003848,InterPro:IPR014729
PLSCT00000014658	InterPro:IPR005018
PLSCT00000006881	InterPro:IPR002048,InterPro:IPR002123,InterPro:IPR011992
PLSCT00000021653	InterPro:IPR002934,InterPro:IPR007010,InterPro:IPR007012,InterPro:IPR011068,InterPro:IPR014492
PLSCT00000017052	InterPro:IPR001163,InterPro:IPR010920
PLSCT00000011113	InterPro:IPR004193,InterPro:IPR013783,InterPro:IPR014756,InterPro:IPR015902
PLSCT00000009782	InterPro:IPR025984
PLSCT00000003048	InterPro:IPR001650,InterPro:IPR027417
PLSCT00000021326	InterPro:IPR018392
PLSCT00000000939	InterPro:IPR000070,InterPro:IPR011050,InterPro:IPR012334
PLSCT00000002827	InterPro:IPR001701,InterPro:IPR008928,InterPro:IPR012341
PLSCT00000000202	InterPro:IPR000209,InterPro:IPR010259,InterPro:IPR015500,InterPro:IPR023828
PLSCT00000018633	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR020472
PLSCT00000019477	InterPro:IPR005344
PLSCT00000012042	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000015759	InterPro:IPR009025,InterPro:IPR011260,InterPro:IPR011262,InterPro:IPR011263,InterPro:IPR011773,InterPro:IPR013126
PLSCT00000001330	InterPro:IPR000070,InterPro:IPR011050,InterPro:IPR012334
PLSCT00000017631	InterPro:IPR001789,InterPro:IPR003594,InterPro:IPR003661,InterPro:IPR004358,InterPro:IPR005467,InterPro:IPR006189,InterPro:IPR011006
PLSCT00000003110	InterPro:IPR000157
PLSCT00000005061	InterPro:IPR002504,InterPro:IPR016064,InterPro:IPR017437,InterPro:IPR017438
PLSCT00000003652	InterPro:IPR004938
PLSCT00000021318	InterPro:IPR031595,InterPro:IPR033443
PLSCT00000000691	InterPro:IPR032302
PLSCT00000015590	InterPro:IPR007157
PLSCT00000008169	InterPro:IPR001087,InterPro:IPR013830
PLSCT00000020514	InterPro:IPR003347
PLSCT00000008232	InterPro:IPR000872,InterPro:IPR002123
PLSCT00000012951	InterPro:IPR002022,InterPro:IPR011050,InterPro:IPR012334,InterPro:IPR018082
PLSCT00000009793	InterPro:IPR000268,InterPro:IPR009057,InterPro:IPR020789,InterPro:IPR023580
PLSCT00000018638	InterPro:IPR001752,InterPro:IPR019821,InterPro:IPR027417,InterPro:IPR027640
PLSCT00000017327	InterPro:IPR002125,InterPro:IPR006311,InterPro:IPR015517,InterPro:IPR016192,InterPro:IPR016193
PLSCT00000003010	InterPro:IPR007225
PLSCT00000018513	InterPro:IPR008637
PLSCT00000011015	InterPro:IPR006634,InterPro:IPR016439
PLSCT00000006863	InterPro:IPR010619
PLSCT00000003405	InterPro:IPR003126,InterPro:IPR011991
PLSCT00000010092	InterPro:IPR027417
PLSCT00000014849	InterPro:IPR003397
PLSCT00000001464	InterPro:IPR016040
PLSCT00000001342	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR020472
PLSCT00000006011	InterPro:IPR029131
PLSCT00000018822	InterPro:IPR001878
PLSCT00000001915	InterPro:IPR012446
PLSCT00000008343	InterPro:IPR006694
PLSCT00000015106	InterPro:IPR003840,InterPro:IPR010285,InterPro:IPR027417
PLSCT00000010525	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR024977
PLSCT00000020940	InterPro:IPR002300,InterPro:IPR002301,InterPro:IPR009008,InterPro:IPR014729
PLSCT00000002111	InterPro:IPR004843,InterPro:IPR008963,InterPro:IPR015914,InterPro:IPR025733,InterPro:IPR029052
PLSCT00000006781	InterPro:IPR019013
PLSCT00000014687	InterPro:IPR001163,InterPro:IPR010920,InterPro:IPR017132
PLSCT00000005895	InterPro:IPR002030,InterPro:IPR018108,InterPro:IPR023395
PLSCT00000003221	InterPro:IPR009327,InterPro:IPR011051,InterPro:IPR014710
PLSCT00000000446	InterPro:IPR001789,InterPro:IPR003594,InterPro:IPR004358,InterPro:IPR005467
PLSCT00000006497	InterPro:IPR011008,InterPro:IPR013097
PLSCT00000005823	InterPro:IPR004827,InterPro:IPR020983
PLSCT00000003577	InterPro:IPR015590,InterPro:IPR016160,InterPro:IPR016161,InterPro:IPR016162,InterPro:IPR016163
PLSCT00000012705	InterPro:IPR002067,InterPro:IPR018108,InterPro:IPR023395
PLSCT00000014463	InterPro:IPR021138,InterPro:IPR023573,InterPro:IPR028877
PLSCT00000020772	InterPro:IPR001197,InterPro:IPR016180,InterPro:IPR018255
PLSCT00000010463	InterPro:IPR000231,InterPro:IPR022991,InterPro:IPR029064
PLSCT00000012387	InterPro:IPR001807,InterPro:IPR002251,InterPro:IPR014743
PLSCT00000002649	InterPro:IPR019616
PLSCT00000006513	InterPro:IPR004344,InterPro:IPR027751
PLSCT00000006192	InterPro:IPR023298
PLSCT00000007940	InterPro:IPR004226
PLSCT00000008173	InterPro:IPR003732,InterPro:IPR023509
PLSCT00000014364	InterPro:IPR010703,InterPro:IPR026791,InterPro:IPR027357
PLSCT00000009022	InterPro:IPR000555,InterPro:IPR033860
PLSCT00000010668	InterPro:IPR011257
PLSCT00000001195	InterPro:IPR002318,InterPro:IPR018162,InterPro:IPR018164,InterPro:IPR018165
PLSCT00000008192	InterPro:IPR000086,InterPro:IPR015797,InterPro:IPR016706
PLSCT00000003061	InterPro:IPR001388
PLSCT00000000706	InterPro:IPR003347,InterPro:IPR003349
PLSCT00000018326	InterPro:IPR001017,InterPro:IPR029061
PLSCT00000018537	InterPro:IPR007763
PLSCT00000001130	InterPro:IPR000757,InterPro:IPR008264,InterPro:IPR013320
PLSCT00000011968	InterPro:IPR000192,InterPro:IPR015421,InterPro:IPR015424,InterPro:IPR020578
PLSCT00000005543	InterPro:IPR001388,InterPro:IPR010908,InterPro:IPR011012
PLSCT00000000235	InterPro:IPR023753
PLSCT00000000980	InterPro:IPR016040
PLSCT00000000585	InterPro:IPR001344
PLSCT00000014560	InterPro:IPR001810,InterPro:IPR017451
PLSCT00000001356	InterPro:IPR027417
