PLSCT00000016654	PFAM:PF02666
PLSCT00000020014	PFAM:PF00400,PFAM:PF08324,PFAM:PF09070
PLSCT00000016808	PFAM:PF07970
PLSCT00000016717	PFAM:PF02492
PLSCT00000019703	PFAM:PF01535,PFAM:PF13041,PFAM:PF14432
PLSCT00000016741	PFAM:PF01490
PLSCT00000016995	PFAM:PF00079
PLSCT00000013070	PFAM:PF08449
PLSCT00000019301	PFAM:PF00010
PLSCT00000016460	PFAM:PF03016
PLSCT00000016279	PFAM:PF05185
PLSCT00000012094	PFAM:PF00504
PLSCT00000012853	PFAM:PF01749,PFAM:PF06544,PFAM:PF08572
PLSCT00000008814	PFAM:PF07942
PLSCT00000013842	PFAM:PF04758
PLSCT00000012213	PFAM:PF04801
PLSCT00000020923	PFAM:PF07714
PLSCT00000007846	PFAM:PF00481
PLSCT00000020666	PFAM:PF00679,PFAM:PF03764
PLSCT00000012471	PFAM:PF04012
PLSCT00000008527	PFAM:PF00514
PLSCT00000019516	PFAM:PF00134
PLSCT00000010812	PFAM:PF00583,PFAM:PF00696
PLSCT00000002431	PFAM:PF05602
PLSCT00000001686	PFAM:PF05562
PLSCT00000007300	PFAM:PF01467
PLSCT00000009378	PFAM:PF04652,PFAM:PF14288
PLSCT00000004778	PFAM:PF00076
PLSCT00000004709	PFAM:PF04869,PFAM:PF04871
PLSCT00000014508	PFAM:PF00515
PLSCT00000001773	PFAM:PF13520
PLSCT00000006838	PFAM:PF00571,PFAM:PF01380
PLSCT00000006990	PFAM:PF02225,PFAM:PF13639
PLSCT00000005550	PFAM:PF00225
PLSCT00000005397	PFAM:PF02714,PFAM:PF14703
PLSCT00000016216	PFAM:PF07168
PLSCT00000001285	PFAM:PF00544
PLSCT00000008657	PFAM:PF00125
PLSCT00000019958	PFAM:PF06999
PLSCT00000013242	PFAM:PF04564,PFAM:PF10408
PLSCT00000010612	PFAM:PF00365
PLSCT00000014186	PFAM:PF00107,PFAM:PF08240
PLSCT00000007058	PFAM:PF01937
PLSCT00000004090	PFAM:PF00850
PLSCT00000013704	PFAM:PF07714
PLSCT00000019771	PFAM:PF00551
PLSCT00000017450	PFAM:PF00924
PLSCT00000010307	PFAM:PF00931
PLSCT00000001385	PFAM:PF02705
PLSCT00000008135	PFAM:PF01565
PLSCT00000004926	PFAM:PF03171,PFAM:PF14226
PLSCT00000007283	PFAM:PF00454,PFAM:PF02259,PFAM:PF08771
PLSCT00000015826	PFAM:PF08449
PLSCT00000018845	PFAM:PF00679
PLSCT00000004608	PFAM:PF00415
PLSCT00000003042	PFAM:PF10241
PLSCT00000002187	PFAM:PF04755
PLSCT00000014982	PFAM:PF00999,PFAM:PF02254
PLSCT00000021568	PFAM:PF00400
PLSCT00000009261	PFAM:PF03364
PLSCT00000017724	PFAM:PF00128
PLSCT00000001972	PFAM:PF03643
PLSCT00000006806	PFAM:PF00160
PLSCT00000013757	PFAM:PF04727
PLSCT00000014056	PFAM:PF13837
PLSCT00000006054	PFAM:PF08585
PLSCT00000002825	PFAM:PF00856
PLSCT00000019791	PFAM:PF00071
PLSCT00000013834	PFAM:PF01780
PLSCT00000013586	PFAM:PF00443,PFAM:PF00627
PLSCT00000018813	PFAM:PF04845
PLSCT00000015223	PFAM:PF02705
PLSCT00000007268	PFAM:PF14541,PFAM:PF14543
PLSCT00000013056	PFAM:PF03951
PLSCT00000020848	PFAM:PF01112
PLSCT00000002855	PFAM:PF03358
PLSCT00000000650	PFAM:PF00849
PLSCT00000019531	PFAM:PF01204
PLSCT00000009573	PFAM:PF04839
PLSCT00000017394	PFAM:PF01535,PFAM:PF13041,PFAM:PF14432
PLSCT00000019285	PFAM:PF00106
PLSCT00000019277	PFAM:PF00069
PLSCT00000018412	PFAM:PF10230
PLSCT00000006898	PFAM:PF04051
PLSCT00000014147	PFAM:PF12527
PLSCT00000021497	PFAM:PF00787,PFAM:PF09325
PLSCT00000019124	PFAM:PF00069
PLSCT00000007956	PFAM:PF00436
PLSCT00000000739	PFAM:PF08729,PFAM:PF14075
PLSCT00000021499	PFAM:PF04842
PLSCT00000005699	PFAM:PF04570
PLSCT00000010173	PFAM:PF03876
PLSCT00000019218	PFAM:PF04452
PLSCT00000014070	PFAM:PF00149,PFAM:PF16656
PLSCT00000007785	PFAM:PF00332
PLSCT00000018349	PFAM:PF01636
PLSCT00000010371	PFAM:PF06454
PLSCT00000013205	PFAM:PF00953
PLSCT00000012464	PFAM:PF00067
PLSCT00000009996	PFAM:PF00009
PLSCT00000003182	PFAM:PF05368
PLSCT00000015879	PFAM:PF01062
PLSCT00000010995	PFAM:PF00249,PFAM:PF14379
PLSCT00000008919	PFAM:PF00854
PLSCT00000014938	PFAM:PF05564
PLSCT00000014595	PFAM:PF00069,PFAM:PF00931
PLSCT00000003238	PFAM:PF01535,PFAM:PF13041,PFAM:PF14432
PLSCT00000005870	PFAM:PF01199
PLSCT00000015924	PFAM:PF02213
PLSCT00000004112	PFAM:PF02897
PLSCT00000009507	PFAM:PF02362
PLSCT00000009547	PFAM:PF00072
PLSCT00000010911	PFAM:PF00069
PLSCT00000002755	PFAM:PF00005
PLSCT00000008429	PFAM:PF02319
PLSCT00000013748	PFAM:PF00732,PFAM:PF05199
PLSCT00000011367	PFAM:PF02466
PLSCT00000004330	PFAM:PF00270
PLSCT00000019054	PFAM:PF00171
PLSCT00000010632	PFAM:PF00646,PFAM:PF01344,PFAM:PF13964
PLSCT00000021478	PFAM:PF00122,PFAM:PF00702
PLSCT00000021151	PFAM:PF00410
PLSCT00000009487	PFAM:PF07714
PLSCT00000017481	PFAM:PF14413
PLSCT00000020958	PFAM:PF00270
PLSCT00000002388	PFAM:PF01789
PLSCT00000001658	PFAM:PF11891
PLSCT00000016220	PFAM:PF10350
PLSCT00000020890	PFAM:PF01875
PLSCT00000020044	PFAM:PF01747
PLSCT00000012134	PFAM:PF00365
PLSCT00000018062	PFAM:PF14308
PLSCT00000011370	PFAM:PF00808
PLSCT00000008961	PFAM:PF00221
PLSCT00000002267	PFAM:PF00498
PLSCT00000007795	PFAM:PF00454,PFAM:PF02259
PLSCT00000014415	PFAM:PF00004
PLSCT00000020047	PFAM:PF03016
PLSCT00000012434	PFAM:PF00854
PLSCT00000002786	PFAM:PF01602
PLSCT00000019665	PFAM:PF01035
PLSCT00000003076	PFAM:PF01474
PLSCT00000013147	PFAM:PF01490
PLSCT00000015063	PFAM:PF02383
PLSCT00000007182	PFAM:PF07992
PLSCT00000017483	PFAM:PF06325
PLSCT00000019627	PFAM:PF02953
PLSCT00000007860	PFAM:PF02698
PLSCT00000006881	PFAM:PF01553
PLSCT00000021653	PFAM:PF01909,PFAM:PF04926,PFAM:PF04928
PLSCT00000017052	PFAM:PF01423
PLSCT00000011113	PFAM:PF02922
PLSCT00000009782	PFAM:PF12643
PLSCT00000003048	PFAM:PF00271
PLSCT00000000939	PFAM:PF01095
PLSCT00000002827	PFAM:PF00759
PLSCT00000000202	PFAM:PF00082,PFAM:PF05922
PLSCT00000018633	PFAM:PF00400
PLSCT00000019477	PFAM:PF03661
PLSCT00000012042	PFAM:PF00069
PLSCT00000015759	PFAM:PF00012,PFAM:PF01000,PFAM:PF01193,PFAM:PF03118
PLSCT00000001330	PFAM:PF01095
PLSCT00000017631	PFAM:PF00072,PFAM:PF00512,PFAM:PF02518,PFAM:PF03924
PLSCT00000003110	PFAM:PF13676
PLSCT00000005061	PFAM:PF01513
PLSCT00000003652	PFAM:PF03254
PLSCT00000021318	PFAM:PF16953,PFAM:PF17177
PLSCT00000000691	PFAM:PF16134
PLSCT00000015590	PFAM:PF04012
PLSCT00000008169	PFAM:PF00657
PLSCT00000020514	PFAM:PF08007
PLSCT00000008232	PFAM:PF01553
PLSCT00000012951	PFAM:PF00544
PLSCT00000009793	PFAM:PF01194
PLSCT00000018638	PFAM:PF00225
PLSCT00000017327	PFAM:PF00383
PLSCT00000003010	PFAM:PF04091
PLSCT00000018513	PFAM:PF05514
PLSCT00000011015	PFAM:PF03798
PLSCT00000006863	PFAM:PF06738
PLSCT00000003405	PFAM:PF02207
PLSCT00000010092	PFAM:PF13500
PLSCT00000014849	PFAM:PF02466
PLSCT00000001464	PFAM:PF16363
PLSCT00000001342	PFAM:PF00400
PLSCT00000006011	PFAM:PF14817
PLSCT00000018822	PFAM:PF00098
PLSCT00000001915	PFAM:PF07856
PLSCT00000008343	PFAM:PF04116
PLSCT00000015106	PFAM:PF05970
PLSCT00000010525	PFAM:PF00400,PFAM:PF12894
PLSCT00000020940	PFAM:PF00133
PLSCT00000002111	PFAM:PF00149,PFAM:PF14008,PFAM:PF16656
PLSCT00000006781	PFAM:PF09446
PLSCT00000014687	PFAM:PF01423
PLSCT00000005895	PFAM:PF00153
PLSCT00000003221	PFAM:PF06172
PLSCT00000000446	PFAM:PF02518
PLSCT00000006497	PFAM:PF07876
PLSCT00000005823	PFAM:PF00170,PFAM:PF12498
PLSCT00000003577	PFAM:PF00171
PLSCT00000012705	PFAM:PF00153
PLSCT00000014463	PFAM:PF01775
PLSCT00000020772	PFAM:PF00252
PLSCT00000012387	PFAM:PF00654
PLSCT00000002649	PFAM:PF10674
PLSCT00000006513	PFAM:PF03133
PLSCT00000007940	PFAM:PF02970
PLSCT00000008173	PFAM:PF02580
PLSCT00000014364	PFAM:PF06920
PLSCT00000009022	PFAM:PF01398
PLSCT00000001195	PFAM:PF01411
PLSCT00000008192	PFAM:PF13869
PLSCT00000003061	PFAM:PF00957
PLSCT00000000706	PFAM:PF02373,PFAM:PF02375
PLSCT00000018326	PFAM:PF00676
PLSCT00000018537	PFAM:PF05071
PLSCT00000001130	PFAM:PF00722
PLSCT00000011968	PFAM:PF00266
PLSCT00000005543	PFAM:PF00957,PFAM:PF13774
PLSCT00000014560	PFAM:PF12937
PLSCT00000001281	PFAM:PF13378
PLSCT00000018706	PFAM:PF00533
PLSCT00000010814	PFAM:PF00153
PLSCT00000016511	PFAM:PF13365
PLSCT00000009231	PFAM:PF00270,PFAM:PF00271,PFAM:PF02559,PFAM:PF03461
PLSCT00000004671	PFAM:PF02320
PLSCT00000007707	PFAM:PF14443
PLSCT00000009847	PFAM:PF00704
PLSCT00000002132	PFAM:PF00310,PFAM:PF04898
PLSCT00000020198	PFAM:PF01070
PLSCT00000003862	PFAM:PF02362
PLSCT00000004478	PFAM:PF00646,PFAM:PF01344
PLSCT00000005388	PFAM:PF00107,PFAM:PF08240
PLSCT00000007759	PFAM:PF01535,PFAM:PF13041
PLSCT00000001277	PFAM:PF01494
PLSCT00000017365	PFAM:PF01071,PFAM:PF02843,PFAM:PF02844
PLSCT00000018191	PFAM:PF00686
PLSCT00000020372	PFAM:PF03330
PLSCT00000012257	PFAM:PF01398,PFAM:PF13012
PLSCT00000016637	PFAM:PF00005,PFAM:PF01061,PFAM:PF08370
PLSCT00000002243	PFAM:PF07808
PLSCT00000010101	PFAM:PF10520
PLSCT00000006594	PFAM:PF00534
PLSCT00000001029	PFAM:PF00128,PFAM:PF07821
PLSCT00000013471	PFAM:PF01981
PLSCT00000015108	PFAM:PF00400
PLSCT00000021113	PFAM:PF00232
PLSCT00000007961	PFAM:PF00643
PLSCT00000014434	PFAM:PF03159
PLSCT00000000858	PFAM:PF00817,PFAM:PF11799
PLSCT00000021307	PFAM:PF01593
PLSCT00000002351	PFAM:PF00232
PLSCT00000014239	PFAM:PF14694,PFAM:PF14695
PLSCT00000007234	PFAM:PF16656
PLSCT00000009240	PFAM:PF01979
PLSCT00000002662	PFAM:PF12348
PLSCT00000019981	PFAM:PF01094
PLSCT00000001992	PFAM:PF12796
PLSCT00000020973	PFAM:PF00153
PLSCT00000009061	PFAM:PF06644
PLSCT00000007689	PFAM:PF00176
PLSCT00000021349	PFAM:PF06316
PLSCT00000006271	PFAM:PF01055
PLSCT00000014219	PFAM:PF00240
PLSCT00000003138	PFAM:PF00082,PFAM:PF02225
PLSCT00000002557	PFAM:PF00560,PFAM:PF13855
PLSCT00000002347	PFAM:PF00232
PLSCT00000016771	PFAM:PF04193
PLSCT00000012323	PFAM:PF02114
PLSCT00000011604	PFAM:PF10510
PLSCT00000001007	PFAM:PF00085
PLSCT00000013928	PFAM:PF00639
PLSCT00000014689	PFAM:PF04438
PLSCT00000009229	PFAM:PF00043,PFAM:PF02577
PLSCT00000013293	PFAM:PF00072
PLSCT00000001103	PFAM:PF00141
PLSCT00000004722	PFAM:PF10159
PLSCT00000010847	PFAM:PF00013,PFAM:PF00642,PFAM:PF14608
PLSCT00000016987	PFAM:PF00067
PLSCT00000002178	PFAM:PF13041,PFAM:PF13812
PLSCT00000009574	PFAM:PF12738
PLSCT00000020530	PFAM:PF00069
PLSCT00000018769	PFAM:PF00071
PLSCT00000007487	PFAM:PF01780
PLSCT00000001741	PFAM:PF07714
PLSCT00000001888	PFAM:PF02037
PLSCT00000004749	PFAM:PF05903
PLSCT00000010378	PFAM:PF01918
PLSCT00000019634	PFAM:PF06325
PLSCT00000004664	PFAM:PF03016
PLSCT00000015544	PFAM:PF14541,PFAM:PF14543
PLSCT00000006122	PFAM:PF04231
PLSCT00000003132	PFAM:PF10487
PLSCT00000019397	PFAM:PF00005,PFAM:PF00664
PLSCT00000001497	PFAM:PF02985,PFAM:PF03810,PFAM:PF13513
PLSCT00000011237	PFAM:PF00484
PLSCT00000017936	PFAM:PF01369,PFAM:PF09324
PLSCT00000020587	PFAM:PF00574
PLSCT00000016973	PFAM:PF02099
PLSCT00000013402	PFAM:PF00355
PLSCT00000017911	PFAM:PF11976
PLSCT00000014326	PFAM:PF06886,PFAM:PF12214
PLSCT00000017804	PFAM:PF04998,PFAM:PF11523
PLSCT00000014096	PFAM:PF11221
PLSCT00000004545	PFAM:PF00722,PFAM:PF06955
PLSCT00000013183	PFAM:PF00646
PLSCT00000006677	PFAM:PF01535,PFAM:PF13041,PFAM:PF14432
PLSCT00000001060	PFAM:PF00403
PLSCT00000007229	PFAM:PF02357
PLSCT00000016857	PFAM:PF14587
PLSCT00000008100	PFAM:PF00400,PFAM:PF08145
PLSCT00000011459	PFAM:PF14634
PLSCT00000002934	PFAM:PF02815
PLSCT00000008819	PFAM:PF03407
PLSCT00000004628	PFAM:PF00733
PLSCT00000017086	PFAM:PF13178
PLSCT00000019935	PFAM:PF13622
PLSCT00000017858	PFAM:PF00132,PFAM:PF06426
PLSCT00000011650	PFAM:PF13621
PLSCT00000012560	PFAM:PF00226,PFAM:PF11926
PLSCT00000006878	PFAM:PF07714
PLSCT00000013170	PFAM:PF00005,PFAM:PF01061
PLSCT00000003203	PFAM:PF04751
PLSCT00000012960	PFAM:PF01040
PLSCT00000004792	PFAM:PF00006
PLSCT00000014149	PFAM:PF13202,PFAM:PF13499
PLSCT00000003241	PFAM:PF00004
PLSCT00000014787	PFAM:PF00091,PFAM:PF12327
PLSCT00000009884	PFAM:PF00270,PFAM:PF00271,PFAM:PF04408
PLSCT00000011985	PFAM:PF14234
PLSCT00000007312	PFAM:PF01743
PLSCT00000001956	PFAM:PF00515,PFAM:PF13374,PFAM:PF13844
PLSCT00000011048	PFAM:PF00651,PFAM:PF12248
PLSCT00000009640	PFAM:PF01467
PLSCT00000016080	PFAM:PF13831
PLSCT00000005958	PFAM:PF00928
PLSCT00000020686	PFAM:PF08447
PLSCT00000005187	PFAM:PF03493,PFAM:PF07885
PLSCT00000015209	PFAM:PF01131
PLSCT00000004698	PFAM:PF00326
PLSCT00000009458	PFAM:PF11566
PLSCT00000015283	PFAM:PF03489,PFAM:PF05184
PLSCT00000021345	PFAM:PF13304
PLSCT00000011616	PFAM:PF08241
PLSCT00000003843	PFAM:PF13855
PLSCT00000002783	PFAM:PF00581
PLSCT00000018129	PFAM:PF13516
PLSCT00000015043	PFAM:PF00571,PFAM:PF00654
PLSCT00000015870	PFAM:PF00400
PLSCT00000014442	PFAM:PF00122,PFAM:PF00689,PFAM:PF12710,PFAM:PF13246
PLSCT00000021154	PFAM:PF00912
PLSCT00000004953	PFAM:PF07722
PLSCT00000012411	PFAM:PF02517
PLSCT00000010243	PFAM:PF00400
PLSCT00000014397	PFAM:PF08212
PLSCT00000011821	PFAM:PF00091,PFAM:PF03953
PLSCT00000007542	PFAM:PF13424
PLSCT00000004537	PFAM:PF13460
PLSCT00000003427	PFAM:PF02190,PFAM:PF03226
PLSCT00000009133	PFAM:PF04137
PLSCT00000003833	PFAM:PF00122
PLSCT00000014140	PFAM:PF14226
PLSCT00000008766	PFAM:PF00091,PFAM:PF03953
PLSCT00000016588	PFAM:PF13476
PLSCT00000017815	PFAM:PF00125
PLSCT00000018138	PFAM:PF00856
PLSCT00000012093	PFAM:PF00085
PLSCT00000011611	PFAM:PF00520
PLSCT00000000231	PFAM:PF04117
PLSCT00000006983	PFAM:PF00076
PLSCT00000021017	PFAM:PF01926,PFAM:PF12631
PLSCT00000002515	PFAM:PF01786
PLSCT00000016830	PFAM:PF16363
PLSCT00000003701	PFAM:PF00931
PLSCT00000016901	PFAM:PF03254
PLSCT00000010401	PFAM:PF03514
PLSCT00000002571	PFAM:PF07722
PLSCT00000005737	PFAM:PF01398
PLSCT00000003474	PFAM:PF06799
PLSCT00000002088	PFAM:PF00900,PFAM:PF01479,PFAM:PF08071
PLSCT00000010964	PFAM:PF03162
PLSCT00000014667	PFAM:PF12937
PLSCT00000003869	PFAM:PF13517
PLSCT00000013363	PFAM:PF00202
PLSCT00000020105	PFAM:PF08700,PFAM:PF16528
PLSCT00000001830	PFAM:PF07470
PLSCT00000009762	PFAM:PF02453
PLSCT00000017479	PFAM:PF08240
PLSCT00000003695	PFAM:PF00477
PLSCT00000007373	PFAM:PF01170,PFAM:PF02926
PLSCT00000002980	PFAM:PF00005,PFAM:PF00664
PLSCT00000000517	PFAM:PF00483
PLSCT00000003565	PFAM:PF00642,PFAM:PF13456
PLSCT00000006301	PFAM:PF00098,PFAM:PF03159
PLSCT00000014489	PFAM:PF13862
PLSCT00000009766	PFAM:PF00224,PFAM:PF02887
PLSCT00000019341	PFAM:PF02866
PLSCT00000018005	PFAM:PF02146
PLSCT00000018432	PFAM:PF01661
PLSCT00000015641	PFAM:PF00106
PLSCT00000017850	PFAM:PF04116
PLSCT00000007760	PFAM:PF02274
PLSCT00000021096	PFAM:PF00487
PLSCT00000002065	PFAM:PF00248
PLSCT00000004009	PFAM:PF11916
PLSCT00000006801	PFAM:PF02150
PLSCT00000012785	PFAM:PF07052
PLSCT00000012677	PFAM:PF04784
PLSCT00000002862	PFAM:PF00941,PFAM:PF01315,PFAM:PF01799,PFAM:PF02738,PFAM:PF03450
PLSCT00000001594	PFAM:PF07690
PLSCT00000003630	PFAM:PF00293
PLSCT00000008764	PFAM:PF00168,PFAM:PF02893,PFAM:PF16016
PLSCT00000017878	PFAM:PF00719
PLSCT00000015965	PFAM:PF03403
PLSCT00000010836	PFAM:PF03171,PFAM:PF14226
PLSCT00000010641	PFAM:PF00141
PLSCT00000006574	PFAM:PF01095
PLSCT00000002458	PFAM:PF01095
PLSCT00000010027	PFAM:PF02694
PLSCT00000016292	PFAM:PF00805
PLSCT00000016829	PFAM:PF00227
PLSCT00000016147	PFAM:PF04427
PLSCT00000006501	PFAM:PF00069,PFAM:PF13855
PLSCT00000021351	PFAM:PF00753
PLSCT00000013093	PFAM:PF01055,PFAM:PF13802,PFAM:PF16863
PLSCT00000013915	PFAM:PF06886
PLSCT00000015450	PFAM:PF15511
PLSCT00000003006	PFAM:PF00141
PLSCT00000002751	PFAM:PF01698
PLSCT00000018984	PFAM:PF08670
PLSCT00000009527	PFAM:PF12734
PLSCT00000006590	PFAM:PF04884
PLSCT00000015852	PFAM:PF05615
PLSCT00000021208	PFAM:PF14288
PLSCT00000015299	PFAM:PF00005,PFAM:PF00664
PLSCT00000021169	PFAM:PF00571
PLSCT00000015992	PFAM:PF13087
PLSCT00000012756	PFAM:PF00403
PLSCT00000016060	PFAM:PF00940,PFAM:PF14700
PLSCT00000002919	PFAM:PF00098,PFAM:PF14392
PLSCT00000017003	PFAM:PF12763
PLSCT00000010186	PFAM:PF06068
PLSCT00000000956	PFAM:PF00013
PLSCT00000008820	PFAM:PF02684
PLSCT00000013055	PFAM:PF10607
PLSCT00000007156	PFAM:PF00044,PFAM:PF02800
PLSCT00000018631	PFAM:PF04053
PLSCT00000011828	PFAM:PF03671
PLSCT00000020935	PFAM:PF07714
PLSCT00000015941	PFAM:PF00488
PLSCT00000004868	PFAM:PF04053,PFAM:PF06957
PLSCT00000003629	PFAM:PF13532
PLSCT00000020774	PFAM:PF07714
PLSCT00000014943	PFAM:PF01301
PLSCT00000009464	PFAM:PF13409,PFAM:PF13410
PLSCT00000021090	PFAM:PF01248
PLSCT00000017914	PFAM:PF01655
PLSCT00000012783	PFAM:PF03522
PLSCT00000017913	PFAM:PF00107,PFAM:PF08240
PLSCT00000007475	PFAM:PF00413,PFAM:PF01471
PLSCT00000013958	PFAM:PF10032
PLSCT00000002890	PFAM:PF00082,PFAM:PF02225,PFAM:PF05922
PLSCT00000000911	PFAM:PF02127
PLSCT00000007822	PFAM:PF02431
PLSCT00000001349	PFAM:PF00330
PLSCT00000016712	PFAM:PF00152
PLSCT00000007757	PFAM:PF00459
PLSCT00000008274	PFAM:PF00544
PLSCT00000010217	PFAM:PF00408
PLSCT00000007588	PFAM:PF00004,PFAM:PF13771
PLSCT00000015907	PFAM:PF00069
PLSCT00000012553	PFAM:PF00282
PLSCT00000007275	PFAM:PF13499
PLSCT00000021355	PFAM:PF03635
PLSCT00000019474	PFAM:PF01933
PLSCT00000008356	PFAM:PF00083
PLSCT00000004500	PFAM:PF04059
PLSCT00000015012	PFAM:PF03070
PLSCT00000021378	PFAM:PF08326
PLSCT00000021176	PFAM:PF06859
PLSCT00000003932	PFAM:PF01369,PFAM:PF09324
PLSCT00000014443	PFAM:PF02915
PLSCT00000014386	PFAM:PF01535,PFAM:PF01713,PFAM:PF13041,PFAM:PF13812
PLSCT00000017473	PFAM:PF14735
PLSCT00000001698	PFAM:PF00005,PFAM:PF00664
PLSCT00000009368	PFAM:PF00005,PFAM:PF01061,PFAM:PF08370,PFAM:PF14510
PLSCT00000011906	PFAM:PF07534
PLSCT00000008675	PFAM:PF13419
PLSCT00000014019	PFAM:PF00909
PLSCT00000009485	PFAM:PF00787,PFAM:PF02194,PFAM:PF08628
PLSCT00000006472	PFAM:PF00472,PFAM:PF03462
PLSCT00000010595	PFAM:PF00069,PFAM:PF13499
PLSCT00000010882	PFAM:PF01786
PLSCT00000004981	PFAM:PF00169,PFAM:PF01412,PFAM:PF12796
PLSCT00000010600	PFAM:PF03820
PLSCT00000005135	PFAM:PF02109
PLSCT00000010073	PFAM:PF13398
